ticker,SOLY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-02-20,-0.4086
2019-02-21,-0.4144
2019-02-22,-4.412
2019-02-25,1.7999
2019-02-26,-2.5532
2019-02-27,-5.1856
2019-02-28,6.8509
2019-03-01,7.5431
2019-03-04,-3.8076
2019-03-05,-4.375
2019-03-06,0.6536
2019-03-07,2.5974
2019-03-08,3.3755
2019-03-11,-1.0204
2019-03-12,2.0619
2019-03-13,19.1919
2019-03-14,10.0
2019-03-15,-0.3082
2019-03-18,-4.0185
2019-03-19,17.5523
2019-03-20,0.6849
2019-03-21,8.1633
2019-03-22,-1.6679
2019-03-25,-7.7698
2019-03-26,-4.8544
2019-03-27,-1.895
2019-03-28,8.4695
2019-03-29,10.9589
2019-04-01,10.7407
2019-04-02,4.2363
2019-04-03,-3.7433
2019-04-04,11.1111
2019-04-05,5.9
2019-04-08,6.9877
2019-04-09,4.1483
2019-04-10,6.4407
2019-04-11,5.9713
2019-04-12,-6.5364
2019-04-15,14.5498
2019-04-16,3.9298
2019-04-17,-10.8035
2019-04-18,-9.9924
2019-04-22,3.3642
2019-04-23,11.6355
2019-04-24,-10.1312
2019-04-25,-4.704
2019-04-26,0.8511
2019-04-29,-1.2658
2019-04-30,-4.7009
2019-05-01,6.7265
2019-05-02,4.8739
2019-05-03,-1.6827
2019-05-06,-5.1345
2019-05-07,1.3746
2019-05-08,-2.2034
2019-05-09,6.7591
2019-05-10,10.3896
2019-05-13,-16.25
2019-05-14,-6.9359
2019-05-15,-0.566
2019-05-16,-31.4991
2019-05-17,1.385
2019-05-20,-12.2951
2019-05-21,-2.648
2019-05-22,-15.52
2019-05-23,3.4091
2019-05-24,4.9451
2019-05-28,148.1675
2019-05-29,42.616
2019-05-30,-7.7909
2019-05-31,0.6417
2019-06-03,-19.5005
2019-06-04,22.0462
2019-06-05,-6.0032
2019-06-06,-7.2497
2019-06-07,0.4963
2019-06-10,10.4938
2019-06-11,-1.1732
2019-06-12,-10.4014
2019-06-13,-0.6309
2019-06-14,-9.2063
2019-06-17,16.3636
2019-06-18,3.4856
2019-06-19,-4.2393
2019-06-20,-2.6076
2019-06-21,-5.0436
2019-06-24,-2.2295
2019-06-25,-1.2743
2019-06-26,-4.144
2019-06-27,3.6145
2019-06-28,0.5472
2019-07-01,-5.9864
2019-07-02,-9.479
2019-07-03,-2.8777
2019-07-05,-5.9259
2019-07-08,61.8548
2019-07-09,-9.1892
2019-07-10,4.1667
2019-07-11,21.2571
2019-07-12,-12.5825
