ticker,SOSO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-17.5
2000-01-04,-19.697
2000-01-05,32.0755
2000-01-06,17.1429
2000-01-07,17.0732
2000-01-10,8.3333
2000-01-11,-15.3846
2000-01-12,-4.5455
2000-01-13,-4.7619
2000-01-14,0.0
2000-01-18,-3.75
2000-01-19,-5.1948
2000-01-20,8.2192
2000-01-21,-6.3291
2000-01-24,-1.3514
2000-01-25,-4.1096
2000-01-26,-5.7143
2000-01-27,-3.0303
2000-01-28,-6.25
2000-01-31,3.3333
2000-02-01,9.6774
2000-02-02,-2.9412000000000003
2000-02-03,-6.0606
2000-02-04,-1.6129
2000-02-07,6.5574
2000-02-08,-6.1538
2000-02-09,1.6393
2000-02-10,-3.2258
2000-02-11,26.6667
2000-02-14,5.2632
2000-02-15,0.0
2000-02-16,22.5
2000-02-17,16.3265
2000-02-18,22.807
2000-02-22,-3.5714
2000-02-23,-5.1852
2000-02-24,48.4375
2000-02-25,-2.1053
2000-02-28,-13.9785
2000-02-29,5.0
2000-03-01,-2.3810000000000002
2000-03-02,1.8293
2000-03-03,30.5389
2000-03-06,16.5138
2000-03-07,-3.9370000000000003
2000-03-08,-4.918
2000-03-09,7.7586
2000-03-10,-5.6
2000-03-13,-10.1695
2000-03-14,-11.3208
2000-03-15,-1.0638
2000-03-16,-5.3763
2000-03-17,-6.8182
2000-03-20,-1.8293
2000-03-21,4.3478
2000-03-22,-7.1429
2000-03-23,12.1795
2000-03-24,28.0
2000-03-27,10.267900000000001
2000-03-28,-10.1215
2000-03-29,1.8018
2000-03-30,-6.6372
2000-03-31,6.1611
2000-04-03,-19.6429
2000-04-04,-1.1111
2000-04-05,12.3596
2000-04-06,-3.0
2000-04-07,-4.6392
2000-04-10,-4.8649000000000004
2000-04-11,-4.5455
2000-04-12,-17.8571
2000-04-13,-2.8986
2000-04-14,-25.3731
2000-04-17,12.0
2000-04-18,12.5
2000-04-19,-0.7937
2000-04-20,-0.8
2000-04-24,-3.2258
2000-04-25,-11.6667
2000-04-26,7.5472
2000-04-27,-1.7544
2000-04-28,-0.8929
2000-05-01,8.1081
2000-05-02,3.3333
2000-05-03,0.0
2000-05-04,0.0
2000-05-05,-4.0323
2000-05-08,0.8403
2000-05-09,-6.6667
2000-05-10,-4.4643
2000-05-11,0.9346
2000-05-12,0.0
2000-05-15,-1.8519
2000-05-16,1.8868
2000-05-17,-5.5556
2000-05-18,-5.8824
2000-05-19,40.625
2000-05-22,-11.8519
