ticker,SPT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-12-13,-2.3529
2019-12-16,0.9036
2019-12-17,0.1791
2019-12-18,-1.3111
2019-12-19,-3.2609
2019-12-20,-0.1248
2019-12-23,-0.125
2019-12-24,0.1252
2019-12-26,0.0
2019-12-27,0.75
2019-12-30,-0.6824
2019-12-31,0.2498
2020-01-02,3.1153
2020-01-03,0.1813
2020-01-06,4.3426
2020-01-07,2.7746
2020-01-08,-1.9123
2020-01-09,1.4908000000000001
2020-01-10,2.4294000000000002
2020-01-13,2.1511
2020-01-14,2.7538
2020-01-15,0.4204
2020-01-16,0.0
2020-01-17,-2.0931
2020-01-21,6.8947
2020-01-22,5.05
2020-01-23,-0.1904
2020-01-24,-3.4812
2020-01-27,-4.9407
2020-01-28,1.7671999999999999
2020-01-29,2.145
2020-01-30,3.4
2020-01-31,-0.7253
2020-02-03,2.1432
2020-02-04,3.5765000000000002
2020-02-05,-4.0055
2020-02-06,-2.9257
2020-02-07,-5.4842
2020-02-10,-1.2023
2020-02-11,2.9101
2020-02-12,2.7763
2020-02-13,4.8024000000000004
2020-02-14,0.4773
2020-02-18,-3.943
2020-02-19,0.9891
2020-02-20,-3.5749
2020-02-21,2.1330999999999998
2020-02-24,-2.7847
2020-02-25,-3.4783
2020-02-26,-6.2003
2020-02-27,14.6328
2020-02-28,-3.1543
2020-03-02,4.2748
2020-03-03,0.488
2020-03-04,-2.2827
2020-03-05,-5.8648
2020-03-06,-0.7392
2020-03-09,-18.6702
2020-03-10,14.5847
2020-03-11,-5.5936
2020-03-12,-12.3337
2020-03-13,5.7241
2020-03-16,-5.2185
2020-03-17,1.0323
2020-03-18,-9.8093
2020-03-19,4.003
2020-03-20,1.5977000000000001
2020-03-23,-7.0765
2020-03-24,8.2308
2020-03-25,13.8593
2020-03-26,-2.3096
2020-03-27,-8.9457
2020-03-30,5.6842
2020-03-31,5.9761
2020-04-01,-13.0326
2020-04-02,-6.3401
2020-04-03,-0.2308
2020-04-06,4.4719
2020-04-07,1.476
2020-04-08,-2.0364
2020-04-09,-2.2272
2020-04-13,-8.5801
2020-04-14,7.5581
2020-04-15,1.3900000000000001
2020-04-16,4.1889
2020-04-17,2.5585
2020-04-20,4.4904
2020-04-21,-1.9100000000000001
2020-04-22,4.6592
2020-04-23,-3.4551
2020-04-24,1.17
2020-04-27,2.8571
2020-04-28,2.4471
2020-04-29,6.6495
2020-04-30,1.8159999999999998
2020-05-01,-2.7943
2020-05-04,0.2446
2020-05-05,4.4539
2020-05-06,5.1986
2020-05-07,20.4886
2020-05-08,2.2580999999999998
2020-05-11,5.4078
2020-05-12,-3.3348
2020-05-13,0.2654
2020-05-14,-2.0291
2020-05-15,3.5119
2020-05-18,5.9591
2020-05-19,7.4302
2020-05-20,5.1204
2020-05-21,0.3635
2020-05-22,-4.7084
2020-05-26,-1.2543
2020-05-27,-4.0801
2020-05-28,-2.7287
2020-05-29,13.655100000000001
2020-06-01,5.5898
2020-06-02,2.6813000000000002
2020-06-03,4.1513
2020-06-04,0.6429
2020-06-05,2.9703
2020-06-08,-3.6911
2020-06-09,-7.1176
2020-06-10,-2.0458
2020-06-11,-6.1239
2020-06-12,-0.0754
2020-06-15,0.9057
2020-06-16,7.5168
2020-06-17,-3.3739
2020-06-18,0.432
2020-06-19,0.4659
2020-06-22,1.4627
2020-06-23,-0.1406
2020-06-24,-3.1514
2020-06-25,-0.4181
2020-06-26,-2.0445
2020-06-29,-6.9325
2020-06-30,8.1298
2020-07-01,2.4444
2020-07-02,0.0723
2020-07-06,-0.0361
2020-07-07,-1.5901999999999998
2020-07-08,2.5707
2020-07-09,4.6545
2020-07-10,-6.2607
2020-07-13,-6.9343
2020-07-14,0.7451
2020-07-15,3.5033
2020-07-16,1.9556
2020-07-17,5.201
2020-07-20,1.683
2020-07-21,-1.069
2020-07-22,1.0457
2020-07-23,2.5871
2020-07-24,-8.9778
2020-07-27,2.1795
2020-07-28,-1.3014999999999999
2020-07-29,1.7949000000000002
2020-07-30,2.1231
2020-07-31,1.7970000000000002
