ticker,STON US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-09-15,5.3659
2004-09-16,-1.6204
2004-09-17,0.9929
2004-09-20,-0.5172
2004-09-21,-0.2342
2004-09-22,-0.892
2004-09-23,1.4685000000000001
2004-09-24,-1.9607999999999999
2004-09-27,-0.7143
2004-09-28,1.3429
2004-09-29,0.284
2004-09-30,0.0472
2004-10-01,0.0
2004-10-04,-0.0943
2004-10-05,-0.6138
2004-10-06,0.285
2004-10-07,1.1369
2004-10-08,1.4052
2004-10-11,0.2309
2004-10-12,0.2304
2004-10-13,-1.8391
2004-10-14,0.4684
2004-10-15,-1.8182
2004-10-18,0.1899
2004-10-19,-0.7109
2004-10-20,-0.3341
2004-10-21,1.772
2004-10-22,0.4235
2004-10-25,-1.9213
2004-10-26,-3.9177999999999997
2004-10-27,-0.4973
2004-10-28,-4.1479
2004-10-29,1.6684
2004-11-01,-2.0513
2004-11-02,1.8325
2004-11-03,-0.2057
2004-11-04,0.2576
2004-11-05,0.9815
2004-11-08,-2.295
2004-11-09,-0.4688
2004-11-10,-1.0989
2004-11-11,1.5873
2004-11-12,1.5625
2004-11-15,0.8718
2004-11-16,0.7117
2004-11-17,0.7572
2004-11-18,-1.5531000000000001
2004-11-19,1.7812000000000001
2004-11-22,0.5
2004-11-23,2.1393
2004-11-24,1.0229
2004-11-26,0.2411
2004-11-29,-2.5493
2004-11-30,-0.1974
2004-12-01,-0.3956
2004-12-02,-0.2979
2004-12-03,0.0498
2004-12-06,-1.0453
2004-12-07,0.0
2004-12-08,1.3580999999999999
2004-12-09,-1.5385
2004-12-10,-0.7056
2004-12-13,1.0152
2004-12-14,-1.7085
2004-12-15,-0.0511
2004-12-16,0.9719
2004-12-17,-0.4559
2004-12-20,1.6794
2004-12-21,-0.4004
2004-12-22,1.005
2004-12-23,-0.6965
2004-12-27,0.2004
2004-12-28,0.0
2004-12-29,1.15
2004-12-30,2.4716
2004-12-31,-2.7014
2005-01-03,1.884
2005-01-04,0.7737
2005-01-05,-2.4579
2005-01-06,1.6337000000000002
2005-01-07,0.2923
2005-01-10,-0.8742
2005-01-11,0.392
2005-01-12,-0.8785
2005-01-13,-0.0492
2005-01-14,0.4926
2005-01-18,0.2941
2005-01-19,2.1017
2005-01-20,-1.6276000000000002
2005-01-21,0.438
2005-01-24,-1.3566
2005-01-25,-0.2947
2005-01-26,1.0836999999999999
2005-01-27,2.2417
2005-01-28,0.715
2005-01-31,0.5206
2005-02-01,2.7778
2005-02-02,-0.1374
