ticker,SVIN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,0.0
2000-01-05,3.4483
2000-01-06,6.6667
2000-01-07,-6.25
2000-01-10,0.0
2000-01-11,3.3333
2000-01-12,29.0323
2000-01-13,-5.0
2000-01-14,-10.526299999999999
2000-01-18,2.9412000000000003
2000-01-19,-4.2857
2000-01-20,-5.9701
2000-01-21,-1.5873
2000-01-24,0.0
2000-01-25,-1.6129
2000-01-26,0.0
2000-01-27,11.4754
2000-01-28,-10.2941
2000-01-31,4.918
2000-02-01,12.5
2000-02-02,0.0
2000-02-03,2.7778
2000-02-04,-12.1622
2000-02-07,1.5385
2000-02-08,-1.5152
2000-02-09,9.2308
2000-02-10,-5.6338
2000-02-11,0.0
2000-02-14,0.0
2000-02-15,-7.4627
2000-02-16,6.4516
2000-02-17,0.7576
2000-02-18,5.2632
2000-02-22,0.7143
2000-02-23,-7.8014
2000-02-24,0.7692
2000-02-25,6.8702
2000-02-28,-7.1429
2000-02-29,0.0
2000-03-01,10.7692
2000-03-02,-2.7778
2000-03-03,-7.1429
2000-03-06,4.6154
2000-03-07,-2.9412000000000003
2000-03-08,6.0606
2000-03-09,-3.5714
2000-03-10,0.0
2000-03-13,1.4815
2000-03-14,-1.4599
2000-03-15,3.7037
2000-03-16,-3.5714
2000-03-17,-0.7407
2000-03-20,4.4776
2000-03-21,0.0
2000-03-22,-4.2857
2000-03-23,0.0
2000-03-24,0.0
2000-03-27,0.0
2000-03-28,-4.4776
2000-03-29,-6.25
2000-03-30,1.6667
2000-03-31,4.918
2000-04-03,0.7813
2000-04-04,-3.876
2000-04-06,0.0
2000-04-07,3.2258
2000-04-11,-3.125
2000-04-12,-3.2258
2000-04-13,0.0
2000-04-14,-1.6667
2000-04-17,-3.3898
2000-04-18,7.0175
2000-04-19,4.918
2000-04-24,-0.3906
2000-04-25,-5.8824
2000-04-26,3.3333
2000-04-27,-6.0484
2000-04-28,6.4378
2000-05-01,-3.2258
2000-05-02,0.0
2000-05-03,0.0
2000-05-04,0.0
2000-05-05,-6.6667
2000-05-08,-3.5714
2000-05-09,1.8519
2000-05-10,1.8182
2000-05-11,3.5714
2000-05-12,-0.8621
2000-05-15,0.8696
2000-05-16,-1.7241
2000-05-17,-1.7544
2000-05-18,7.1429
2000-05-19,0.4167
2000-05-22,1.2448
2000-05-23,-1.6393
2000-05-24,0.0
2000-05-25,3.3333
2000-05-26,-1.6129
2000-05-30,0.0
2000-06-02,0.0
2000-06-05,0.0
