ticker,TCBI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-08-13,9.0
2003-08-14,4.2535
2003-08-15,-0.32
2003-08-18,1.1236
2003-08-19,-2.3810000000000002
2003-08-20,1.2195
2003-08-21,2.7309
2003-08-22,-2.2674
2003-08-25,-0.4
2003-08-26,0.0
2003-08-27,2.008
2003-08-28,-1.9685000000000001
2003-08-29,-4.4177
2003-09-02,4.958
2003-09-03,-0.3203
2003-09-04,1.2048
2003-09-05,0.3968
2003-09-08,-0.7115
2003-09-09,-1.5924
2003-09-10,0.3236
2003-09-11,-0.8065
2003-09-12,-1.4634
2003-09-15,-0.5776
2003-09-16,0.4149
2003-09-17,0.9091
2003-09-18,0.3276
2003-09-19,1.7143000000000002
2003-09-22,-0.7223
2003-09-23,0.2425
2003-09-24,0.6452
2003-09-25,-1.0417
2003-09-26,-2.1862
2003-09-29,-0.2483
2003-09-30,1.4108
2003-10-01,0.491
2003-10-02,4.2345
2003-10-03,0.9375
2003-10-06,0.6192
2003-10-07,-1.1538
2003-10-08,-0.7782
2003-10-09,0.0
2003-10-10,1.8039
2003-10-13,-0.6163
2003-10-14,0.7752
2003-10-15,4.0
2003-10-16,3.1805
2003-10-17,1.4337
2003-10-20,-0.7067
2003-10-21,0.0
2003-10-22,-0.2135
2003-10-23,1.6334
2003-10-24,-0.1333
2003-10-27,-1.8271
2003-10-28,-1.9327
2003-10-29,-2.9927
2003-10-30,1.1136
2003-10-31,1.2055
2003-11-03,-0.875
2003-11-04,1.2536
2003-11-05,1.4652
2003-11-06,-1.7328999999999999
2003-11-07,2.1308
2003-11-10,0.7194
2003-11-11,-2.1429
2003-11-12,-1.8248
2003-11-13,0.3717
2003-11-14,-0.0741
2003-11-17,-1.0378
2003-11-18,-0.7491
2003-11-19,-3.6226000000000003
2003-11-20,0.6265
2003-11-21,0.7782
2003-11-24,0.7722
2003-11-25,0.5364
2003-11-26,1.3719999999999999
2003-11-28,-0.3759
2003-12-01,-0.3774
2003-12-02,-0.3788
2003-12-03,1.1407
2003-12-04,2.6316
2003-12-05,1.2454
2003-12-08,1.3748
2003-12-09,1.9986000000000002
2003-12-10,-0.6298
2003-12-11,-0.7042
2003-12-12,-0.3546
2003-12-15,-0.3559
2003-12-16,-0.3571
2003-12-17,-0.7168
2003-12-18,-0.722
2003-12-19,0.7273
2003-12-22,-2.2383
2003-12-23,0.4431
2003-12-24,-0.7353
2003-12-26,1.4741
2003-12-29,5.4092
2003-12-30,0.2078
2003-12-31,0.0691
