ticker,TETAA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-10-06,27.2727
2009-10-12,14.2857
2009-10-15,0.0
2009-10-29,152.5
2009-11-04,38.6139
2009-11-09,-14.2857
2009-11-16,16.6667
2009-11-20,28.5714
2009-12-02,39.0
2009-12-04,19.9041
2009-12-07,0.0
2009-12-08,-23.3333
2009-12-09,0.0
2009-12-10,7.5652
2009-12-14,-2.9911
2009-12-15,0.0
2009-12-18,-16.6667
2009-12-21,-5.0
2009-12-22,-26.3158
2009-12-23,32.1429
2009-12-28,-29.7297
2009-12-29,15.3846
2009-12-31,6.6
2010-01-05,-12.4453
2010-01-06,14.2857
2010-01-07,0.0
2010-01-19,0.0
2010-01-25,-9.375
2010-01-26,-17.2414
2010-01-27,-8.3333
2010-01-28,9.0909
2010-02-03,10.4167
2010-02-10,1.8868
2010-02-12,0.0
2010-02-16,-3.7037
2010-02-17,-3.8462
2010-02-18,4.0
2010-02-19,0.0
2010-02-23,0.0
2010-03-05,0.0
2010-03-08,0.0
2010-03-10,0.0
2010-03-12,0.0
2010-03-16,-11.538499999999999
2010-03-17,4.3478
2010-03-18,6.25
2010-03-22,-5.098
2010-03-29,-0.8264
2010-04-05,0.0
2010-04-06,-8.3333
2010-04-07,0.0
2010-04-09,4.5455
2010-04-13,4.3478
2010-04-14,0.0
2010-04-23,2.5
2010-05-24,-4.4715
2010-05-28,-14.4681
2010-06-04,-5.4726
2010-06-07,7.8947
2010-06-09,0.0
2010-06-10,2.439
2010-06-15,-9.5238
2010-06-16,5.2632
2010-06-17,-2.5
2010-06-25,-5.1282
2010-06-29,-2.7027
2010-07-08,5.5556
2010-07-16,-5.2632
2010-07-20,0.0
2010-07-21,1.1111
2010-08-03,-1.0989
2010-08-06,0.0
2010-08-13,-5.5556
2010-08-18,-29.4118
2010-08-23,16.6667
2010-08-25,0.0
2010-09-09,0.0
2010-09-10,28.5714
2010-09-13,0.0
2010-09-14,0.0
2010-10-01,0.0
2010-10-11,5.5556
2010-10-14,0.0
2010-10-15,10.526299999999999
2010-10-18,4.7619
2010-10-19,4.5455
2010-10-29,-26.087
2010-11-09,-29.4118
2010-11-10,5.8333
2010-12-08,3.622
2010-12-17,35.2584
2010-12-27,17.9775
2010-12-29,-9.5238
2011-01-07,35.5932
2011-01-21,-33.3333
2011-01-27,13.125
2011-01-28,32.5967
2011-02-07,0.0
2011-02-22,108.3333
2011-02-25,-20.0
2011-02-28,-25.0
2011-04-07,0.0
2011-04-26,0.0
