ticker,TMDX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-05-02,39.75
2019-05-03,10.9123
2019-05-06,10.5242
2019-05-07,-4.0861
2019-05-08,-4.9068000000000005
2019-05-09,0.76
2019-05-10,6.1135
2019-05-13,0.9727
2019-05-14,0.704
2019-05-15,-0.4783
2019-05-16,6.6174
2019-05-17,2.6699
2019-05-20,0.2364
2019-05-21,1.0782
2019-05-22,1.3667
2019-05-23,-5.0641
2019-05-24,0.0346
2019-05-28,4.3629
2019-05-29,-12.077
2019-05-30,3.1698
2019-05-31,-0.5486
2019-06-03,1.655
2019-06-04,1.1216
2019-06-05,-4.0429
2019-06-06,-1.305
2019-06-07,0.1133
2019-06-10,0.3019
2019-06-11,-0.2634
2019-06-12,-2.037
2019-06-13,-4.0431
2019-06-14,4.4141
2019-06-17,1.8063
2019-06-18,5.7003
2019-06-19,-2.75
2019-06-20,2.791
2019-06-21,-3.4655
2019-06-24,4.2191
2019-06-25,-0.5682
2019-06-26,-0.5
2019-06-27,-0.4307
2019-06-28,4.5061
2019-07-01,-0.207
2019-07-02,-6.9132
2019-07-03,-1.4853
2019-07-05,-1.7715999999999998
2019-07-08,-0.614
2019-07-09,-1.5444
2019-07-10,0.2353
2019-07-11,-0.2347
2019-07-12,0.0
2019-07-15,-0.7843
2019-07-16,-5.9684
2019-07-17,-2.2699
2019-07-18,6.8817
2019-07-19,4.3461
2019-07-22,-0.9256
2019-07-23,4.5543
2019-07-24,-0.7074
2019-07-25,0.5999
2019-07-26,-3.4663
2019-07-29,-1.3127
2019-07-30,-1.6432
2019-07-31,-5.6086
2019-08-01,-0.3371
2019-08-02,-1.649
2019-08-05,-5.8899
2019-08-06,0.3198
2019-08-07,2.0036
2019-08-08,-6.1161
2019-08-09,-2.6153
2019-08-12,2.2461
2019-08-13,-0.6208
2019-08-14,-2.5949
2019-08-15,0.3947
2019-08-16,0.7371
2019-08-19,2.439
2019-08-20,2.3810000000000002
2019-08-21,1.3488
2019-08-22,6.4709
2019-08-23,0.3448
2019-08-26,3.6512000000000002
2019-08-27,-0.9946
2019-08-28,1.172
2019-08-29,-0.9102
2019-08-30,0.0
2019-09-03,0.0835
2019-09-04,-0.0417
2019-09-05,-1.9199000000000002
2019-09-06,1.4468
2019-09-09,0.4614
2019-09-10,-2.5052
2019-09-11,5.8672
2019-09-12,0.1214
2019-09-13,-3.1111
2019-09-16,0.0834
2019-09-17,-0.8333
2019-09-18,2.2689
2019-09-19,3.8209
2019-09-20,-2.1369
