ticker,UNLA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-10,-20.0
2000-01-12,18.75
2000-02-08,68.4211
2000-02-10,6.25
2000-02-11,17.647100000000002
2000-02-18,-35.0
2000-02-24,15.3846
2000-02-25,66.6667
2000-02-28,50.0
2000-02-29,-33.3333
2000-03-02,0.0
2000-03-03,0.0
2000-03-08,25.0
2000-03-15,40.0
2000-03-23,-8.5714
2000-03-28,0.0
2000-03-31,0.0
2000-04-03,0.0
2000-04-12,0.0
2000-04-13,25.0
2000-04-14,-25.0
2000-04-18,0.0
2000-04-19,0.0
2000-04-25,0.0
2000-04-26,0.0
2000-05-02,0.0
2000-05-03,0.0
2000-05-04,-8.3333
2000-05-05,-12.7273
2000-06-05,-6.25
2000-06-06,33.3333
2000-06-08,-25.0
2000-06-09,0.0
2000-06-23,11.1111
2000-07-20,0.0
2000-08-03,-10.0
2000-08-08,0.0
2000-08-30,6.6667
2000-09-26,-6.25
2000-10-09,0.0
2000-11-06,0.0
2000-11-15,0.0
2000-11-16,11.1111
2000-11-21,-10.0
2000-11-29,0.0
2000-11-30,0.0
2000-12-07,0.0
2000-12-14,-11.1111
2000-12-18,-37.5
2000-12-19,-20.0
2000-12-21,-28.0
2000-12-22,0.0
2000-12-26,0.0
2000-12-27,0.0
2000-12-28,22.2222
2000-12-29,-18.1818
2001-01-08,22.2222
2001-01-19,-9.0909
2001-01-22,0.0
2001-01-23,0.0
2001-01-25,50.0
2001-01-29,-20.0
2001-01-31,16.6667
2001-02-01,-14.2857
2001-02-02,0.0
2001-02-07,-16.6667
2001-02-14,-10.0
2001-03-01,0.0
2001-03-06,-22.2222
2001-03-08,-14.2857
2001-03-27,16.6667
2001-04-06,28.5714
2001-04-10,-33.3333
2001-04-12,16.6667
2001-04-19,0.0
2001-04-24,0.0
2001-05-02,0.0
2001-05-14,42.8571
2001-05-15,20.0
2001-05-22,-16.6667
2001-05-23,30.0
2001-05-30,-7.6923
2001-06-01,-16.6667
2001-06-06,0.0
2001-07-02,20.0
2001-07-06,-33.3333
2001-07-12,25.0
2001-08-14,10.0
2001-08-28,-9.0909
2001-08-29,0.0
2001-09-17,-5.0
2001-09-27,0.0
2001-10-04,-5.2632
2001-10-15,0.0
2001-10-18,0.0
2001-11-08,-22.2222
2001-11-28,0.0
2001-12-11,0.0
2001-12-13,28.5714
2001-12-27,-11.1111
2001-12-28,0.0
2001-12-31,0.0
2002-01-07,25.0
2002-01-10,0.0
2002-01-23,0.0
2002-02-13,10.0
