ticker,WLDN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-11-21,5.6
2006-11-22,0.7576
2006-11-24,-0.3759
2006-11-27,-3.7736
2006-11-28,-0.9804
2006-11-29,0.7921
2006-11-30,-1.4735
2006-12-01,0.3988
2006-12-04,-0.6951
2006-12-05,0.0
2006-12-06,0.5
2006-12-07,-0.4975
2006-12-08,0.0
2006-12-11,0.1
2006-12-12,0.0999
2006-12-13,1.7964
2006-12-14,-1.0784
2006-12-15,-0.892
2006-12-18,0.1
2006-12-19,0.3996
2006-12-20,-0.4975
2006-12-21,0.7
2006-12-22,-0.6951
2006-12-26,0.0
2006-12-27,0.0
2006-12-28,0.0
2006-12-29,0.0
2007-01-03,0.1
2007-01-04,0.3996
2007-01-05,0.4975
2007-01-08,-0.495
2007-01-09,-1.99
2007-01-10,-0.5076
2007-01-11,1.0204
2007-01-12,-1.0101
2007-01-16,-0.4082
2007-01-17,-1.6393
2007-01-18,-2.0833
2007-01-19,-1.5957
2007-01-22,0.973
2007-01-23,-1.072
2007-01-24,-2.2714
2007-01-25,-0.3322
2007-01-26,2.1111
2007-01-29,-1.8498
2007-01-30,-0.6673
2007-01-31,3.2388
2007-02-01,0.3243
2007-02-02,0.9698
2007-02-05,-0.3202
2007-02-06,0.8565
2007-02-07,-0.3185
2007-02-08,0.1065
2007-02-09,-2.3404
2007-02-12,0.3268
2007-02-13,-3.3659
2007-02-14,2.3596
2007-02-15,0.7684
2007-02-16,-1.9607999999999999
2007-02-20,1.2222
2007-02-21,0.3293
2007-02-22,-0.8753
2007-02-23,-0.9934
2007-02-26,5.9086
2007-02-27,-1.4737
2007-02-28,5.0214
2007-03-01,-0.9156
2007-03-02,-0.8214
2007-03-05,-2.795
2007-03-06,2.9819
2007-03-07,-0.9307
2007-03-08,0.2088
2007-03-09,0.7292
2007-03-12,-0.2068
2007-03-13,-0.9326
2007-03-14,-0.1046
2007-03-15,-3.1414
2007-03-16,-0.5405
2007-03-19,1.087
2007-03-20,-1.0753
2007-03-21,0.0
2007-03-22,0.6522
2007-03-23,2.5918
2007-03-26,1.0526
2007-03-27,0.0
2007-03-28,-1.0417
2007-03-29,-1.3684
2007-03-30,0.2134
2007-04-02,-0.9585
2007-04-03,0.7527
2007-04-04,0.3202
2007-04-05,1.5957
2007-04-09,-0.3141
2007-04-10,1.8908
2007-04-11,-2.0619
2007-04-12,3.1579
2007-04-13,-1.0204
2007-04-16,1.0309
2007-04-17,0.3061
2007-04-18,-1.119
