ticker,WRLC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-28,-10.3641
2000-04-19,-5.0
2000-04-20,1.3158
2000-05-04,-2.5974
2000-05-08,1.3333
2000-06-23,12.9568
2000-06-27,0.0
2000-07-06,-1.7647
2000-07-28,-6.5868
2000-08-02,1.9231
2000-08-18,-1.2579
2000-08-22,0.0
2000-08-31,1.2862
2000-11-24,6.9841
2001-03-09,26.8882
2001-03-30,-17.381
2001-05-16,8.3573
2001-10-15,8.1081
2001-10-29,2.0
2001-10-30,2.9412000000000003
2001-11-13,8.5714
2001-11-27,5.2632
2001-12-10,6.6098
2002-01-02,4.0
2002-01-03,2.3077
2002-01-23,0.7519
2002-01-28,4.8507
2002-02-14,3.9146
2002-02-15,-2.7397
2002-02-19,5.6338
2002-02-22,2.0
2002-02-26,-3.268
2002-03-04,0.0
2002-03-05,2.0408
2002-03-06,1.3333
2002-03-07,-0.4934
2002-04-08,0.1653
2002-04-11,0.9901
2002-04-12,0.0
2002-04-15,4.5752
2002-04-17,3.125
2002-06-13,21.9512
2002-06-17,-4.0
2002-07-16,1.5625
2002-08-05,-4.1026
2002-08-07,0.5348
2002-10-07,-5.8824
2002-10-16,-1.9886
2002-10-24,-0.8116
2002-10-25,2.8638
2002-12-24,-3.4483
2003-01-09,1.1905000000000001
2003-02-10,0.0
2003-02-11,1.7647
2003-02-24,0.0
2003-02-25,4.0462
2003-03-18,-3.9106
2003-03-21,2.3256
2003-03-25,-0.5682
2003-04-17,4.0
2003-05-20,0.5495
2003-05-21,1.0929
2003-06-11,0.5435
2003-06-13,-0.5405
2003-06-23,0.5435
2003-07-14,-0.1351
2003-07-21,-1.2179
2003-07-22,0.274
2003-07-29,0.1366
2003-07-30,0.8186
2003-08-05,-0.6766
2003-08-06,1.3624
2003-08-07,0.0
2003-08-19,0.2688
2003-08-22,0.2681
2003-10-23,0.0
2003-11-11,0.0
2003-11-18,0.0
2003-11-20,1.6129
2004-04-12,14.2857
2004-08-24,0.6227
2004-08-26,3.9604
2004-09-16,3.9520999999999997
2004-09-22,10.5991
2004-09-23,0.0
2005-06-27,11.7078
2005-08-22,3.8462
2005-08-30,-6.8901
2005-09-14,8.0
2005-09-20,0.0
2005-09-30,1.8519
2005-12-09,3.1308
2006-05-26,-0.5391
2006-06-01,1.8182
2006-06-13,-1.0714
2006-07-06,26.3538
2006-08-23,0.0
2006-08-24,0.0
2006-08-28,-5.7143
2006-09-14,-4.3412
2006-09-15,6.6879
2006-11-30,-14.7392
