ticker,WRTC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-05-30,40.0
2018-05-31,3.4286
2018-06-04,10.4972
2018-06-06,-9.375
2018-06-08,-31.0345
2018-06-11,-20.0
2018-06-12,-36.25
2018-06-13,56.8627
2018-06-14,-1.25
2018-06-15,-24.0506
2018-06-19,5.0
2018-06-20,-7.9365
2018-06-21,12.069
2018-06-22,0.0
2018-06-25,7.6923
2018-06-26,-8.5714
2018-06-27,9.375
2018-06-28,0.0
2018-06-29,0.0
2018-07-02,7.1429
2018-07-03,0.0
2018-07-05,-9.3333
2018-07-06,-11.7647
2018-07-09,0.0
2018-07-10,-1.6667
2018-07-11,10.1695
2018-07-12,-4.6154
2018-07-13,-3.2258
2018-07-17,-8.3333
2018-07-18,0.0
2018-07-19,0.0
2018-07-20,-5.4545
2018-07-23,-3.8462
2018-07-24,-4.0
2018-07-25,4.1667
2018-07-26,4.0
2018-07-30,-9.6154
2018-07-31,-6.383
2018-08-01,-4.5455
2018-08-02,19.0476
2018-08-03,0.0
2018-08-06,0.0
2018-08-07,0.0
2018-08-08,0.0
2018-08-13,20.0
2018-08-14,13.3333
2018-08-15,-0.5882
2018-08-16,-0.8876
2018-08-17,-1.4925
2018-08-20,6.0606
2018-08-21,21.4286
2018-08-22,9.4118
2018-08-23,8.6022
2018-08-24,8.9109
2018-08-27,-9.0909
2018-08-28,0.0
2018-08-29,-22.0
2018-08-30,16.6667
2018-08-31,-2.4176
2018-09-04,-0.9009
2018-09-05,-3.8636
2018-09-06,-8.9835
2018-09-07,3.8961
2018-09-10,0.0
2018-09-11,-2.5
2018-09-12,-3.8462
2018-09-13,-3.7333
2018-09-14,2.4931
2018-09-17,-5.4054
2018-09-18,-8.5714
2018-09-19,2.8125
2018-09-20,-8.5106
2018-09-21,12.9568
2018-09-24,-1.4706000000000001
2018-09-25,4.4776
2018-09-26,8.857099999999999
2018-09-27,0.0
2018-09-28,2.3622
2018-10-01,0.0
2018-10-02,2.5641
2018-10-03,15.0
2018-10-04,1.087
2018-10-05,2.1505
2018-10-08,0.8421
2018-10-09,0.2088
2018-10-10,-8.3333
2018-10-11,0.0
2018-10-12,7.9545
2018-10-15,7.3684
2018-10-16,0.0
2018-10-17,-4.902
2018-10-18,1.0309
2018-10-19,7.1429
2018-10-22,-7.1429
2018-10-23,-0.1026
2018-10-24,1.0267
2018-10-25,0.0
2018-10-26,1.626
2018-10-29,-24.0
2018-10-30,0.0
2018-10-31,-5.5263
2018-11-01,10.0279
