ticker,YOGAQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-08-11,-11.818200000000001
2017-08-14,-10.3093
2017-08-15,3.908
2017-08-16,-2.4336
2017-08-17,-4.5351
2017-08-18,-5.4632
2017-08-21,9.0452
2017-08-22,-5.9908
2017-08-23,-2.2059
2017-08-24,2.5063
2017-08-25,-1.956
2017-08-28,-5.611
2017-08-29,-3.5667
2017-08-30,-4.9315
2017-08-31,-4.8991
2017-09-01,15.1515
2017-09-05,8.4211
2017-09-06,4.1262
2017-09-07,-5.8275
2017-09-08,-2.3515
2017-09-11,2.1546
2017-09-12,-1.2407
2017-09-13,1.5074999999999998
2017-09-14,1.2376
2017-09-15,-6.6015
2017-09-18,-1.0471
2017-09-19,-0.7937
2017-09-20,7.7333
2017-09-21,-0.9901
2017-09-22,-11.75
2017-09-25,-3.1161
2017-09-26,-7.6023
2017-09-27,-8.8608
2017-09-28,-1.7361
2017-09-29,-2.1201
2017-10-02,-2.1661
2017-10-03,1.476
2017-10-04,-2.1818
2017-10-05,-1.8587
2017-10-06,5.303
2017-10-09,0.7194
2017-10-10,1.7856999999999998
2017-10-11,4.5614
2017-10-12,1.3423
2017-10-13,-4.9669
2017-10-16,3.1359
2017-10-17,-2.027
2017-10-18,-1.3793
2017-10-19,-0.3497
2017-10-20,-3.8596
2017-10-23,-2.1898
2017-10-24,-1.1194
2017-10-25,-5.283
2017-10-26,-2.3904
2017-10-27,1.2245
2017-10-30,6.0484
2017-10-31,-3.8023
2017-11-01,4.7431
2017-11-02,4.5283
2017-11-03,2.8881
2017-11-06,1.7544
2017-11-07,-0.6897
2017-11-08,-2.4306
2017-11-09,0.7117
2017-11-10,-1.0601
2017-11-13,3.2143
2017-11-14,-1.3841
2017-11-15,-8.7719
2017-11-16,0.3846
2017-11-17,-0.7663
2017-11-20,0.7722
2017-11-21,-4.9808
2017-11-22,2.8226
2017-11-24,-1.9607999999999999
2017-11-27,-0.4
2017-11-28,-2.008
2017-11-29,2.0492
2017-11-30,-2.4096
2017-12-01,4.9383
2017-12-04,0.0
2017-12-05,-3.1373
2017-12-06,-2.4291
2017-12-07,-2.4896
2017-12-08,-2.9787
2017-12-11,0.4386
2017-12-12,-1.7467000000000001
2017-12-13,2.2222
2017-12-14,3.0435
2017-12-15,5.4852
2017-12-18,-4.4
2017-12-19,0.4184
2017-12-20,0.4167
2017-12-21,12.8631
2017-12-22,5.1471
2017-12-26,-4.5455
2017-12-27,-0.9927
2017-12-28,3.5924
