ticker,AIPC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.0488
2000-01-04,-4.4025
2000-01-05,1.3158
2000-01-06,-1.5152
2000-01-07,3.2967
2000-01-10,-2.9787
2000-01-11,-1.7544
2000-01-12,0.0
2000-01-13,0.0
2000-01-14,0.6696
2000-01-18,-3.7694
2000-01-19,-1.8433000000000002
2000-01-20,1.1737
2000-01-21,-0.232
2000-01-24,4.186
2000-01-25,0.6696
2000-01-26,-5.0998
2000-01-27,1.4019
2000-01-28,-0.2304
2000-01-31,1.1547
2000-02-01,0.2283
2000-02-02,0.0
2000-02-03,-0.2278
2000-02-04,0.4566
2000-02-07,-0.6818
2000-02-08,-1.1442
2000-02-09,-2.7778
2000-02-10,1.4285999999999999
2000-02-11,-2.3474
2000-02-14,0.0
2000-02-15,-1.2019
2000-02-16,0.2433
2000-02-17,0.9709
2000-02-18,-1.9231
2000-02-22,2.451
2000-02-23,-4.5455
2000-02-24,-1.0025
2000-02-25,-3.5443
2000-02-28,-3.9370000000000003
2000-02-29,0.0
2000-03-01,2.459
2000-03-02,-0.5333
2000-03-03,-3.4853
2000-03-06,-2.7778
2000-03-07,-2.8571
2000-03-08,-4.4118
2000-03-09,-2.7692
2000-03-10,-8.2278
2000-03-13,-0.6897
2000-03-14,2.0833
2000-03-15,-2.0408
2000-03-16,0.3472
2000-03-17,9.6886
2000-03-20,11.6719
2000-03-21,-0.565
2000-03-22,4.8295
2000-03-23,-4.336
2000-03-24,0.0
2000-03-27,0.0
2000-03-28,0.2833
2000-03-29,3.3898
2000-03-30,5.7377
2000-03-31,1.8088
2000-04-03,-0.7614
2000-04-04,2.8133
2000-04-05,-2.7363
2000-04-06,0.0
2000-04-07,0.5115
2000-04-10,-2.2901
2000-04-11,0.7813
2000-04-12,0.7752
2000-04-13,3.5897
2000-04-14,-3.4653
2000-04-17,-1.7949000000000002
2000-04-18,6.5274
2000-04-19,-2.451
2000-04-20,-1.005
2000-04-24,-1.0152
2000-04-25,-0.7692
2000-04-26,-0.2584
2000-04-27,2.0725
2000-04-28,-0.2538
2000-05-01,0.5089
2000-05-02,-2.0253
2000-05-03,2.3256
2000-05-04,2.2727
2000-05-05,-2.2222
2000-05-08,-1.2626
2000-05-09,0.2558
2000-05-10,3.3163
2000-05-11,2.716
2000-05-12,-2.8846
2000-05-15,4.9505
2000-05-16,-1.8868
2000-05-17,-0.9615
2000-05-18,-2.6699
2000-05-19,1.3404
2000-05-22,-0.5844
2000-05-23,-1.7327
