ticker,BHE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.0872
2000-01-04,-9.6591
2000-01-05,-0.6289
2000-01-06,-1.8987
2000-01-07,-4.1935
2000-01-10,2.3569
2000-01-11,-6.25
2000-01-12,4.2105
2000-01-13,6.0606
2000-01-14,1.5873
2000-01-18,-6.875
2000-01-19,7.3826
2000-01-20,-0.9375
2000-01-21,11.041
2000-01-24,6.8182
2000-01-25,22.8723
2000-01-26,-4.5455
2000-01-27,-2.7211
2000-01-28,-1.1655
2000-01-31,-4.9528
2000-02-01,1.9851
2000-02-02,4.6229
2000-02-03,3.9535
2000-02-04,-1.5659999999999998
2000-02-07,8.1818
2000-02-08,0.6303
2000-02-09,18.1628
2000-02-10,-3.5336
2000-02-11,-6.044
2000-02-14,-4.4834
2000-02-15,-2.8571
2000-02-16,0.8403
2000-02-17,2.7083
2000-02-18,-1.217
2000-02-22,0.4107
2000-02-23,-1.227
2000-02-24,3.1056
2000-02-25,-0.2008
2000-02-28,0.2012
2000-02-29,1.6064
2000-03-01,9.4862
2000-03-02,0.5415
2000-03-03,1.7953000000000001
2000-03-06,1.4109
2000-03-07,-4.0
2000-03-08,-3.2609
2000-03-09,1.8727
2000-03-10,0.0
2000-03-13,1.8382
2000-03-14,-5.4152000000000005
2000-03-15,-6.8702
2000-03-16,1.4344000000000001
2000-03-17,-0.6061
2000-03-20,-0.6098
2000-03-21,8.3845
2000-03-22,3.5849
2000-03-23,2.1858
2000-03-24,0.0
2000-03-27,-0.1783
2000-03-28,2.8571
2000-03-29,6.7708
2000-03-30,-0.9756
2000-03-31,-2.7915
2000-04-03,0.6757
2000-04-04,-5.3690999999999995
2000-04-05,4.7872
2000-04-06,1.692
2000-04-07,5.99
2000-04-10,-2.6688
2000-04-11,0.3226
2000-04-12,-11.5756
2000-04-13,2.5455
2000-04-14,-6.5603
2000-04-17,0.759
2000-04-18,2.2599
2000-04-19,1.6575
2000-04-20,4.1667
2000-04-24,2.9565
2000-04-25,10.6419
2000-04-26,-4.2748
2000-04-27,-2.2329
2000-04-28,4.894
2000-05-01,0.1555
2000-05-02,-4.6584
2000-05-03,-2.7687
2000-05-04,3.8526
2000-05-05,-0.1613
2000-05-08,-1.2924
2000-05-09,-3.2733
2000-05-10,-2.5381
2000-05-11,2.4306
2000-05-12,-1.3559
2000-05-15,1.8900000000000001
2000-05-16,-0.5059
2000-05-17,0.1695
2000-05-18,2.5381
2000-05-19,-2.8053
2000-05-22,-2.3769
