ticker,PTBTQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.3906
2000-01-04,-4.7059
2000-01-05,8.642
2000-01-06,-0.7576
2000-01-07,1.5267
2000-01-10,0.7519
2000-01-11,-1.1194
2000-01-12,0.0
2000-01-13,0.7547
2000-01-14,-1.8727
2000-01-18,-3.0534
2000-01-19,2.7559
2000-01-20,2.2989
2000-01-21,-1.1236
2000-01-24,-0.3788
2000-01-25,-4.943
2000-01-26,2.8
2000-01-27,1.1673
2000-01-28,0.3846
2000-01-31,-1.9157
2000-02-01,3.125
2000-02-02,-1.5152
2000-02-03,-3.0769
2000-02-04,1.4921
2000-02-07,-4.3307
2000-02-08,3.7037
2000-02-09,1.5873
2000-02-10,3.125
2000-02-11,-4.9242
2000-02-14,-1.1952
2000-02-15,3.2258
2000-02-16,1.9531
2000-02-17,2.682
2000-02-18,-2.2388
2000-02-22,5.3435
2000-02-23,2.5362
2000-02-24,-0.7067
2000-02-25,2.1352
2000-02-28,0.0
2000-02-29,6.6202
2000-03-01,4.2484
2000-03-02,-0.3135
2000-03-03,-3.7736
2000-03-06,-0.6536
2000-03-07,3.6184
2000-03-08,-0.3175
2000-03-09,-0.9554
2000-03-10,-3.8585000000000003
2000-03-13,1.6722000000000001
2000-03-14,-1.9737
2000-03-15,4.0268
2000-03-16,-0.9677
2000-03-17,0.6515
2000-03-20,-0.3236
2000-03-21,0.0
2000-03-22,-0.974
2000-03-23,0.0
2000-03-24,0.3279
2000-03-27,0.0
2000-03-28,-3.9215999999999998
2000-03-29,-2.0408
2000-03-30,2.4306
2000-03-31,-0.339
2000-04-03,3.0612
2000-04-04,-2.9703
2000-04-05,-0.3401
2000-04-06,2.7304
2000-04-07,-2.3256
2000-04-10,3.7415000000000003
2000-04-11,7.2131
2000-04-12,3.0581
2000-04-13,-2.6706
2000-04-14,-6.0976
2000-04-17,3.8961
2000-04-18,1.25
2000-04-19,0.0
2000-04-20,-2.4691
2000-04-24,2.2152
2000-04-25,5.2632
2000-04-26,-0.8824
2000-04-27,-0.9614
2000-04-28,2.7108
2000-05-01,-0.2933
2000-05-02,2.6471
2000-05-03,-1.7191999999999998
2000-05-04,4.0816
2000-05-05,0.0
2000-05-08,-1.6806999999999999
2000-05-09,-1.1396
2000-05-10,2.0173
2000-05-11,3.1073
2000-05-12,1.9178
2000-05-15,-1.0753
2000-05-16,0.0
2000-05-17,1.087
2000-05-18,0.5376
2000-05-19,-2.4064
2000-05-22,-0.274
