ticker,TJX UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-0.6116
2000-01-04,-5.2308
2000-01-05,-2.9221
2000-01-06,6.0201
2000-01-07,2.5237
2000-01-10,-1.5385
2000-01-11,-1.5625
2000-01-12,-0.6349
2000-01-13,-0.3195
2000-01-14,0.9615
2000-01-18,-3.1746
2000-01-19,-3.2787
2000-01-20,0.339
2000-01-21,-8.4459
2000-01-24,-1.845
2000-01-25,1.1278
2000-01-26,2.6022
2000-01-27,-0.7246
2000-01-28,-4.7445
2000-01-31,0.0
2000-02-01,1.9157
2000-02-02,5.2632
2000-02-03,3.9286
2000-02-04,0.3436
2000-02-07,-6.5068
2000-02-08,3.1355
2000-02-09,-3.2028
2000-02-10,1.4706000000000001
2000-02-11,-2.8986
2000-02-14,-0.3731
2000-02-15,-2.2472
2000-02-16,-4.2146
2000-02-17,-2.8
2000-02-18,-0.4115
2000-02-22,-1.6529
2000-02-23,-1.2605
2000-02-24,-2.9787
2000-02-25,-0.8772
2000-02-28,6.1947
2000-02-29,6.25
2000-03-01,3.5294
2000-03-02,1.5152
2000-03-03,1.1194
2000-03-06,-3.321
2000-03-07,-4.5802
2000-03-08,0.8
2000-03-09,-0.7937
2000-03-10,-2.4
2000-03-13,-1.6393
2000-03-14,0.8333
2000-03-15,12.3967
2000-03-16,17.647100000000002
2000-03-17,-5.0
2000-03-20,3.2895
2000-03-21,1.9108
2000-03-22,-0.3125
2000-03-23,0.0
2000-03-24,4.7022
2000-03-27,-0.8982
2000-03-28,1.8127
2000-03-29,0.2967
2000-03-30,8.5799
2000-03-31,-3.2698
2000-04-03,7.3239
2000-04-04,-2.0997
2000-04-05,1.3405
2000-04-06,-2.6455
2000-04-07,-0.5435
2000-04-10,-3.0055
2000-04-11,-1.9718
2000-04-12,-0.8621
2000-04-13,-2.3188
2000-04-14,-6.2315
2000-04-17,1.2658
2000-04-18,0.625
2000-04-19,1.5528
2000-04-20,0.3058
2000-04-24,-0.3049
2000-04-25,-3.0581
2000-04-26,-6.6246
2000-04-27,-2.7027
2000-04-28,6.5972
2000-05-01,0.9772
2000-05-02,-1.6129
2000-05-03,-5.2459
2000-05-04,3.4602
2000-05-05,0.6689
2000-05-08,-2.99
2000-05-09,1.9315
2000-05-10,-1.6835
2000-05-11,-1.3699
2000-05-12,0.3472
2000-05-15,7.9585
2000-05-16,2.5641
2000-05-17,-1.875
2000-05-18,1.9108
2000-05-19,2.5
2000-05-22,-0.6098
2000-05-23,3.9877000000000002
