ticker,AAP UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-11-30,2.7578
2001-12-03,-3.5006
2001-12-04,-3.9903
2001-12-05,10.8312
2001-12-06,-0.6364
2001-12-07,0.6404
2001-12-10,-0.3409
2001-12-11,-0.114
2001-12-12,-3.4247
2001-12-13,-0.9456
2001-12-14,-2.4105
2001-12-17,0.269
2001-12-18,0.0
2001-12-19,0.122
2001-12-20,3.0451
2001-12-21,7.1868
2001-12-24,1.0146
2001-12-26,0.4367
2001-12-27,2.0652
2001-12-28,0.213
2001-12-31,5.7386
2002-01-02,-3.9598
2002-01-03,-5.1905
2002-01-04,-6.181
2002-01-07,-1.6471
2002-01-08,-1.6745999999999999
2002-01-09,0.2433
2002-01-10,2.1845
2002-01-11,3.3254
2002-01-14,-1.3793
2002-01-15,7.2494
2002-01-16,1.9344000000000001
2002-01-17,0.6397
2002-01-18,0.2119
2002-01-22,-1.2685
2002-01-23,0.4283
2002-01-24,-1.3859
2002-01-25,1.4054
2002-01-28,-1.2793
2002-01-29,0.0
2002-01-30,0.7559
2002-01-31,0.4287
2002-02-01,0.5336
2002-02-04,-1.6348
2002-02-05,-0.9497
2002-02-06,-0.414
2002-02-07,-2.1882
2002-02-08,0.2237
2002-02-11,1.3393
2002-02-12,1.7621
2002-02-13,-2.5974
2002-02-14,-0.7778
2002-02-15,-0.112
2002-02-19,-0.2242
2002-02-20,-0.6742
2002-02-21,0.4072
2002-02-22,1.1717
2002-02-25,0.2227
2002-02-26,0.2222
2002-02-27,0.0
2002-02-28,-0.6652
2002-03-01,-2.0089
2002-03-04,0.0
2002-03-05,-0.4556
2002-03-06,-0.2288
2002-03-07,-6.1927
2002-03-08,1.467
2002-03-11,1.1807
2002-03-12,-0.4525
2002-03-13,-0.2392
2002-03-14,3.3573
2002-03-15,2.9002
2002-03-18,-0.2255
2002-03-19,1.6949
2002-03-20,-0.9778
2002-03-21,-0.1346
2002-03-22,-0.5618
2002-03-25,-0.452
2002-03-26,2.1566
2002-03-27,0.1111
2002-03-28,2.1088
2002-04-01,0.0217
2002-04-02,-2.1952
2002-04-03,-2.5556
2002-04-04,0.2965
2002-04-05,1.1824
2002-04-08,1.1236
2002-04-09,3.7778
2002-04-10,2.2484
2002-04-11,-0.0838
2002-04-12,-0.2306
2002-04-15,1.2605
2002-04-16,0.9336
2002-04-17,0.7194
2002-04-18,0.1633
2002-04-19,1.8745
2002-04-22,-0.2
2002-04-23,2.2044
2002-04-24,0.6863
2002-04-25,11.9766
