ticker,PPL UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.0055
2000-01-04,2.5352
2000-01-05,2.1978
2000-01-06,-1.3441
2000-01-07,1.9074
2000-01-10,-1.0695000000000001
2000-01-11,-0.8108
2000-01-12,0.545
2000-01-13,0.542
2000-01-14,-0.5391
2000-01-18,-0.813
2000-01-19,0.5464
2000-01-20,0.5435
2000-01-21,2.1622
2000-01-24,-0.5291
2000-01-25,-2.9255
2000-01-26,-0.8219
2000-01-27,2.4862
2000-01-28,-4.3126999999999995
2000-01-31,4.507
2000-02-01,-0.5391
2000-02-02,0.0
2000-02-03,1.897
2000-02-04,-4.5213
2000-02-07,-0.8357
2000-02-08,0.2809
2000-02-09,-0.8403
2000-02-10,-0.2825
2000-02-11,-1.1331
2000-02-14,1.4327
2000-02-15,1.6949
2000-02-16,-1.6667
2000-02-17,-1.6949
2000-02-18,-3.1609
2000-02-22,-0.2967
2000-02-23,-1.7856999999999998
2000-02-24,-1.5152
2000-02-25,-1.8462
2000-02-28,1.8809
2000-02-29,-0.9231
2000-03-01,0.3106
2000-03-02,0.6192
2000-03-03,1.2308
2000-03-06,-4.8632
2000-03-07,-2.2364
2000-03-08,-1.2288000000000001
2000-03-09,2.349
2000-03-10,0.9836
2000-03-13,-2.9221
2000-03-14,-1.0033
2000-03-15,7.7703
2000-03-16,6.5831
2000-03-17,-4.1176
2000-03-20,1.5337
2000-03-21,-1.2085
2000-03-22,-3.0581
2000-03-23,4.4164
2000-03-24,1.2085
2000-03-27,-0.597
2000-03-28,-3.3033
2000-03-29,1.5528
2000-03-30,1.8349
2000-03-31,0.6006
2000-04-03,-1.194
2000-04-04,2.1148
2000-04-05,1.1834
2000-04-06,-0.2924
2000-04-07,-0.2933
2000-04-10,0.8824
2000-04-11,1.7492999999999999
2000-04-12,1.7191999999999998
2000-04-13,3.0986
2000-04-14,-3.0055
2000-04-17,0.8451
2000-04-18,-2.7933
2000-04-19,-0.2874
2000-04-20,3.17
2000-04-24,6.4246
2000-04-25,1.8373
2000-04-26,2.8350999999999997
2000-04-27,-2.5063
2000-04-28,-1.7995
2000-05-01,-0.5236
2000-05-02,-4.4737
2000-05-03,1.1019
2000-05-04,1.9074
2000-05-05,-4.2781
2000-05-08,3.352
2000-05-09,1.6216
2000-05-10,0.7979
2000-05-11,1.5831
2000-05-12,-2.8571
2000-05-15,3.4759
2000-05-16,-1.8088
2000-05-17,-1.8420999999999998
2000-05-18,1.0724
2000-05-19,0.0
