ticker,TIN UN Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.9905
2000-01-04,-3.675
2000-01-05,3.8153
2000-01-06,2.0309
2000-01-07,0.9479
2000-01-10,-1.3146
2000-01-11,1.9029
2000-01-12,-1.3072
2000-01-13,-0.1892
2000-01-14,-0.1896
2000-01-18,-4.8433
2000-01-19,0.8982
2000-01-20,-1.3848
2000-01-21,-2.006
2000-01-24,-4.8106
2000-01-25,-1.0753
2000-01-26,0.7609
2000-01-27,-0.3236
2000-01-28,1.2987
2000-01-31,-4.3803
2000-02-01,0.5587
2000-02-02,-1.8889
2000-02-03,-1.1325
2000-02-04,0.8018
2000-02-07,-4.2045
2000-02-08,-0.2372
2000-02-09,0.1189
2000-02-10,4.038
2000-02-11,-4.2237
2000-02-14,-1.0727
2000-02-15,4.6988
2000-02-16,-0.4603
2000-02-17,-2.1965
2000-02-18,-4.1371
2000-02-22,3.0826000000000002
2000-02-23,-3.7081
2000-02-24,-2.4845
2000-02-25,-0.3822
2000-02-28,1.9335
2000-02-29,3.2828
2000-03-01,-1.5892
2000-03-02,-4.2236
2000-03-03,4.1505
2000-03-06,-5.9776
2000-03-07,-3.3113
2000-03-08,2.6027
2000-03-09,-3.3378
2000-03-10,-0.2762
2000-03-13,3.4626
2000-03-14,-4.9531
2000-03-15,10.2817
2000-03-16,6.0026
2000-03-17,-4.3373
2000-03-20,0.5038
2000-03-21,0.1253
2000-03-22,-3.2541
2000-03-23,0.6468
2000-03-24,-0.5141
2000-03-27,-2.1964
2000-03-28,-2.1136
2000-03-29,3.1039
2000-03-30,1.5707
2000-03-31,2.7062
2000-04-03,0.3764
2000-04-04,-0.875
2000-04-05,-1.2610000000000001
2000-04-06,-0.894
2000-04-07,-1.933
2000-04-10,4.205
2000-04-11,2.6482
2000-04-12,1.1057
2000-04-13,-1.7010999999999998
2000-04-14,-7.4166
2000-04-17,-0.1335
2000-04-18,1.4706000000000001
2000-04-19,1.1858
2000-04-20,0.5208
2000-04-24,0.5181
2000-04-25,4.1237
2000-04-26,0.495
2000-04-27,-2.3399
2000-04-28,1.1349
2000-05-01,0.4988
2000-05-02,0.2481
2000-05-03,-0.7426
2000-05-04,-0.2494
2000-05-05,3.0
2000-05-08,0.8495
2000-05-09,-0.6017
2000-05-10,1.937
2000-05-11,1.4252
2000-05-12,-1.6393
2000-05-15,2.2619
2000-05-16,-0.3492
2000-05-17,1.1682
2000-05-18,2.8868
2000-05-19,-2.9181
2000-05-22,-1.2717
