date,FSL B UN Equity
2004-11-26,-0.2228
2004-11-27,
2004-11-28,
2004-11-29,2.0101
2004-11-30,2.0799
2004-12-01,-0.2145
2004-12-02,0.4299
2004-12-03,-1.5516
2004-12-04,
2004-12-05,
2004-12-06,-2.663
2004-12-07,-1.1725
2004-12-08,-0.452
2004-12-09,-2.6107
2004-12-10,-1.5152
2004-12-11,
2004-12-12,
2004-12-13,0.0
2004-12-14,3.8462
2004-12-15,2.906
2004-12-16,-1.7165
2004-12-17,2.0282
2004-12-18,
2004-12-19,
2004-12-20,-1.7118
2004-12-21,-0.1124
2004-12-22,-0.5062
2004-12-23,-0.3392
2004-12-24,
2004-12-25,
2004-12-26,
2004-12-27,0.9643
2004-12-28,-0.2809
2004-12-29,1.6901
2004-12-30,-0.277
2004-12-31,2.0
2005-01-01,
2005-01-02,
2005-01-03,-2.5599
2005-01-04,-3.5774
2005-01-05,-2.2029
2005-01-06,1.1263
2005-01-07,0.2345
2005-01-08,
2005-01-09,
2005-01-10,-0.5848
2005-01-11,-1.7059
2005-01-12,-0.1795
2005-01-13,1.1391
2005-01-14,1.7783
2005-01-15,
2005-01-16,
2005-01-17,
2005-01-18,3.5527
2005-01-19,0.6187
2005-01-20,-3.6892
2005-01-21,-3.4823
2005-01-22,
2005-01-23,
2005-01-24,-2.1046
2005-01-25,2.0885
2005-01-26,2.0457
2005-01-27,3.9505
2005-01-28,-2.0987
2005-01-29,
2005-01-30,
2005-01-31,1.2167
2005-02-01,-0.4007
2005-02-02,-1.2069
2005-02-03,-0.2909
2005-02-04,5.8343
2005-02-05,
2005-02-06,
2005-02-07,0.441
2005-02-08,6.0373
2005-02-09,-3.1573
2005-02-10,-1.1224
2005-02-11,2.7027
2005-02-12,
2005-02-13,
2005-02-14,-0.6316
2005-02-15,0.6356
2005-02-16,-0.3158
2005-02-17,-0.0528
2005-02-18,-1.9017
2005-02-19,
2005-02-20,
2005-02-21,
2005-02-22,-0.9155
2005-02-23,0.4891
2005-02-24,2.1633
2005-02-25,1.1117
2005-02-26,
2005-02-27,
2005-02-28,0.4188
2005-03-01,3.4932
2005-03-02,-2.5693
2005-03-03,-1.758
2005-03-04,-1.4737
2005-03-05,
2005-03-06,
2005-03-07,1.0684
2005-03-08,-2.0613
2005-03-09,-2.8602
2005-03-10,0.2222
2005-03-11,-1.8293
2005-03-12,
2005-03-13,
2005-03-14,2.4845
2005-03-15,-3.0854
2005-03-16,-0.4548
2005-03-17,1.1993
2005-03-18,-0.5643
2005-03-19,
2005-03-20,
2005-03-21,-0.0568
2005-03-22,-0.3407
2005-03-23,0.8547
2005-03-24,-1.2994
2005-03-25,
2005-03-26,
2005-03-27,
2005-03-28,-0.4007
2005-03-29,-0.7471
2005-03-30,-0.4053
2005-03-31,0.2907
2005-04-01,-1.1014
2005-04-02,
2005-04-03,
2005-04-04,-1.1137
2005-04-05,1.3041
2005-04-06,0.8777
2005-04-07,3.4223
2005-04-08,0.3926
2005-04-09,
2005-04-10,
2005-04-11,-0.3352
2005-04-12,-1.8498
2005-04-13,-0.9709
2005-04-14,-0.6344
2005-04-15,-4.2368
2005-04-16,
2005-04-17,
2005-04-18,0.0
2005-04-19,2.5455
2005-04-20,0.0591
2005-04-21,3.3077
2005-04-22,7.8902
2005-04-23,
2005-04-24,
2005-04-25,0.159
2005-04-26,-1.6931
2005-04-27,-0.1615
2005-04-28,1.3477
