ticker,TFCFA UW Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-12-30,1.0286
2008-12-31,2.8281
2009-01-02,6.6007
2009-01-05,-1.9607999999999999
2009-01-06,3.6842
2009-01-07,-8.1218
2009-01-08,-1.4365
2009-01-09,-2.13
2009-01-12,-3.2073
2009-01-13,2.8402
2009-01-14,-6.6743
2009-01-15,-0.9864
2009-01-16,-0.1245
2009-01-20,-10.8479
2009-01-21,7.5524000000000004
2009-01-22,-6.502
2009-01-23,-3.338
2009-01-26,-0.4317
2009-01-27,-2.7457000000000003
2009-01-28,12.0357
2009-01-29,-9.8143
2009-01-30,-6.0294
2009-02-02,4.2254
2009-02-03,1.952
2009-02-04,-2.651
2009-02-05,4.9924
2009-02-06,0.5764
2009-02-09,-2.8653
2009-02-10,-6.1947
2009-02-11,1.7296
2009-02-12,1.0819
2009-02-13,-0.6116
2009-02-17,-5.8462
2009-02-18,0.0
2009-02-19,-1.634
2009-02-20,0.3322
2009-02-23,-4.3046
2009-02-24,5.8824
2009-02-25,-0.9804
2009-02-26,-4.7855
2009-02-27,-3.6395
2009-03-02,-5.036
2009-03-03,1.1364
2009-03-04,5.9925
2009-03-05,-5.477
2009-03-06,-0.7477
2009-03-09,-4.8964
2009-03-10,10.4208
2009-03-11,3.6298
2009-03-12,2.4518
2009-03-13,2.5641
2009-03-16,0.1667
2009-03-17,5.8236
2009-03-18,2.673
2009-03-19,-4.7473
2009-03-20,-2.2508
2009-03-23,11.0197
2009-03-24,-1.1852
2009-03-25,1.6492
2009-03-26,3.6873
2009-03-27,-1.2802
2009-03-30,-6.6282
2009-03-31,2.1605
2009-04-01,5.136
2009-04-02,8.1897
2009-04-03,3.5857
2009-04-06,-3.0769
2009-04-07,-4.4974
2009-04-08,0.554
2009-04-09,7.7135
2009-04-13,-1.1509
2009-04-14,-4.2691
2009-04-15,1.7568000000000001
2009-04-16,5.7105
2009-04-17,4.5226
2009-04-20,-8.774000000000001
2009-04-21,2.2398
2009-04-22,0.2577
2009-04-23,-1.4139
2009-04-24,3.5202
2009-04-27,-4.534
2009-04-28,-0.6596
2009-04-29,8.2337
2009-04-30,1.3497
2009-05-01,1.4527999999999999
2009-05-04,8.1146
2009-05-05,-0.3311
2009-05-06,4.6512
2009-05-07,0.0
2009-05-08,2.2222
2009-05-11,-4.7619
2009-05-12,-2.6087
2009-05-13,-6.9196
2009-05-14,5.8753
2009-05-15,-2.6048
2009-05-18,6.7442
2009-05-19,0.2179
2009-05-20,-1.5217
