feature,feature_score
blacklist_13,0.0023366619055599706
ceo_18,0.020017444367336604
committee_4,0.029288868781908794
committee_11,0.011159287135553442
committee_14,0.01873266437172132
committee_16,0.04056885355578536
committee_19,0.010831115260838346
consume_1,0.04732273941106608
government_3,0.02853357030744566
headlines_7,0.00010767143492169129
movie_5,0.006104553417805481
representatives_14,0.01326635266792915
senate_8,0.007331934115400757
served_4,0.020547841157756517
transaction_3,0.003192952368311562
fed_18,
elected,
services,
color_13,
consume_7,
movie_9,
bubble_5,
earnings,
market_1,
media,
buy_5,
market_4,
short selling,
election_10,
election_1,
market_18,
economics,
headlines_15,
oil,
movie_1,
government_16,
law,
credit,
consume_11,
nyse_8,
invest,
missouri,
buy_9,
committee_10,
headlines_10,
carolina,
crisis,
money,
movie_19,
government_14,
committee_15,
headlines_5,
market_19,
nyse_15,
car_7,
markets_6,
default,
fed_15,
election_19,
nyse_13,
metals,
election_16,
buy_13,
senate_15,
government,
derivatives,
ceo_5,
election_18,
car_11,
arts,
markets_18,
government_6,
ceo_13,
election_14,
bubble_15,
committee_5,
happy,
color_20,
secretary_5,
secretary_13,
rich,
world,
served_14,
blacklist_19,
ohio,
markets,
nyse_17,
train,
buy_6,
car_13,
election_12,
movie_16,
consume_14,
blacklist_12,
million_8,
senate_1,
lifestyle,
market_20,
council,
movie_4,
case,
corporation,
color_11,
nyse_19,
color_1,
fed_20,
blacklist_1,
markets_1,
buy_15,
secretary_1,
stock market,
district,
consume_16,
representatives_18,
headlines_16,
government_2,
senate_14,
markets_5,
transaction_11,
served_5,
government_5,
market_10,
fed_19,
blacklist_17,
consume_10,
pennsylvania,
transaction_17,
investment,
chance,
consumption_18,
representatives_9,
car_5,
car_1,
representatives_13,
car_14,
market_3,
transaction_5,
market_8,
election_4,
fed_4,
movement,
consume_5,
financial markets,
headlines_2,
cash,
movie,
markets_8,
committee_7,
headlines_20,
fed_7,
served_12,
million_4,
market_15,
nyse_9,
buy_4,
profit,
markets_9,
secretary_20,
transaction_7,
bubble_1,
color_4,
republican,
georgia,
markets_2,
act,
million,
secretary_2,
consume_4,
gains,
markets_4,
government_20,
nyse_20,
markets_10,
labor,
million_12,
blacklist_14,
election_8,
million_6,
million_11,
bubble_17,
bank,
bubble_12,
headlines_12,
car_8,
success,
buy_19,
sell,
ceo_8,
secretary_10,
ceo_12,
buy_7,
markets_17,
virginia,
government_1,
movie_18,
election_5,
loss,
portfolio,
fine,
fed_5,
consume_18,
college,
election_11,
kitchen,
committee_18,
wisconsin,
car_12,
conflict,
senate_7,
secretary_6,
tennessee,
inc,
ceo_7,
committee_6,
headlines_6,
million_17,
bubble,
senate_11,
companies,
secretary_3,
served_10,
political,
consumption_3,
secretary_4,
dividend,
ceo_6,
committee_1,
government_8,
consumption_20,
representatives_5,
ore,
housing,
buy_20,
washington,
nyse_3,
million_15,
police,
stocks,
car_15,
health,
blacklist_4,
dow jones,
democratic,
crash,
election_9,
million_10,
transaction_19,
nyse_1,
leverage,
gold,
stats,
party,
consumption_17,
senate_5,
project,
travel,
gain,
movie_2,
car_3,
committee_20,
committee_12,
fed,
government_11,
transaction_14,
economic,
secretary_16,
transaction_10,
bubble_14,
transaction_4,
served_2,
bubble_4,
fed_8,
texas,
secretary_15,
target_return,
debt,
bubble_10,
served_6,
government_4,
community,
ceo_1,
million_16,
markets_19,
consumption_7,
ceo_20,
management,
greed,
bubble_13,
government_13,
election_20,
consume_9,
million_14,
secretary_18,
market_9,
ltd,
fond,
committee_17,
bubble_11,
million_7,
tourism,
senate_13,
senate_9,
election_6,
fed_12,
consumption_19,
secretary_8,
blacklist_20,
buy,
headlines_9,
hedge,
buy_10,
movie_12,
minister,
headlines_17,
movie_14,
representatives_4,
markets_14,
ceo_11,
firm,
voters,
house,
headlines_18,
movie_10,
ceo,
fun,
headlines,
technology,
present,
movie_6,
buy_8,
senate_16,
returns,
nyse_7,
ring,
members,
market_16,
transaction_15,
buy_18,
representatives_11,
kentucky,
committee_3,
consumption_2,
secretary,
bubble_20,
blacklist_7,
car,
served_16,
restaurant,
ceo_19,
fed_10,
color_5,
markets_3,
election_2,
color_18,
government_9,
environment,
bubble_8,
markets_7,
justice,
DOW JONES,
nasdaq,
marriage,
movie_15,
movie_20,
market_7,
buy_17,
BUY AND HOLD,
transaction_16,
million_18,
blacklist_11,
color,
consumption_10,
consumption_4,
nyse_4,
transaction_8,
court,
service,
trader,
buy_16,
global,
bubble_2,
short sell,
consumption_16,
representatives_17,
security,
votes,
consume_8,
senate_20,
war,
opportunity,
blacklist_3,
representatives_2,
energy,
election_17,
social,
movie_7,
nyse_12,
representatives_8,
committee_9,
market_17,
senate_6,
served_13,
food,
revenue,
market_12,
banking,
county,
car_19,
consumption_12,
transaction_6,
secretary_19,
union,
car_9,
car_16,
bubble_9,
market,
served_19,
transaction,
market_11,
movie_13,
representatives,
color_12,
consumption_9,
nyse_14,
consumption_1,
consume_13,
senate_3,
nyse_16,
forex,
ceo_3,
ministry,
consume_17,
government_10,
million_1,
car_17,
market_5,
election_15,
representatives_20,
cancer,
business,
served_1,
holiday,
garden,
return,
markets_11,
markets_12,
representatives_3,
transaction_12,
president,
blacklist_5,
blacklist_16,
buy_3,
secretary_17,
fed_1,
color_10,
senate_4,
rare earths,
fed_9,
government_12,
secretary_14,
development,
served,
car_4,
headlines_3,
government_17,
representatives_1,
movie_3,
secretary_11,
million_19,
served_7,
transaction_20,
unemployment,
consumption_8,
served_11,
secretary_7,
markets_13,
illinois,
representatives_16,
representatives_12,
representatives_10,
blacklist_10,
rights,
fed_3,
headlines_13,
buy_14,
buy_1,
transaction_1,
market_13,
committee,
seats,
color_15,
governor,
market_2,
consumption_6,
elections,
transaction_9,
consume_2,
government_15,
secretary_9,
car_2,
fed_13,
consume_12,
senate_17,
million_2,
nyse_18,
ceo_14,
blacklist_9,
consume_15,
office,
committee_13,
senate_2,
blacklist_2,
bubble_18,
senate_19,
served_3,
society,
color_8,
election_3,
headlines_19,
inflation,
consume_3,
nyse,
color_19,
consumption_14,
market_6,
million_5,
government_19,
car_18,
representatives_7,
served_18,
bubble_19,
color_3,
served_15,
color_9,
car_20,
culture,
nyse_2,
fed_11,
buy_12,
ceo_2,
color_14,
religion,
bubble_6,
ceo_4,
marketing,
million_9,
movie_8,
ceo_17,
committee_2,
bubble_7,
election,
massachusetts,
movie_11,
car_6,
buy_2,
headlines_1,
consumption_11,
consume_6,
color_2,
headlines_8,
nyse_5,
senate_12,
financial,
markets_20,
secretary_12,
consumption_5,
consumption,
senate_10,
blacklist_8,
color_16,
ceo_10,
million_20,
election_13,
ceo_9,
william,
markets_15,
fed_17,
blacklist_6,
economy,
served_20,
representatives_15,
york,
million_3,
buy_11,
transaction_18,
industry,
government_18,
transaction_2,
color_6,
bubble_3,
headlines_11,
markets_16,
consumption_13,
transaction_13,
fed_6,
legal,
finance,
home,
market_14,
water,
election_7,
blacklist_15,
bubble_16,
fed_16,
senate,
ceo_15,
million_13,
car_10,
bonds,
risk,
founded,
judge,
blacklist_18,
nyse_10,
movie_17,
headlines_14,
freedom,
politics,
committee_8,
representatives_19,
consumption_15,
representatives_6,
products,
consume_20,
vermont,
federal,
growth,
color_7,
headlines_4,
nyse_6,
consume_19,
served_17,
fed_14,
senate_18,
served_8,
government_7,
fed_2,
consume,
nyse_11,
served_9,
color_17,
blacklist,
ceo_16,
