feature,feature_score
bubble_9,0.000202964628128132
color_1,0.008212064760751793
fond_1,0.011605770329550888
fond_3,0.023955382202034067
home_1,0.014776681836394339
home_3,0.020859683353532242
home_4,0.00453243665806511
home_5,0.0063401424291049885
home_7,0.0025754884700458767
home_8,0.00775228227383638
house_2,0.008327018117206368
consumption_10,
consumption_4,
cash_5,
house_6,
elected,
services,
color_13,
religion_16,
court,
bubble_5,
earnings,
travel_9,
media,
service,
trader,
home_17,
global,
bubble_2,
short selling,
success_1,
short sell,
cash_11,
consumption_16,
fond_10,
garden_2,
unemployment_13,
unemployment_16,
security,
votes,
garden_18,
house_4,
economics,
cash_13,
senate_20,
oil,
war,
opportunity,
opportunity_8,
law,
credit,
religion_19,
fond_11,
cash_10,
success_7,
invest,
missouri,
energy,
senate_6,
derivatives_13,
social,
success_2,
opportunity_9,
unemployment_11,
derivatives_10,
food,
carolina,
revenue,
crisis,
money,
cash_16,
banking,
home_14,
county,
home_18,
unemployment_7,
unemployment_9,
garden_13,
car_7,
car_19,
house_1,
consumption_12,
default,
success_9,
unemployment_18,
union,
travel_1,
car_9,
derivatives_15,
metals,
car_16,
religion_13,
senate_15,
government,
derivatives,
market,
garden_3,
transaction,
opportunity_16,
car_11,
travel_10,
representatives,
color_12,
success_11,
arts,
consumption_9,
derivatives_16,
travel_7,
bubble_15,
happy,
color_20,
consumption_1,
religion_1,
rich,
world,
derivatives_19,
derivatives_18,
senate_3,
ohio,
markets,
train,
success_4,
forex,
car_13,
cash_4,
travel_15,
ministry,
house_8,
car_17,
senate_1,
house_9,
lifestyle,
travel_19,
council,
cash_20,
case,
corporation,
color_11,
cancer,
business,
garden_20,
stock market,
district,
unemployment_2,
holiday,
house_16,
derivatives_2,
unemployment_1,
garden,
garden_6,
senate_14,
religion_14,
pennsylvania,
home_15,
fond_12,
garden_17,
return,
investment,
chance,
consumption_18,
car_5,
derivatives_3,
travel_4,
president,
car_1,
religion_6,
derivatives_17,
car_14,
cash_8,
unemployment_15,
movement,
home_19,
financial markets,
cash,
movie,
color_10,
senate_4,
success_18,
rare earths,
development,
served,
car_4,
derivatives_1,
derivatives_20,
unemployment_17,
home_20,
opportunity_12,
derivatives_6,
profit,
cash_2,
religion_10,
bubble_1,
derivatives_12,
opportunity_3,
garden_12,
color_4,
republican,
cash_14,
georgia,
act,
house_13,
million,
unemployment,
gains,
opportunity_6,
consumption_8,
fond_6,
labor,
home_13,
bubble_17,
bank,
bubble_12,
house_10,
car_8,
illinois,
success,
sell,
rights,
unemployment_4,
religion_9,
religion_3,
cash_3,
virginia,
fond_9,
derivatives_5,
success_5,
unemployment_10,
travel_11,
loss,
portfolio,
fine,
unemployment_12,
home_10,
college,
committee,
seats,
color_15,
governor,
kitchen,
wisconsin,
religion_2,
travel_14,
consumption_6,
religion_17,
car_12,
conflict,
senate_7,
success_16,
elections,
tennessee,
house_14,
opportunity_15,
fond_4,
opportunity_19,
inc,
car_2,
senate_17,
fond_15,
bubble,
success_10,
senate_11,
companies,
travel_17,
house_18,
political,
house_11,
consumption_3,
dividend,
house_17,
fond_16,
office,
travel_12,
consumption_20,
derivatives_14,
senate_2,
ore,
bubble_18,
housing,
cash_18,
house_3,
senate_19,
society,
religion_18,
washington,
color_8,
senate_8,
inflation,
opportunity_7,
garden_10,
police,
stocks,
car_15,
health,
nyse,
color_19,
consumption_14,
derivatives_7,
home_9,
success_17,
travel_2,
garden_19,
car_18,
bubble_19,
travel_8,
dow jones,
democratic,
crash,
color_3,
color_9,
car_20,
travel_18,
success_8,
culture,
leverage,
gold,
success_6,
garden_8,
stats,
party,
travel_6,
color_14,
consumption_17,
senate_5,
project,
travel,
gain,
garden_11,
car_3,
cash_19,
fed,
religion,
bubble_6,
economic,
success_15,
marketing,
bubble_14,
success_20,
bubble_7,
election,
opportunity_2,
cash_1,
garden_1,
massachusetts,
religion_5,
bubble_4,
opportunity_11,
travel_5,
religion_20,
texas,
fond_8,
opportunity_18,
cash_12,
garden_15,
target_return,
car_6,
debt,
bubble_10,
consumption_11,
fond_5,
color_2,
home_16,
community,
travel_16,
senate_12,
financial,
consumption_7,
management,
greed,
bubble_13,
cash_15,
unemployment_6,
religion_12,
home_11,
consumption_5,
consumption,
opportunity_20,
senate_10,
home_12,
color_16,
opportunity_1,
unemployment_8,
fond_19,
religion_7,
opportunity_4,
ltd,
fond,
bubble_11,
william,
fond_2,
cash_17,
house_15,
tourism,
home_2,
senate_13,
senate_9,
economy,
consumption_19,
buy,
color_17,
hedge,
house_12,
york,
garden_14,
minister,
industry,
fond_13,
color_6,
firm,
voters,
opportunity_14,
house,
bubble_3,
house_20,
home_6,
ceo,
success_3,
fun,
fond_17,
headlines,
technology,
consumption_13,
house_7,
garden_7,
cash_7,
legal,
finance,
present,
house_5,
home,
water,
senate_16,
bubble_16,
senate,
returns,
fond_20,
travel_20,
cash_9,
ring,
car_10,
success_12,
members,
garden_9,
