feature,feature_score
crisis_5,0.0026007441666064356
firm_2,0.005877993438296377
founded_6,0.008623430207170513
founded_11,0.03810137003235504
gold_13,0.04510790001289003
labor_19,0.015234384082362646
nyse_6,0.00026273003536508063
rich_1,0.0012197520216339945
rich_16,0.032793149495826165
ring_5,0.03380188765460322
ring_12,0.01599047500465092
trader_4,
nyse_4,
gold_6,
elected,
services,
democratic_18,
court,
growth_15,
earnings,
ring_3,
media,
firm_10,
gold_12,
service,
trader,
global,
labor_16,
short selling,
short sell,
firm_19,
security,
democratic_6,
founded_18,
votes,
economics,
oil,
trader_18,
ring_10,
firm_20,
war,
opportunity,
crisis_7,
law,
credit,
nyse_8,
growth_17,
invest,
missouri,
energy,
nyse_12,
trader_3,
social,
gold_14,
crisis_17,
food,
rich_19,
carolina,
trader_14,
revenue,
crisis,
growth_9,
money,
ring_7,
banking,
growth_13,
portfolio_13,
nyse_15,
county,
trader_16,
growth_18,
ring_4,
ring_6,
default,
firm_3,
present_11,
union,
firm_9,
metals,
crisis_12,
nyse_13,
government,
derivatives,
market,
ceo_5,
transaction,
gold_4,
representatives,
arts,
gold_17,
growth_5,
ceo_13,
nyse_14,
democratic_14,
happy,
rich,
world,
labor_7,
firm_11,
founded_10,
gold_9,
ohio,
crisis_8,
crisis_18,
firm_5,
nyse_16,
markets,
growth_4,
train,
firm_16,
nyse_17,
forex,
ceo_3,
ministry,
crisis_1,
democratic_19,
crisis_2,
founded_4,
democratic_5,
lifestyle,
council,
case,
corporation,
labor_6,
nyse_19,
crisis_16,
cancer,
business,
stock market,
district,
portfolio_5,
holiday,
gold_3,
garden,
pennsylvania,
founded_17,
growth_8,
ring_18,
return,
investment,
chance,
gold_8,
rich_12,
president,
democratic_10,
trader_17,
present_2,
present_15,
founded_5,
movement,
democratic_12,
financial markets,
gold_16,
cash,
movie,
founded_8,
rare earths,
labor_5,
development,
trader_13,
served,
firm_18,
democratic_17,
crisis_9,
rich_13,
gold_18,
ring_17,
trader_8,
nyse_9,
profit,
labor_12,
present_10,
gold_10,
firm_7,
democratic_9,
founded_9,
present_18,
ring_15,
republican,
labor_2,
georgia,
portfolio_15,
act,
growth_14,
million,
rich_14,
trader_20,
crisis_10,
unemployment,
gains,
rich_2,
nyse_20,
growth_11,
labor,
labor_13,
labor_15,
bank,
rich_10,
illinois,
rich_9,
success,
ceo_8,
sell,
rights,
ceo_12,
founded_19,
virginia,
loss,
portfolio,
fine,
present_6,
firm_12,
college,
founded_1,
committee,
seats,
rich_8,
founded_14,
governor,
kitchen,
ring_11,
wisconsin,
portfolio_18,
rich_5,
conflict,
elections,
tennessee,
ring_19,
firm_8,
growth_20,
inc,
ceo_7,
portfolio_17,
trader_9,
bubble,
companies,
political,
nyse_18,
dividend,
gold_11,
ceo_6,
ceo_14,
present_9,
office,
ore,
growth_7,
housing,
society,
washington,
inflation,
nyse_3,
present_8,
labor_10,
democratic_13,
labor_20,
police,
stocks,
nyse,
health,
founded_12,
portfolio_7,
firm_4,
gold_1,
crisis_13,
portfolio_11,
ring_8,
rich_11,
ring_20,
dow jones,
democratic,
crash,
founded_16,
present_1,
rich_4,
labor_14,
growth_2,
growth_3,
leverage,
nyse_1,
gold,
culture,
nyse_2,
stats,
party,
democratic_11,
ceo_2,
labor_11,
rich_3,
trader_12,
growth_16,
project,
travel,
gain,
labor_8,
present_3,
trader_7,
democratic_2,
founded_3,
fed,
portfolio_20,
rich_20,
economic,
religion,
founded_20,
ceo_4,
marketing,
growth_6,
ceo_17,
ring_9,
election,
portfolio_9,
portfolio_3,
massachusetts,
gold_5,
labor_4,
texas,
rich_18,
crisis_6,
target_return,
firm_15,
present_14,
debt,
firm_13,
gold_20,
portfolio_19,
crisis_11,
crisis_3,
labor_18,
community,
ceo_1,
nyse_5,
financial,
trader_5,
growth_12,
ceo_20,
management,
greed,
trader_10,
portfolio_2,
consumption,
democratic_1,
gold_15,
labor_9,
portfolio_8,
ceo_10,
crisis_15,
ceo_9,
ltd,
fond,
william,
ring_16,
portfolio_14,
labor_3,
tourism,
portfolio_4,
economy,
buy,
present_4,
hedge,
trader_11,
york,
present_19,
democratic_4,
minister,
industry,
democratic_8,
present_5,
rich_7,
growth_10,
labor_1,
present_13,
ceo_11,
firm,
voters,
ring_2,
house,
rich_17,
democratic_3,
ceo,
fun,
present_17,
gold_2,
growth_1,
headlines,
technology,
firm_6,
legal,
finance,
present,
home,
water,
trader_2,
trader_15,
trader_6,
firm_17,
ring_1,
senate,
returns,
ceo_15,
nyse_7,
ring,
members,
rich_15,
crisis_19,
bonds,
risk,
kentucky,
ceo_18,
firm_14,
founded,
rich_6,
judge,
founded_2,
democratic_20,
nyse_10,
democratic_7,
present_20,
freedom,
secretary,
trader_1,
politics,
gold_19,
car,
trader_19,
products,
vermont,
restaurant,
portfolio_12,
ring_14,
ceo_19,
founded_15,
federal,
growth,
democratic_16,
present_16,
firm_1,
democratic_15,
present_12,
present_7,
environment,
crisis_4,
gold_7,
portfolio_16,
portfolio_10,
founded_13,
justice,
DOW JONES,
nasdaq,
marriage,
portfolio_6,
portfolio_1,
founded_7,
ring_13,
growth_19,
labor_17,
consume,
crisis_20,
nyse_11,
crisis_14,
BUY AND HOLD,
blacklist,
color,
ceo_16,
