feature,feature_score
case_1,0.01320261060934097
committee_19,0.00031318587670888415
committee_20,0.017373249663855252
fed_15,0.016997171129731373
home_1,0.02000500634871109
home_8,0.016955927876593568
home_9,0.037083360484134666
home_12,0.013564357755868334
justice_12,0.033287544158420466
market_13,0.0008151964400107157
politics_1,0.017582841813874952
project_8,0.00027419436732123355
project_12,0.014139267334917117
restaurant_14,0.049887781323786934
restaurant_17,0.013413667834145012
travel_5,0.011688043766416384
unemployment_1,0.004497085079649856
virginia_1,0.04649936266479566
wisconsin_14,0.002391897663716278
fed_18,
elected,
services,
politics_3,
earnings,
travel_9,
market_1,
politics_9,
media,
home_17,
market_4,
short selling,
act_2,
unemployment_13,
project_3,
market_18,
economics,
oil,
loss_1,
project_14,
loss_20,
law,
credit,
washington_7,
invest,
missouri,
loss_10,
political_17,
wisconsin_7,
unemployment_11,
political_9,
committee_10,
return_1,
carolina,
crisis,
wisconsin_9,
money,
committee_15,
market_19,
project_4,
water_19,
unemployment_9,
loss_15,
justice_8,
restaurant_7,
default,
project_18,
unemployment_18,
travel_1,
metals,
wisconsin_2,
return_19,
restaurant_4,
government,
derivatives,
travel_10,
arts,
case_2,
council_16,
justice_5,
water_17,
council_1,
committee_5,
happy,
loss_3,
rich,
world,
politics_4,
loss_8,
return_17,
washington_18,
ohio,
return_4,
arts_14,
markets,
train,
arts_4,
loss_14,
travel_15,
project_6,
justice_2,
politics_18,
lifestyle,
market_20,
council,
travel_19,
wisconsin_16,
case,
corporation,
return_5,
act_16,
fed_20,
stock market,
district,
restaurant_1,
loss_13,
market_10,
fed_19,
pennsylvania,
home_15,
investment,
chance,
travel_4,
market_3,
market_8,
fed_4,
movement,
unemployment_15,
home_19,
financial markets,
cash,
movie,
project_9,
committee_7,
wisconsin_17,
fed_7,
washington_14,
market_15,
home_20,
politics_12,
washington_10,
politics_2,
return_11,
profit,
case_19,
wisconsin_6,
republican,
georgia,
return_15,
act,
project_19,
million,
gains,
council_10,
council_17,
justice_11,
political_20,
politics_17,
arts_17,
justice_19,
project_2,
labor,
project_15,
project_13,
bank,
act_19,
arts_12,
success,
wisconsin_12,
sell,
unemployment_4,
virginia,
justice_15,
unemployment_10,
loss,
portfolio,
fine,
act_13,
case_10,
fed_5,
council_5,
justice_6,
college,
case_9,
restaurant_6,
washington_20,
kitchen,
committee_18,
wisconsin,
travel_14,
act_20,
loss_19,
water_13,
act_4,
conflict,
water_15,
tennessee,
justice_1,
inc,
restaurant_10,
committee_6,
bubble,
act_8,
travel_17,
companies,
political,
water_7,
case_20,
dividend,
washington_15,
committee_1,
arts_8,
travel_12,
ore,
housing,
justice_16,
washington,
wisconsin_20,
water_9,
politics_13,
restaurant_11,
police,
stocks,
return_16,
health,
justice_10,
water_4,
travel_2,
act_9,
dow jones,
democratic,
crash,
travel_18,
virginia_5,
act_10,
leverage,
water_5,
gold,
return_10,
stats,
party,
travel_6,
water_11,
project,
travel,
gain,
water_14,
committee_12,
fed,
economic,
arts_9,
virginia_18,
fed_8,
texas,
target_return,
wisconsin_15,
political_18,
debt,
loss_12,
case_14,
arts_18,
return_2,
community,
travel_16,
wisconsin_1,
wisconsin_18,
management,
greed,
political_1,
politics_15,
unemployment_6,
home_11,
return_3,
virginia_19,
arts_13,
return_12,
market_9,
ltd,
fond,
committee_17,
wisconsin_13,
tourism,
restaurant_5,
case_4,
wisconsin_4,
wisconsin_10,
fed_12,
return_14,
buy,
arts_1,
hedge,
minister,
act_17,
return_20,
case_3,
firm,
voters,
house,
wisconsin_11,
ceo,
virginia_11,
fun,
headlines,
technology,
return_7,
present,
act_7,
washington_8,
washington_13,
returns,
travel_20,
ring,
members,
market_16,
virginia_12,
kentucky,
arts_7,
political_4,
committee_3,
secretary,
council_7,
car,
arts_2,
justice_14,
restaurant,
virginia_3,
fed_10,
restaurant_16,
restaurant_8,
political_8,
washington_6,
restaurant_13,
environment,
arts_15,
virginia_17,
justice,
DOW JONES,
nasdaq,
marriage,
restaurant_9,
travel_3,
unemployment_3,
market_7,
case_6,
BUY AND HOLD,
color,
justice_9,
court,
service,
trader,
global,
short sell,
political_12,
arts_16,
unemployment_16,
washington_3,
security,
votes,
restaurant_3,
war,
opportunity,
act_15,
energy,
return_13,
social,
council_12,
washington_4,
committee_9,
market_17,
virginia_7,
politics_16,
food,
revenue,
market_12,
banking,
council_2,
home_14,
wisconsin_8,
county,
home_18,
unemployment_7,
water_16,
union,
case_11,
loss_16,
market,
transaction,
market_11,
political_16,
justice_20,
restaurant_19,
representatives,
loss_5,
travel_7,
washington_5,
council_11,
water_8,
arts_3,
restaurant_20,
case_7,
project_20,
forex,
ministry,
political_13,
politics_5,
justice_7,
market_5,
return_6,
politics_19,
committee_16,
water_20,
act_6,
political_11,
cancer,
politics_10,
business,
politics_14,
council_4,
arts_11,
act_11,
unemployment_2,
holiday,
loss_9,
garden,
home_3,
case_18,
washington_19,
case_16,
return,
virginia_9,
arts_20,
president,
council_9,
washington_16,
arts_5,
project_10,
virginia_2,
washington_9,
fed_1,
rare earths,
council_3,
fed_9,
restaurant_18,
development,
served,
council_13,
unemployment_17,
restaurant_12,
political_10,
politics_6,
loss_18,
virginia_10,
project_7,
case_12,
political_6,
unemployment,
politics_7,
project_17,
loss_2,
council_19,
home_13,
water_6,
loss_7,
illinois,
rights,
fed_3,
home_4,
case_8,
justice_4,
virginia_8,
political_3,
travel_11,
unemployment_12,
home_10,
act_1,
return_18,
committee,
council_8,
seats,
governor,
market_2,
water_1,
political_15,
restaurant_15,
elections,
water_12,
home_5,
political_19,
fed_13,
politics_20,
arts_6,
virginia_16,
home_7,
return_8,
council_14,
office,
committee_13,
politics_11,
society,
inflation,
case_5,
wisconsin_5,
project_16,
nyse,
market_6,
committee_14,
restaurant_2,
water_3,
travel_8,
arts_19,
culture,
justice_18,
case_13,
fed_11,
act_5,
political_5,
religion,
marketing,
committee_2,
act_12,
election,
massachusetts,
arts_10,
washington_1,
washington_12,
wisconsin_3,
home_16,
project_11,
financial,
washington_2,
consumption,
committee_4,
unemployment_8,
act_3,
william,
fed_17,
home_2,
economy,
act_14,
york,
council_15,
industry,
political_7,
home_6,
water_18,
virginia_4,
fed_6,
legal,
finance,
council_18,
council_6,
virginia_6,
home,
loss_11,
water,
market_14,
wisconsin_19,
justice_13,
fed_16,
senate,
justice_17,
bonds,
risk,
washington_17,
founded,
judge,
freedom,
politics,
justice_3,
washington_11,
committee_8,
unemployment_20,
virginia_14,
products,
project_5,
vermont,
federal,
growth,
politics_8,
unemployment_5,
project_1,
virginia_15,
case_17,
virginia_13,
committee_11,
council_20,
fed_14,
political_2,
virginia_20,
loss_17,
case_15,
water_2,
act_18,
loss_6,
political_14,
return_9,
fed_2,
travel_13,
consume,
unemployment_19,
unemployment_14,
water_10,
blacklist,
loss_4,
