feature,feature_score
crash_6,0.04945919326464914
crash_19,0.008908586965978009
crisis_6,0.02753815642609935
economy_20,0.010466858742123906
fed_16,0.0014216722275519425
forex_8,0.029754278915255516
inflation_1,0.007680797661827786
inflation_5,0.017625675742023478
politics_19,0.012591257195834173
returns_1,0.025004194742831852
returns_9,0.023385219699753476
returns_10,0.030562042392990693
world_20,0.009917955955781557
world_3,
fed_18,
world_10,
elected,
services,
economy_13,
politics_3,
court,
earnings,
inflation_20,
politics_9,
media,
politics_1,
service,
trader,
forex_2,
global,
short selling,
short sell,
lifestyle_16,
security,
votes,
economics,
world_14,
oil,
economy_9,
war,
opportunity,
crisis_7,
law,
credit,
returns_18,
crash_2,
invest,
missouri,
energy,
social,
economy_18,
politics_16,
crisis_17,
food,
carolina,
inflation_3,
revenue,
economy_1,
crisis,
inflation_4,
money,
banking,
forex_6,
county,
forex_18,
default,
fed_15,
union,
lifestyle_10,
inflation_19,
lifestyle_7,
metals,
crisis_12,
forex_11,
government,
derivatives,
market,
forex_5,
transaction,
world_5,
forex_1,
representatives,
lifestyle_15,
lifestyle_4,
arts,
happy,
rich,
world,
inflation_10,
politics_4,
forex_7,
inflation_7,
ohio,
crisis_8,
crisis_18,
crash_4,
markets,
train,
world_18,
forex,
ministry,
crisis_1,
politics_5,
crisis_2,
crash_11,
politics_18,
lifestyle,
council,
case,
corporation,
crisis_16,
fed_20,
cancer,
politics_10,
business,
politics_14,
stock market,
district,
holiday,
lifestyle_2,
garden,
returns_13,
fed_19,
returns_19,
world_16,
pennsylvania,
crash_17,
economy_12,
return,
investment,
chance,
crash_7,
lifestyle_1,
president,
forex_15,
fed_4,
movement,
lifestyle_5,
fed_1,
inflation_15,
financial markets,
cash,
movie,
rare earths,
fed_9,
development,
crash_15,
returns_14,
fed_7,
served,
crisis_9,
politics_12,
politics_2,
profit,
lifestyle_6,
returns_7,
politics_6,
republican,
georgia,
act,
million,
crisis_10,
politics_7,
unemployment,
gains,
crash_13,
politics_17,
labor,
world_8,
economy_6,
bank,
world_1,
lifestyle_20,
illinois,
lifestyle_18,
success,
sell,
rights,
economy_2,
fed_3,
crash_3,
virginia,
lifestyle_3,
economy_4,
economy_14,
loss,
portfolio,
fine,
fed_5,
college,
committee,
returns_4,
seats,
returns_6,
governor,
inflation_17,
kitchen,
wisconsin,
inflation_14,
conflict,
elections,
tennessee,
inc,
crash_14,
fed_13,
politics_20,
world_4,
bubble,
lifestyle_8,
companies,
political,
inflation_2,
world_17,
dividend,
economy_17,
inflation_6,
lifestyle_9,
office,
ore,
housing,
politics_11,
society,
inflation_16,
washington,
lifestyle_14,
forex_13,
inflation,
politics_13,
inflation_13,
inflation_18,
economy_5,
police,
stocks,
nyse,
health,
crisis_13,
forex_17,
world_2,
economy_15,
economy_19,
dow jones,
crash_20,
democratic,
crash,
culture,
leverage,
gold,
fed_11,
stats,
party,
returns_16,
lifestyle_11,
project,
travel,
gain,
inflation_9,
economy_10,
fed,
religion,
economy_16,
economic,
marketing,
forex_16,
election,
crash_9,
economy_11,
massachusetts,
returns_2,
fed_8,
inflation_11,
texas,
target_return,
returns_11,
debt,
crisis_11,
crisis_3,
community,
world_19,
world_9,
financial,
crash_10,
lifestyle_12,
management,
greed,
politics_15,
consumption,
world_13,
economy_8,
crisis_15,
returns_17,
ltd,
fond,
william,
crash_8,
world_11,
fed_17,
tourism,
world_15,
economy,
returns_12,
fed_12,
returns_15,
returns_20,
buy,
economy_7,
hedge,
world_12,
york,
minister,
industry,
crisis_5,
crash_18,
forex_3,
lifestyle_17,
firm,
voters,
house,
forex_20,
ceo,
fun,
headlines,
technology,
fed_6,
legal,
finance,
present,
home,
forex_19,
water,
inflation_8,
senate,
returns,
forex_4,
returns_8,
ring,
crash_12,
members,
crisis_19,
bonds,
risk,
kentucky,
founded,
judge,
returns_5,
freedom,
secretary,
politics,
lifestyle_13,
car,
crash_16,
forex_10,
products,
vermont,
restaurant,
federal,
growth,
crash_5,
politics_8,
fed_10,
crash_1,
forex_12,
world_7,
environment,
crisis_4,
forex_9,
fed_14,
forex_14,
justice,
DOW JONES,
nasdaq,
marriage,
lifestyle_19,
fed_2,
returns_3,
economy_3,
consume,
crisis_20,
world_6,
crisis_14,
inflation_12,
BUY AND HOLD,
blacklist,
color,
