feature,feature_score
DOW_JONES_2,0.0036455683778024483
bank_8,0.029300544657749818
bubble_4,0.0349471899778815
buy_11,0.0005524669852385969
food_14,0.02354823486790373
metals_8,0.023959605907530455
stats_18,0.02064711793516859
federal_9,
political,
gold,
judge,
county_10,
ring_16,
college_16,
ring_13,
security_7,
movie_20,
stats_10,
ceo_16,
car,
college,
court_9,
act_2,
credit_12,
food_13,
finance_11,
restaurant,
freedom,
garden,
finance,
arts_5,
house_12,
religion_13,
religion_1,
federal_14,
business_8,
ceo_19,
train_10,
management_7,
service_15,
secretary,
services_2,
act_14,
services_4,
social_4,
college_4,
marketing_19,
tourism,
global_5,
service_19,
garden_8,
rare earths,
finance_8,
train_3,
unemployment_11,
ltd_19,
transaction,
leverage,
legal_12,
inc_7,
community_5,
companies_14,
service_10,
movie_14,
unemployment_8,
union_11,
finance_9,
stats_16,
water_10,
health_14,
community_7,
bubble_5,
business_3,
security_19,
financial_18,
bank_17,
marketing_20,
garden_3,
energy_3,
project_5,
act_3,
services_10,
banking_12,
BUY AND HOLD,
development,
seats,
office_20,
house_16,
service_9,
stats_7,
house_19,
water_19,
court_19,
social_11,
water_14,
union_9,
services_8,
county_15,
court_12,
office_3,
founded,
credit_17,
inc_13,
travel_5,
energy_8,
services_16,
banking_5,
court_8,
corporation_7,
ring_4,
train_13,
consumption,
stats,
union_6,
car_7,
arts,
ceo,
bank_1,
water_16,
dividend,
federal_6,
bubble_16,
corporation_18,
business_1,
arts_6,
banking_19,
lifestyle,
ltd_18,
food_4,
federal_4,
service_11,
DOW_JONES_12,
bank_18,
movie_17,
union_3,
corporation_5,
management_17,
buy_7,
project_19,
office_9,
buy_13,
metals_18,
service_17,
project,
project_17,
ltd_13,
earnings,
security_17,
marketing,
DOW_JONES_10,
financial_1,
union_17,
health_7,
business_9,
legal_17,
tennessee,
ltd_17,
security_11,
religion_5,
car_3,
marketing_2,
college_19,
house_4,
ring_2,
buy_15,
virginia,
health_5,
ring_3,
marketing_5,
ring_9,
york,
financial_11,
credit_4,
restaurant_1,
restaurant_9,
act_12,
services_11,
