feature,feature_score
banking_3,0.00721977594667746
bubble_2,0.04157796903388334
culture_14,0.03194827132056992
financial_12,0.020700581746293235
financial_17,0.010414167865854423
financial_19,0.0280511018193299
freedom_10,0.004145328131656356
freedom_12,0.039321474373603955
gold_2,0.017899228543602565
growth_15,0.01443514038042572
housing_11,0.008395177629755897
judge_1,0.014125350994247934
tennessee_2,5.4712257574532504e-05
texas_6,0.00048489461232568623
trader_1,0.03867714741309729
trader_4,0.0006714678219127714
war_17,0.043414719537127465
war_20,0.01594756338081139
york_11,0.027198923204376883
gold_6,
elected,
services,
religion_16,
politics_3,
bubble_5,
earnings,
travel_9,
politics_9,
media,
gold_12,
politics_1,
gain_16,
financial_20,
short selling,
freedom_5,
earnings_20,
housing_10,
war_19,
economics,
oil,
republican_1,
law,
credit,
invest,
missouri,
war_9,
housing_18,
judge_9,
carolina,
fine_16,
trader_14,
culture_17,
crisis,
york_19,
money,
growth_13,
portfolio_13,
trader_16,
growth_18,
banking_17,
default,
financial_18,
culture_15,
travel_1,
metals,
fun_8,
war_4,
war_13,
government,
derivatives,
fine_18,
tennessee_6,
gold_4,
travel_10,
earnings_5,
arts,
fun_3,
gold_17,
freedom_11,
growth_5,
bubble_15,
happy,
religion_1,
rich,
world,
blacklist_13,
politics_4,
blacklist_19,
war_5,
fine_3,
ohio,
fun_13,
fine_1,
york_3,
markets,
growth_4,
train,
texas_16,
banking_11,
travel_15,
fine_19,
war_8,
housing_13,
blacklist_12,
politics_18,
lifestyle,
travel_19,
council,
earnings_1,
case,
corporation,
kentucky_19,
blacklist_1,
stock market,
district,
portfolio_5,
judge_17,
financial_16,
gold_3,
housing_20,
blacklist_17,
pennsylvania,
growth_8,
investment,
chance,
republican_19,
kentucky_5,
tennessee_20,
travel_4,
war_11,
trader_17,
movement,
tennessee_5,
financial markets,
kentucky_8,
gold_16,
judge_13,
cash,
movie,
financial_15,
trader_13,
financial_9,
politics_12,
politics_2,
gain_13,
profit,
religion_10,
bubble_1,
texas_5,
freedom_7,
tennessee_3,
republican,
fine_14,
fun_20,
banking_18,
georgia,
act,
gain_10,
earnings_14,
earnings_4,
million,
growth_14,
judge_16,
gains,
financial_7,
finance_16,
politics_17,
texas_13,
financial_13,
freedom_18,
labor,
blacklist_14,
culture_13,
bubble_17,
bank,
bubble_12,
earnings_12,
fun_16,
republican_6,
culture_8,
success,
sell,
kentucky_10,
kentucky_20,
republican_3,
religion_3,
virginia,
fine_11,
loss,
portfolio,
fine,
finance_9,
judge_6,
college,
banking_4,
kitchen,
kentucky_12,
wisconsin,
religion_2,
travel_14,
war_2,
conflict,
war_10,
tennessee,
gain_17,
freedom_6,
york_8,
growth_20,
inc,
fine_7,
tennessee_1,
trader_9,
bubble,
travel_17,
companies,
political,
gain_1,
war_15,
fine_17,
dividend,
finance_2,
gold_11,
travel_12,
tennessee_10,
tennessee_8,
ore,
growth_7,
housing,
religion_18,
washington,
freedom_2,
politics_13,
housing_9,
police,
stocks,
health,
portfolio_7,
republican_15,
finance_5,
gold_1,
travel_2,
blacklist_4,
judge_5,
tennessee_12,
kentucky_16,
dow jones,
democratic,
crash,
gain_20,
earnings_2,
freedom_4,
travel_18,
york_18,
growth_2,
growth_3,
leverage,
york_16,
gold,
stats,
party,
culture_19,
travel_6,
project,
travel,
gain,
fed,
culture_16,
finance_6,
economic,
judge_4,
portfolio_20,
texas_12,
bubble_14,
growth_6,
portfolio_9,
portfolio_3,
republican_20,
bubble_4,
banking_20,
tennessee_9,
texas,
travel_5,
target_return,
debt,
bubble_10,
culture_5,
gold_20,
kentucky_11,
portfolio_19,
republican_8,
finance_19,
community,
judge_19,
culture_10,
fine_13,
fun_2,
trader_5,
growth_12,
texas_15,
travel_16,
management,
greed,
bubble_13,
fine_4,
finance_15,
banking_2,
york_14,
politics_15,
religion_12,
gold_15,
earnings_17,
portfolio_8,
republican_4,
judge_18,
religion_7,
ltd,
fond,
gain_7,
bubble_11,
