feature,feature_score
ceo_2,0.002765384508063345
chance_17,0.018831404514790987
fine_10,0.008506302570354809
forex_1,0.04448704507885068
forex_3,0.043441638544335075
founded_17,0.0017292811520741918
founded_18,0.037374119840722086
gains_18,0.048105269137125005
growth_10,0.023161582122620147
judge_9,0.002716151278110925
nasdaq_9,0.00035957598613248323
nasdaq_17,0.034932728639298236
pennsylvania_2,0.005902289103853575
profit_1,0.02782243628407829
profit_6,0.032222779319126045
profit_7,0.003063587991551216
project_17,0.042263558733915345
republican_2,0.0036100366898931245
profit_12,
elected,
services,
happy_11,
earnings,
investment_1,
media,
firm_10,
court_18,
forex_2,
short selling,
freedom_5,
project_3,
economic_5,
economics,
project_8,
headlines_15,
oil,
project_14,
republican_1,
legal_10,
law,
credit,
crash_2,
invest,
missouri,
headlines_10,
carolina,
fine_16,
trader_14,
culture_17,
crisis,
money,
growth_13,
headlines_5,
pennsylvania_1,
trader_16,
growth_18,
gains_4,
gains_6,
project_4,
chance_4,
gains_1,
default,
project_18,
happy_13,
pennsylvania_17,
culture_15,
happy_17,
firm_9,
metals,
happy_5,
government,
derivatives,
nasdaq_3,
ceo_5,
fine_18,
tennessee_6,
arts,
council_16,
growth_5,
freedom_11,
ceo_13,
council_1,
profit_11,
happy,
rich,
world,
firm_11,
chance_12,
forex_7,
happy_3,
fine_3,
ohio,
fine_1,
firm_5,
chance_13,
investment_6,
markets,
growth_4,
train,
firm_16,
legal_19,
economic_2,
fine_19,
project_6,
ltd_3,
pennsylvania_5,
crash_11,
ore_16,
lifestyle,
council,
illinois_2,
case,
corporation,
kentucky_19,
happy_2,
stock market,
economic_18,
district,
crash_19,
judge_17,
massachusetts_14,
headlines_16,
ore_13,
crash_6,
pennsylvania,
crash_17,
growth_8,
investment,
chance,
crash_7,
investment_12,
republican_19,
illinois_4,
kentucky_5,
tennessee_20,
trader_17,
forex_15,
economic_12,
founded_5,
investment_18,
movement,
tennessee_5,
illinois_1,
investment_19,
financial markets,
headlines_2,
judge_13,
kentucky_8,
cash,
movie,
founded_8,
project_9,
investment_8,
crash_15,
headlines_20,
ltd_17,
trader_13,
gains_10,
firm_18,
massachusetts_12,
profit,
freedom_7,
court_16,
tennessee_3,
republican,
judge_1,
fine_14,
nasdaq_20,
georgia,
ltd_11,
ore_6,
act,
growth_14,
million,
project_19,
economic_13,
judge_16,
gains,
council_10,
council_17,
illinois_10,
project_2,
court_2,
labor,
freedom_18,
project_15,
project_13,
culture_13,
nasdaq_7,
bank,
founded_11,
headlines_12,
illinois_19,
republican_6,
culture_8,
happy_12,
legal_1,
gains_16,
success,
ceo_8,
sell,
ceo_12,
gains_9,
kentucky_10,
crash_3,
investment_7,
kentucky_20,
gains_11,
republican_3,
virginia,
fine_11,
legal_7,
profit_5,
legal_4,
loss,
portfolio,
fine,
firm_12,
council_5,
judge_6,
college,
ore_2,
founded_1,
court_7,
kitchen,
kentucky_12,
wisconsin,
ltd_16,
investment_17,
conflict,
tennessee,
court_4,
freedom_6,
nasdaq_8,
growth_20,
inc,
legal_20,
ceo_7,
fine_7,
tennessee_1,
chance_2,
headlines_6,
investment_9,
trader_9,
bubble,
companies,
political,
ore_3,
fine_17,
dividend,
court_10,
ceo_6,
legal_6,
tennessee_10,
tennessee_8,
ore,
growth_7,
housing,
washington,
founded_6,
freedom_2,
ore_7,
court_11,
legal_11,
police,
stocks,
health,
founded_12,
chance_15,
republican_15,
firm_4,
forex_17,
nasdaq_11,
investment_16,
judge_5,
happy_20,
tennessee_12,
kentucky_16,
dow jones,
crash_20,
democratic,
crash,
founded_16,
legal_9,
massachusetts_4,
freedom_4,
growth_2,
growth_3,
leverage,
gold,
massachusetts_10,
stats,
party,
culture_19,
illinois_5,
project,
travel,
gain,
happy_16,
illinois_17,
founded_3,
fed,
culture_16,
judge_4,
economic,
forex_16,
growth_6,
illinois_13,
economic_14,
crash_9,
happy_7,
republican_20,
tennessee_9,
texas,
target_return,
economic_7,
debt,
firm_13,
culture_5,
kentucky_11,
republican_8,
judge_19,
community,
ceo_1,
culture_10,
chance_9,
fine_13,
massachusetts_19,
growth_12,
crash_10,
ltd_2,
ceo_20,
management,
greed,
investment_20,
nasdaq_4,
trader_5,
fine_4,
ore_14,
illinois_20,
chance_6,
economic_10,
profit_8,
freedom_10,
republican_4,
judge_18,
legal_14,
chance_3,
ltd,
fond,
judge_3,
ltd_19,
fine_12,
court_12,
crash_8,
freedom_8,
tourism,
happy_8,
ltd_13,
illinois_14,
headlines_9,
buy,
profit_15,
