feature,feature_score
DOW_JONES_10,0.0025489403008846327
DOW_JONES_11,0.031654687381721586
DOW_JONES_15,0.0019939757595076224
DOW_JONES_18,0.026469815696904375
bank_9,0.004304340232299077
bank_16,0.026381203492647384
business_18,0.021583644735630802
cash_1,0.02853511994649779
ceo_4,0.04056603535849257
ceo_9,0.04631004214026304
ceo_13,0.0010291602915125093
ceo_14,0.00010484296481565479
ceo_19,0.039322275157805064
community_12,0.0009491706597816421
companies_1,0.025554343434498226
companies_2,0.029575084793517364
conflict_2,0.0023203592547876503
conflict_3,0.024198110280972872
corporation_9,0.007265344842177233
corporation_10,0.02214958114347279
corporation_12,0.036072761378684176
corporation_15,0.013743358259290262
corporation_20,0.0065810239751615115
council_8,0.03811934891248431
county_2,0.013202140491930461
county_3,0.01985894069404556
county_4,0.033451050093606764
court_4,0.030549291359145643
court_7,0.002732421836288274
court_18,0.008179737180165562
culture_9,0.0008337710765445471
default_4,0.018132983458889678
default_5,0.02341749603004309
default_6,0.0156532738804682
development_7,0.024386472826586236
development_18,0.006521270453350139
development_20,0.021766626959557757
dow_jones_15,0.02632562150650236
energy_4,0.029975410361315517
energy_7,0.03832495736934373
energy_8,0.027903725264934304
environment_1,0.002186894481297606
environment_4,0.010181681519738731
environment_5,0.00476372648323633
environment_8,0.023472468398289127
fed_4,0.007060832331999767
fed_18,0.02603743468041782
federal_8,0.03592696000740991
federal_11,0.007850502636356468
federal_13,0.04779364423810943
finance_4,0.016531978156924663
financial_3,0.043703537580688824
financial_4,0.0157617234515177
gains_15,0.0410445628103828
global_10,0.000862458401139666
global_13,0.0007422195769898238
government_6,0.014795800946585001
government_11,0.0003865981573085794
health_15,0.029888502622545422
health_18,0.005000785198565535
holiday_13,0.009344606522478755
holiday_20,0.040861318876375397
inc_6,0.009107429574667909
inc_7,0.025857320996604143
inc_14,0.031171827309835098
inc_17,0.033398114648257156
inc_18,0.021075329884281162
inc_20,0.0133673438765685
labor_11,0.0005727303151309547
labor_18,0.04069182423107084
management_7,0.0026293929042873233
management_18,0.007338253194797367
management_19,0.01539199621922798
markets_1,2.755852951240738e-06
markets_13,0.004722714154765113
markets_17,2.0884403385263897e-06
markets_18,0.003241315943430339
markets_19,0.02153404519917594
markets_20,0.02423358783528771
massachusetts_4,0.0039284990714522315
massachusetts_15,0.04337349987946736
money_4,3.366066857591236e-05
office_15,0.0225422844764736
opportunity_12,0.004288073053763343
opportunity_15,0.012226963092202774
party_4,0.002286120194101827
party_5,0.001214425450054858
pennsylvania_5,0.00035947813634166093
pennsylvania_8,0.021320225406771552
pennsylvania_16,5.360396983535707e-05
products_2,0.001163113770556834
project_5,0.0057773538486956275
revenue_1,0.046259166887122206
revenue_6,0.0004931608281826138
rights_4,0.0021331609246113144
security_15,0.004085412189638196
security_18,0.009877245775584543
served_10,0.04642619221304376
served_20,0.009609551787855344
service_4,0.003752921981508018
services_17,0.013039991626892325
social_6,0.03222330447377344
social_7,0.010354539374170359
social_8,0.008628286577374706
society_2,0.02620262539436266
stocks_3,0.02684641103275185
stocks_6,0.002448509523838951
stocks_9,0.03567484169401873
stocks_11,0.009032548924904312
texas_3,0.04060657260025812
texas_6,0.04947919772985365
texas_7,0.026902889887271315
texas_9,0.03220461838903543
travel_2,0.0016851078068541526
travel_3,0.02326974992668345
travel_8,0.017733561076174756
union_2,0.024355593777595566
wisconsin_2,0.01367202956153781
technology_20,
conflict_14,
marketing_17,
federal_2,
union_14,
elected,
services,
earnings,
travel_9,
media,
firm_10,
social_11,
success_1,
act_2,
cash_11,
products_1,
william_2,
william_16,
project_3,
housing_10,
economic_5,
oil,
project_14,
inc_10,
law,
washington_7,
missouri,
unemployment_11,
success_2,
service_7,
york_19,
invest_17,
health_10,
cash_16,
corporation_13,
government_14,
growth_13,
pennsylvania_1,
service_20,
revenue_15,
revenue_19,
project_4,
gains_4,
invest_1,
society_5,
unemployment_9,
gains_6,
revenue_4,
gains_1,
holiday_19,
markets_6,
banking_17,
media_16,
project_18,
pennsylvania_17,
law_5,
financial_18,
culture_15,
nyse_13,
metals,
invest_8,
security_9,
money_2,
return_19,
companies_14,
derivatives,
police_12,
ceo_5,
law_6,
earnings_5,
arts,
happy,
technology_13,
rich,
world,
return_17,
firm_11,
business_8,
revenue_5,
dow_jones_4,
ohio,
federal_7,
washington_18,
markets,
nyse_17,
marketing_3,
bank_6,
georgia_5,
stocks_4,
energy_5,
products_18,
wisconsin_14,
ltd_3,
services_3,
union_8,
energy_1,
travel_19,
wisconsin_16,
council,
health_4,
illinois_2,
earnings_1,
cash_20,
case,
labor_6,
corporation,
rights_3,
invest_7,
dow_jones_2,
party_16,
money_15,
bank_5,
financial_16,
invest_2,
massachusetts_14,
government_2,
development_14,
society_3,
served_5,
holiday_10,
DOW_JONES_14,
fed_19,
growth_8,
technology_11,
federal_20,
development_1,
chance,
default_18,
travel_4,
business_13,
kentucky_5,
inc_12,
dow_jones_17,
financial_12,
business_3,
economic_12,
credit_20,
health_1,
energy_17,
money_18,
police_19,
community_19,
unemployment_15,
movement,
dow_jones_5,
development_5,
products_13,
financial markets,
security_11,
success_18,
project_9,
financial_15,
labor_5,
wisconsin_17,
ltd_17,
companies_11,
washington_14,
environment_2,
massachusetts_12,
county_11,
stocks_20,
nyse_9,
return_11,
profit,
cash_2,
wisconsin_6,
william_7,
police_7,
texas_5,
county_19,
police_1,
court_16,
office_4,
banking_18,
holiday_16,
act,
growth_14,
earnings_14,
million,
service_17,
gains,
council_10,
financial_7,
markets_4,
revenue_11,
texas_13,
government_20,
nyse_20,
project_2,
court_2,
office_3,
project_13,
culture_13,
DOW_JONES_6,
service_16,
william_17,
service_2,
financial_19,
marketing_8,
community_18,
success,
ceo_8,
wisconsin_12,
sell,
environment_16,
ceo_12,
police_16,
unemployment_4,
gains_9,
kentucky_10,
kentucky_20,
risk_20,
virginia,
DOW_JONES_20,
government_1,
unemployment_10,
companies_4,
portfolio,
risk_17,
community_9,
management_9,
credit_5,
travel_14,
act_20,
inc_13,
conflict,
york_8,
tennessee,
management_5,
business_11,
growth_20,
inc,
opportunity_19,
office_20,
corporation_11,
community_14,
social_5,
corporation_7,
technology_17,
act_8,
companies,
money_7,
health_11,
dividend,
finance_2,
society_1,
products_20,
travel_12,
growth_7,
marketing_1,
wisconsin_20,
washington,
service_8,
police_5,
nyse_3,
court_11,
labor_10,
default_10,
labor_20,
stocks,
police,
party_14,
health,
revenue_7,
marketing_6,
firm_4,
georgia_17,
service_3,
dow_jones_14,
dow_jones_11,
holiday_12,
democratic,
crash,
business_7,
earnings_2,
virginia_5,
labor_14,
growth_2,
growth_3,
inc_1,
york_16,
massachusetts_10,
leverage,
return_10,
stats,
DOW_JONES_5,
technology_18,
travel_6,
energy_9,
culture_19,
travel,
project,
federal_17,
environment_10,
finance_6,
success_15,
texas_12,
invest_3,
illinois_13,
growth_6,
conflict_15,
economic_14,
opportunity_2,
risk_3,
fed_8,
money_8,
texas,
security_6,
invest_14,
money_3,
marketing_13,
debt,
culture_5,
default_17,
firm_13,
kentucky_11,
finance_19,
community,
travel_16,
culture_10,
media_2,
money_16,
wisconsin_18,
wisconsin_1,
massachusetts_19,
texas_15,
management,
georgia_16,
companies_19,
risk_5,
party_9,
global_12,
york_14,
finance_15,
banking_2,
environment_11,
return_3,
management_14,
media_4,
illinois_20,
labor_9,
marketing_20,
return_12,
georgia_10,
earnings_17,
services_12,
law_8,
ltd,
fond,
holiday_3,
wisconsin_13,
tourism,
health_12,
ltd_13,
wisconsin_4,
finance_10,
wisconsin_10,
risk_6,
technology_7,
conflict_13,
holiday_11,
minister,
act_17,
return_20,
county_10,
markets_14,
voters,
opportunity_14,
conflict_17,
house,
wisconsin_11,
inc_9,
ceo,
virginia_11,
fun,
georgia_7,
rights_11,
dow_jones_18,
technology,
government_3,
energy_11,
technology_3,
DOW_JONES_12,
present,
credit_4,
washington_8,
culture_18,
police_9,
william_13,
earnings_18,
banking_3,
dow_jones_10,
services_11,
culture_6,
housing_2,
office_12,
returns,
bank_1,
travel_20,
ltd_6,
ring,
corporation_19,
kentucky_7,
development_9,
DOW_JONES_17,
companies_15,
ceo_18,
illinois_3,
pennsylvania_4,
management_15,
global_15,
opportunity_17,
council_7,
media_14,
car,
served_16,
opportunity_13,
money_13,
office_18,
restaurant,
rights_13,
fed_10,
firm_1,
finance_11,
kentucky_3,
illinois_9,
environment,
health_2,
gains_19,
nasdaq,
development_4,
security_19,
pennsylvania_14,
marriage,
security_5,
environment_13,
ltd_5,
pennsylvania_19,
unemployment_3,
massachusetts_11,
rights_12,
illinois_11,
BUY AND HOLD,
management_16,
nyse_4,
cash_5,
office_1,
service,
housing_19,
york_4,
global,
massachusetts_3,
firm_19,
pennsylvania_6,
union_7,
cash_13,
social_17,
massachusetts_8,
union_10,
firm_20,
war,
opportunity_8,
growth_17,
office_19,
cash_10,
products_7,
money_17,
energy,
development_6,
inc_8,
nyse_12,
washington_4,
media_5,
banking_6,
corporation_16,
companies_17,
food,
housing_14,
revenue,
growth_9,
health_19,
banking,
services_13,
service_19,
rights_10,
success_9,
police_10,
revenue_14,
conflict_10,
pennsylvania_15,
global_4,
william_3,
services_9,
economic_6,
transaction,
opportunity_16,
social_2,
massachusetts_5,
stocks_1,
union_19,
inc_16,
money_12,
york_20,
services_8,
nyse_14,
development_11,
society_19,
ltd_7,
washington_5,
earnings_15,
credit_1,
service_15,
housing_4,
culture_11,
products_5,
gains_2,
global_9,
revenue_20,
success_4,
forex,
ceo_3,
services_18,
credit_2,
invest_20,
corporation_5,
