feature,feature_score
council_11,0.015860096982610337
environment_6,0.0007343478990592858
home_3,0.0332999359346237
home_15,0.028914385922816116
home_19,0.04827447806582489
justice_1,0.03904857156319644
kentucky_19,0.044502392563025246
law_18,0.03561657615838504
political_1,0.047858128950076885
texas_1,0.03785788835313229
william_1,0.0033262504703094353
william_19,
elected,
services,
food_11,
holiday_17,
earnings,
travel_9,
market_1,
media,
court_18,
home_17,
buy_5,
market_4,
short selling,
william_2,
william_16,
kitchen_6,
market_18,
economics,
home_8,
oil,
carolina_4,
government_16,
law,
credit,
invest,
missouri,
political_17,
buy_9,
political_9,
committee_10,
judge_9,
carolina,
crisis,
money,
government_14,
committee_15,
market_19,
food_18,
kitchen_8,
justice_8,
holiday_20,
holiday_19,
markets_6,
default,
missouri_10,
law_5,
travel_1,
kitchen_9,
metals,
buy_13,
government,
derivatives,
missouri_8,
law_6,
travel_10,
arts,
council_16,
justice_5,
markets_18,
government_6,
council_1,
committee_5,
happy,
rich,
world,
ohio,
food_16,
markets,
texas_16,
train,
buy_6,
environment_4,
carolina_11,
travel_15,
missouri_13,
justice_2,
william_11,
house_9,
lifestyle,
market_20,
council,
kitchen_11,
travel_19,
illinois_2,
case,
corporation,
markets_1,
buy_15,
stock market,
district,
william_15,
judge_17,
government_2,
house_2,
markets_5,
government_5,
holiday_10,
market_10,
missouri_16,
pennsylvania,
investment,
chance,
illinois_4,
kentucky_5,
travel_4,
market_3,
home_1,
market_8,
global_19,
holiday_9,
kitchen_5,
movement,
illinois_1,
kitchen_18,
financial markets,
kentucky_8,
judge_13,
cash,
movie,
markets_8,
committee_7,
market_15,
environment_2,
home_20,
justice_12,
buy_4,
profit,
markets_9,
william_6,
william_7,
texas_5,
court_16,
republican,
judge_1,
holiday_16,
georgia,
markets_2,
act,
house_13,
million,
judge_16,
gains,
council_10,
council_17,
illinois_10,
holiday_4,
justice_11,
markets_4,
government_20,
political_20,
texas_13,
justice_19,
markets_10,
court_2,
labor,
bank,
house_10,
global_7,
illinois_19,
william_17,
global_16,
success,
buy_19,
sell,
kitchen_20,
environment_16,
buy_7,
kentucky_10,
kentucky_20,
markets_17,
virginia,
government_1,
justice_15,
environment_1,
loss,
portfolio,
fine,
law_17,
council_5,
judge_6,
missouri_20,
college,
justice_6,
missouri_19,
court_7,
kitchen,
committee_18,
wisconsin,
committee_19,
kentucky_12,
travel_14,
conflict,
tennessee,
court_4,
house_14,
kitchen_12,
missouri_3,
inc,
committee_6,
missouri_6,
bubble,
travel_17,
companies,
house_18,
political,
dividend,
court_10,
committee_1,
government_8,
travel_12,
ore,
housing,
kitchen_15,
buy_20,
justice_16,
washington,
court_11,
missouri_11,
police,
stocks,
health,
justice_10,
travel_2,
carolina_9,
judge_5,
holiday_12,
kentucky_16,
dow jones,
democratic,
crash,
kitchen_7,
travel_18,
leverage,
gold,
stats,
party,
illinois_5,
travel_6,
project,
travel,
gain,
environment_10,
illinois_17,
committee_20,
committee_12,
government_11,
