feature,feature_score
markets_10,0.009897346637289202
minister_6,0.02738707045929796
movement_1,0.009736892593532989
movement_2,0.017898742155277245
movement_4,0.0013791883498048723
movement_18,0.018756162799207835
nyse_4,0.013245551195870786
rich_12,0.01076602330464286
rich_15,0.00500777627185616
vermont_11,0.0021596549275014736
gold_6,
elected,
services,
food_11,
holiday_17,
food_10,
court,
growth_15,
earnings,
media,
gold_12,
service,
trader,
global,
short selling,
short sell,
illinois_6,
security,
votes,
economics,
oil,
invest_12,
war,
opportunity,
growth_17,
law,
credit,
nyse_8,
vermont_15,
invest_5,
invest,
missouri,
energy,
nyse_12,
social,
gold_14,
food,
rich_19,
carolina,
revenue,
crisis,
invest_17,
invest_18,
money,
minister_1,
default_20,
growth_9,
banking,
growth_13,
nyse_15,
county,
food_18,
growth_18,
minister_14,
invest_1,
vermont_8,
movement_5,
holiday_20,
holiday_19,
markets_6,
default,
vermont_13,
union,
nyse_13,
metals,
invest_8,
default_1,
government,
derivatives,
market,
transaction,
gold_4,
minister_17,
invest_19,
representatives,
arts,
gold_17,
growth_5,
markets_18,
nyse_14,
happy,
ltd_7,
rich,
world,
ltd_18,
movement_12,
gold_9,
ohio,
food_16,
minister_18,
default_12,
nyse_16,
markets,
growth_4,
train,
nyse_17,
ltd_9,
minister_10,
forex,
illinois_18,
ministry,
default_3,
movement_20,
ltd_3,
lifestyle,
council,
invest_20,
illinois_2,
case,
corporation,
nyse_19,
movement_7,
invest_7,
rich_16,
cancer,
markets_1,
business,
stock market,
holiday_2,
district,
illinois_12,
invest_2,
holiday,
gold_3,
garden,
ltd_14,
markets_5,
holiday_1,
holiday_10,
minister_12,
pennsylvania,
growth_8,
return,
investment,
chance,
default_18,
default_7,
markets_11,
illinois_4,
invest_11,
vermont_5,
gold_8,
markets_12,
president,
rich_1,
holiday_9,
movement,
holiday_6,
illinois_1,
financial markets,
gold_16,
cash,
movie,
markets_8,
rare earths,
movement_11,
development,
ltd_17,
served,
default_4,
gold_18,
rich_13,
minister_4,
nyse_9,
invest_9,
profit,
markets_9,
ltd_15,
gold_10,
movement_10,
vermont_4,
movement_3,
ltd_20,
republican,
food_6,
food_9,
holiday_16,
georgia,
markets_2,
ltd_11,
act,
growth_14,
million,
rich_14,
unemployment,
gains,
movement_15,
markets_4,
illinois_10,
holiday_4,
rich_2,
nyse_20,
growth_11,
labor,
markets_13,
bank,
rich_10,
default_6,
illinois,
illinois_19,
rich_9,
success,
sell,
rights,
default_2,
holiday_13,
illinois_8,
markets_17,
virginia,
loss,
portfolio,
fine,
default_14,
holiday_7,
vermont_14,
college,
minister_16,
committee,
seats,
rich_8,
governor,
food_8,
kitchen,
wisconsin,
ltd_16,
invest_10,
rich_5,
conflict,
minister_5,
elections,
tennessee,
vermont_12,
minister_19,
growth_20,
inc,
default_8,
bubble,
companies,
political,
vermont_19,
food_13,
nyse_18,
dividend,
gold_11,
movement_8,
office,
ore,
growth_7,
housing,
society,
washington,
inflation,
nyse_3,
nyse_2,
movement_19,
ltd_12,
default_10,
police,
stocks,
nyse,
health,
gold_1,
food_1,
vermont_1,
movement_6,
rich_11,
holiday_12,
minister_11,
invest_6,
dow jones,
democratic,
crash,
default_13,
rich_4,
growth_2,
growth_3,
leverage,
minister_8,
gold,
nyse_1,
culture,
stats,
party,
illinois_5,
holiday_15,
holiday_8,
rich_3,
growth_16,
default_15,
project,
travel,
gain,
food_12,
illinois_17,
movement_17,
vermont_18,
fed,
rich_20,
religion,
economic,
marketing,
invest_3,
vermont_9,
growth_6,
illinois_13,
default_5,
election,
invest_13,
massachusetts,
gold_5,
texas,
rich_18,
invest_16,
invest_14,
target_return,
debt,
gold_20,
default_17,
community,
minister_15,
movement_16,
holiday_5,
nyse_5,
markets_19,
growth_12,
ltd_2,
financial,
markets_20,
management,
greed,
default_11,
consumption,
minister_3,
vermont_16,
illinois_20,
gold_15,
vermont_10,
vermont_2,
vermont_20,
holiday_18,
vermont_7,
ltd,
fond,
default_16,
ltd_19,
william,
markets_15,
food_19,
holiday_3,
tourism,
food_2,
ltd_13,
economy,
illinois_15,
default_19,
food_7,
illinois_14,
buy,
hedge,
holiday_11,
ltd_10,
york,
minister,
industry,
rich_7,
growth_10,
minister_9,
markets_14,
firm,
voters,
house,
rich_17,
ceo,
markets_16,
fun,
food_3,
growth_1,
gold_2,
headlines,
technology,
minister_13,
illinois_7,
legal,
finance,
present,
minister_2,
home,
vermont_3,
water,
invest_4,
senate,
returns,
ltd_6,
nyse_7,
ring,
invest_15,
ltd_4,
members,
bonds,
risk,
minister_20,
kentucky,
founded,
food_15,
illinois_3,
rich_6,
judge,
movement_9,
nyse_10,
minister_7,
holiday_14,
freedom,
secretary,
politics,
gold_19,
food_17,
car,
movement_14,
food_5,
products,
food_14,
vermont,
restaurant,
federal,
growth,
nyse_6,
vermont_17,
markets_3,
food_4,
food_20,
illinois_9,
environment,
gold_7,
markets_7,
illinois_16,
justice,
DOW JONES,
nasdaq,
marriage,
ltd_8,
ltd_1,
ltd_5,
growth_19,
default_9,
consume,
movement_13,
gold_13,
nyse_11,
illinois_11,
vermont_6,
BUY AND HOLD,
blacklist,
color,
