feature,feature_score
DOW_JONES_19,0.01425608762082735
chance_3,0.012371543613711797
governor_17,0.00353234410475444
greed_6,0.013238009914293383
nyse_12,0.01744446407652223
restaurant_1,0.0027336348470323292
seats_2,0.03358646404545966
stock_market_2,0.01966918626369821
stock_market_5,0.033873165193351325
nyse_4,
elected,
services,
movie_9,
stock_market_11,
court,
earnings,
seats_18,
media,
service,
trader,
global,
short selling,
short sell,
security,
votes,
seats_13,
economics,
senate_20,
chance_7,
restaurant_3,
oil,
movie_1,
DOW_JONES_10,
war,
seats_8,
law,
credit,
nyse_8,
opportunity,
crisis_7,
invest,
missouri,
energy,
bonds_15,
senate_6,
social,
movie_7,
stock_market_15,
greed_2,
governor_16,
crisis_17,
food,
restaurant_14,
carolina,
revenue,
greed_17,
seats_19,
crisis,
money,
movie_19,
banking,
nyse_15,
county,
chance_14,
restaurant_7,
chance_4,
default,
governor_5,
chance_10,
present_11,
union,
nyse_13,
metals,
crisis_12,
greed_14,
senate_15,
restaurant_4,
government,
derivatives,
greed_16,
market,
transaction,
bonds_10,
seats_7,
restaurant_19,
movie_13,
representatives,
arts,
bonds_9,
greed_19,
nyse_14,
happy,
rich,
world,
greed_10,
bonds_8,
chance_12,
seats_11,
restaurant_20,
senate_3,
ohio,
crisis_8,
crisis_18,
chance_13,
nyse_16,
markets,
nyse_17,
train,
governor_1,
governor_19,
bonds_3,
forex,
ministry,
crisis_1,
movie_16,
crisis_2,
seats_16,
senate_1,
greed_15,
lifestyle,
council,
movie_4,
case,
corporation,
seats_9,
nyse_19,
crisis_16,
cancer,
greed_20,
business,
stock market,
district,
holiday,
garden,
senate_14,
DOW_JONES_14,
pennsylvania,
return,
investment,
chance,
president,
present_2,
present_15,
movement,
seats_17,
stock_market_14,
financial markets,
cash,
movie,
senate_4,
stock_market_6,
rare earths,
restaurant_18,
development,
governor_7,
served,
bonds_18,
restaurant_12,
greed_12,
crisis_9,
stock_market_10,
nyse_9,
profit,
stock_market_9,
movie_3,
stock_market_8,
present_10,
governor_3,
movie_5,
present_18,
republican,
stock_market_4,
georgia,
seats_12,
act,
seats_4,
million,
DOW_JONES_18,
crisis_10,
unemployment,
gains,
bonds_11,
stock_market_20,
nyse_20,
labor,
bank,
governor_4,
DOW_JONES_6,
governor_2,
illinois,
DOW_JONES_8,
governor_20,
greed_9,
success,
sell,
rights,
virginia,
DOW_JONES_4,
DOW_JONES_20,
bonds_5,
movie_18,
loss,
portfolio,
fine,
present_6,
chance_17,
bonds_19,
college,
greed_1,
committee,
greed_18,
restaurant_6,
seats,
governor,
chance_8,
kitchen,
wisconsin,
DOW_JONES_13,
greed_4,
conflict,
senate_7,
stock_market_18,
restaurant_15,
tennessee,
elections,
DOW_JONES_2,
stock_market_1,
stock_market_19,
governor_14,
inc,
restaurant_10,
bonds_1,
DOW_JONES_15,
chance_2,
senate_17,
bubble,
senate_11,
companies,
political,
nyse_18,
dividend,
present_9,
office,
senate_2,
ore,
housing,
senate_19,
society,
washington,
greed_13,
senate_8,
inflation,
nyse_3,
present_8,
restaurant_11,
police,
stocks,
nyse,
health,
chance_15,
crisis_13,
DOW_JONES_16,
restaurant_2,
dow jones,
democratic,
crash,
present_1,
nyse_2,
nyse_1,
leverage,
culture,
gold,
bonds_7,
seats_10,
stats,
party,
DOW_JONES_5,
seats_15,
senate_5,
project,
travel,
movie_2,
gain,
governor_13,
present_3,
chance_18,
fed,
religion,
DOW_JONES_9,
economic,
marketing,
bonds_20,
movie_8,
bonds_6,
governor_9,
election,
restaurant_17,
massachusetts,
movie_11,
chance_20,
texas,
DOW_JONES_3,
greed_7,
crisis_6,
target_return,
present_14,
debt,
governor_11,
crisis_11,
crisis_3,
greed_8,
bonds_4,
community,
nyse_5,
senate_12,
chance_9,
financial,
management,
greed,
stock_market_7,
consumption,
senate_10,
chance_6,
governor_6,
bonds_12,
crisis_15,
ltd,
fond,
william,
governor_8,
tourism,
bonds_16,
greed_11,
restaurant_5,
senate_9,
seats_14,
senate_13,
economy,
buy,
present_4,
chance_19,
bonds_2,
hedge,
york,
movie_12,
present_19,
minister,
industry,
movie_14,
crisis_5,
present_5,
stock_market_3,
present_13,
firm,
voters,
house,
greed_5,
bonds_14,
movie_10,
ceo,
DOW_JONES_7,
fun,
seats_1,
present_17,
greed_3,
headlines,
technology,
chance_11,
legal,
DOW_JONES_12,
present,
movie_6,
finance,
governor_10,
home,
water,
senate_16,
senate,
returns,
nyse_7,
ring,
chance_5,
bonds_13,
stock_market_16,
members,
stock_market_13,
DOW_JONES_17,
crisis_19,
bonds,
risk,
kentucky,
founded,
judge,
stock_market_17,
DOW_JONES_11,
governor_15,
nyse_10,
movie_17,
governor_18,
present_20,
freedom,
secretary,
politics,
seats_5,
car,
DOW_JONES_1,
chance_16,
products,
vermont,
restaurant,
seats_3,
federal,
growth,
present_16,
nyse_6,
restaurant_16,
restaurant_8,
restaurant_13,
present_12,
chance_1,
present_7,
stock_market_12,
environment,
crisis_4,
bonds_17,
seats_6,
senate_18,
seats_20,
justice,
DOW JONES,
nasdaq,
marriage,
restaurant_9,
movie_15,
movie_20,
consume,
crisis_20,
governor_12,
nyse_11,
crisis_14,
BUY AND HOLD,
blacklist,
color,
