feature,feature_score
blacklist_6,0.019640284048287746
bonds_4,0.0440252950953735
default_12,0.0016380824912186956
earnings_11,0.0009586476889560539
economy_6,0.0022242626439368273
financial_markets_10,0.04169790545700324
garden_3,0.03219277609684075
garden_5,0.01347355464305555
greed_10,0.02859301351590538
hedge_1,0.0018307662458477059
inflation_17,0.001634785782439349
markets_16,0.0008951337476397492
markets_19,0.001541156758324593
opportunity_4,0.04807866454336333
stocks_7,0.023015893719834705
stocks_14,0.01318927845186605
stocks_18,0.009128055185713024
conflict_14,
elected,
services,
color_13,
economy_13,
gold_6,
happy_11,
william_19,
earnings,
inflation_20,
media,
gold_12,
short selling,
william_2,
william_16,
earnings_20,
garden_18,
economics,
oil,
economy_9,
financial_markets_18,
seats_8,
law,
credit,
crash_2,
invest,
missouri,
political_17,
bonds_15,
opportunity_9,
political_9,
carolina,
fine_16,
inflation_3,
seats_19,
crisis,
money,
financial_markets_2,
garden_13,
car_7,
markets_6,
financial_markets_8,
default,
happy_13,
vermont_13,
lifestyle_10,
inflation_19,
lifestyle_7,
happy_17,
metals,
happy_5,
default_1,
conflict_4,
senate_15,
government,
derivatives,
greed_16,
fine_18,
seats_7,
car_11,
gold_4,
earnings_5,
arts,
gold_17,
markets_18,
bonds_9,
happy,
color_20,
rich,
world,
blacklist_13,
inflation_10,
bonds_8,
blacklist_19,
conflict_7,
happy_3,
seats_11,
fine_3,
ohio,
fine_1,
arts_14,
markets,
train,
arts_4,
bonds_3,
stocks_4,
car_13,
fine_19,
default_3,
william_11,
crash_11,
seats_16,
blacklist_12,
senate_1,
lifestyle,
council,
earnings_1,
case,
corporation,
color_11,
seats_9,
color_1,
blacklist_1,
financial_markets_16,
happy_2,
markets_1,
stock market,
district,
william_15,
crash_19,
lifestyle_2,
gold_3,
hedge_18,
senate_14,
markets_5,
crash_6,
blacklist_17,
pennsylvania,
ring_18,
crash_17,
economy_12,
investment,
chance,
default_18,
crash_7,
car_5,
vermont_5,
car_1,
car_14,
movement,
seats_17,
inflation_15,
financial markets,
gold_16,
cash,
movie,
markets_8,
crash_15,
default_4,
bonds_18,
hedge_11,
stocks_20,
opportunity_12,
profit,
markets_9,
william_7,
vermont_4,
financial_markets_17,
color_4,
ring_15,
republican,
fine_14,
georgia,
markets_2,
act,
million,
earnings_4,
earnings_14,
gains,
william_6,
markets_4,
political_20,
hedge_2,
arts_17,
markets_10,
financial_markets_7,
labor,
blacklist_14,
bank,
