feature,feature_score
banking_3,0.005089502043351961
case_16,0.001380119224775007
earnings_8,0.01066819008673387
food_14,0.0342356647455153
holiday_18,0.032353128662720845
justice_3,0.02909302029914593
ohio_15,0.003058597072641455
republican_12,0.012194928177462632
republican_15,0.03286069919405998
returns_16,0.0418579217560958
returns_17,0.015215215838422759
rich_13,0.013488080203183322
sell_12,0.028602365923918786
train_19,0.012633437064137382
train_20,0.02279253083392599
washington_5,0.0010830935469831905
elected,
services,
color_13,
food_11,
happy_11,
health_14,
holiday_17,
movie_9,
earnings,
travel_9,
media,
court_18,
business_16,
sell_8,
short selling,
earnings_20,
housing_10,
kitchen_6,
economics,
companies_5,
oil,
movie_1,
ohio_4,
government_16,
republican_1,
inc_10,
law,
credit,
returns_18,
sell_15,
washington_7,
invest,
missouri,
security_4,
housing_18,
carolina,
crisis,
global_18,
health_10,
money,
management_17,
corporation_3,
corporation_13,
movie_19,
government_14,
food_18,
kitchen_8,
services_17,
justice_8,
restaurant_7,
car_7,
banking_17,
holiday_19,
holiday_20,
default,
happy_13,
travel_1,
kitchen_9,
happy_17,
metals,
happy_5,
train_2,
corporation_9,
security_9,
companies_14,
restaurant_4,
government,
derivatives,
ceo_5,
car_11,
travel_10,
earnings_5,
arts,
case_2,
justice_5,
government_6,
ceo_13,
democratic_14,
secretary_5,
happy,
color_20,
companies_20,
secretary_13,
rich,
world,
blacklist_13,
corporation_2,
business_8,
blacklist_19,
happy_3,
washington_18,
ohio,
food_16,
business_18,
markets,
security_3,
train,
banking_11,
car_13,
travel_15,
justice_2,
ltd_3,
movie_16,
services_3,
housing_13,
blacklist_12,
business_5,
lifestyle,
health_4,
council,
kitchen_11,
travel_19,
earnings_1,
illinois_2,
case,
corporation,
color_11,
movie_4,
ohio_1,
color_1,
blacklist_1,
secretary_1,
happy_2,
stock market,
district,
restaurant_1,
business_14,
inc_17,
government_2,
corporation_8,
government_5,
holiday_10,
housing_20,
blacklist_17,
returns_19,
pennsylvania,
investment,
chance,
republican_19,
business_13,
car_5,
illinois_4,
inc_12,
rich_12,
travel_4,
car_1,
democratic_10,
business_3,
car_14,
health_1,
global_19,
holiday_9,
kitchen_5,
movement,
democratic_12,
sell_1,
illinois_1,
kitchen_18,
financial markets,
security_11,
cash,
movie,
returns_10,
train_18,
security_18,
sell_2,
returns_14,
business_1,
ltd_17,
business_4,
companies_11,
washington_14,
justice_12,
democratic_17,
management_13,
ohio_16,
inc_19,
washington_10,
secretary_20,
profit,
inc_14,
case_19,
train_10,
companies_10,
returns_7,
court_16,
color_4,
republican,
banking_18,
holiday_16,
georgia,
train_12,
ltd_11,
act,
million,
earnings_4,
earnings_14,
secretary_2,
services_19,
gains,
justice_11,
illinois_10,
holiday_4,
government_20,
justice_19,
court_2,
labor,
blacklist_14,
bank,
rich_10,
earnings_12,
car_8,
train_16,
global_7,
illinois_19,
republican_6,
happy_12,
global_16,
train_9,
success,
ceo_8,
sell,
kitchen_20,
secretary_10,
ceo_12,
republican_3,
virginia,
government_1,
companies_3,
justice_15,
movie_18,
loss,
portfolio,
fine,
case_10,
companies_4,
college,
justice_6,
returns_4,
banking_4,
case_9,
restaurant_6,
rich_8,
court_7,
management_9,
returns_6,
kitchen,
washington_20,
wisconsin,
travel_14,
ltd_16,
ohio_10,
inc_13,
car_12,
conflict,
secretary_6,
tennessee,
court_4,
justice_1,
kitchen_12,
management_5,
business_11,
inc,
restaurant_10,
corporation_11,
ceo_7,
corporation_7,
bubble,
travel_17,
companies,
secretary_3,
sell_13,
political,
inc_15,
services_14,
health_11,
secretary_4,
case_20,
dividend,
court_10,
ceo_6,
washington_15,
government_8,
travel_12,
security_2,
ore,
housing,
housing_11,
kitchen_15,
justice_16,
washington,
train_15,
management_3,
court_11,
housing_9,
restaurant_11,
democratic_13,
police,
stocks,
