feature,feature_score
culture_5,0.022986129007598707
dividend_1,0.028742881832050673
dividend_17,0.01123014605425268
economic_5,0.012230614685149209
garden_10,0.008637387224529731
happy_5,0.048555826885555056
inflation_2,0.032519975868427704
pennsylvania_8,0.012498334087107196
religion_3,1.0924964674877624e-05
republican_19,8.33913318705847e-05
return_6,0.009303228818827428
return_14,0.022478594371839293
rich_14,0.007687934091673628
war_4,0.0005920699052574483
war_7,0.0012622180565935847
war_8,0.0384105663548017
war_17,0.044330380501685515
gold_6,
elected,
services,
economy_13,
happy_11,
holiday_17,
religion_16,
police_8,
earnings,
inflation_20,
media,
gold_12,
labor_16,
short selling,
social_11,
war_19,
garden_18,
economics,
oil,
economy_9,
republican_1,
law,
credit,
invest,
missouri,
political_17,
war_9,
political_9,
return_1,
carolina,
inflation_3,
culture_17,
crisis,
money,
pennsylvania_1,
dividend_15,
water_19,
garden_13,
holiday_20,
holiday_19,
default,
happy_13,
pennsylvania_17,
culture_15,
inflation_19,
happy_17,
metals,
return_19,
war_13,
government,
derivatives,
garden_3,
ceo_5,
police_12,
gold_4,
cancer_9,
arts,
gold_17,
water_17,
ceo_13,
happy,
religion_1,
rich,
world,
inflation_10,
return_17,
happy_3,
war_5,
ohio,
return_4,
markets,
train,
dividend_10,
economic_2,
pennsylvania_5,
lifestyle,
council,
case,
corporation,
labor_6,
return_5,
rights_3,
happy_2,
dividend_13,
stock market,
economic_18,
district,
gold_3,
hedge_18,
holiday_10,
dividend_3,
pennsylvania,
economy_12,
investment,
chance,
social_20,
rich_12,
war_11,
economic_12,
global_19,
holiday_9,
police_19,
movement,
police_18,
inflation_15,
financial markets,
gold_16,
cash,
movie,
labor_5,
hedge_11,
rich_13,
return_11,
profit,
religion_10,
cancer_14,
police_7,
police_1,
social_13,
republican,
rights_15,
rights_5,
holiday_16,
georgia,
return_15,
act,
million,
economic_13,
gains,
political_20,
hedge_2,
holiday_4,
police_17,
labor,
police_14,
culture_13,
rights_18,
bank,
rich_10,
dividend_19,
dividend_16,
global_7,
cancer_15,
republican_6,
culture_8,
global_16,
happy_12,
success,
ceo_8,
sell,
war_20,
ceo_12,
police_16,
republican_3,
virginia,
economy_4,
social_1,
loss,
portfolio,
fine,
college,
cancer_18,
rich_8,
kitchen,
war_2,
wisconsin,
dividend_12,
religion_2,
water_13,
inflation_14,
conflict,
war_10,
water_15,
tennessee,
police_2,
inc,
ceo_7,
social_5,
bubble,
companies,
political,
water_7,
war_15,
dividend,
gold_11,
ceo_6,
ore,
housing,
religion_18,
washington,
police_4,
police_5,
water_9,
labor_10,
inflation_18,
economy_5,
police,
stocks,
labor_20,
health,
return_16,
republican_15,
water_4,
gold_1,
garden_19,
happy_20,
holiday_12,
rich_11,
