feature,feature_score
chance_5,0.03957385669406143
chance_8,0.044332967894043195
chance_12,0.007610519858530063
chance_18,0.018924332461847063
markets_2,0.011067672160127294
markets_4,0.020653034840418676
markets_10,0.034355550586008914
million_11,0.010466374583478752
nasdaq_3,0.022604477070149055
success_15,0.032054436959105516
elected,
services,
court,
bubble_5,
earnings,
media,
service,
trader,
global,
sell_8,
short selling,
success_1,
bubble_2,
short sell,
blacklist,
security,
votes,
economics,
chance_7,
oil,
war,
opportunity,
law,
credit,
sell_15,
vermont_15,
success_7,
invest,
missouri,
energy,
bonds_15,
social,
success_2,
economics_12,
food,
carolina,
revenue,
crisis,
money,
sell_6,
banking,
nasdaq_18,
county,
chance_14,
vermont_8,
chance_4,
markets_6,
default,
economics_1,
success_9,
chance_10,
vermont_13,
union,
million_18,
metals,
bubble_9,
government,
derivatives,
market,
ceo_5,
transaction,
bonds_10,
representatives,
success_11,
arts,
markets_18,
economics_13,
bonds_9,
ceo_13,
bubble_15,
happy,
rich,
world,
sell_12,
bonds_8,
economics_2,
ohio,
chance_13,
economics_11,
sell_16,
economics_14,
markets,
train,
nasdaq_15,
bonds_3,
success_4,
forex,
ceo_3,
ministry,
million_1,
million_8,
nasdaq_14,
lifestyle,
council,
economics_20,
case,
corporation,
economics_10,
economics_15,
cancer,
markets_1,
business,
stock market,
district,
holiday,
garden,
markets_5,
pennsylvania,
return,
investment,
chance,
markets_11,
vermont_5,
markets_12,
president,
economics_4,
sell_11,
movement,
economics_7,
sell_1,
financial markets,
economics_18,
cash,
movie,
markets_8,
success_18,
rare earths,
sell_2,
development,
served,
million_4,
nasdaq_5,
bonds_18,
profit,
markets_9,
economics_17,
bubble_1,
million_19,
vermont_4,
republican,
nasdaq_20,
sell_5,
georgia,
act,
million,
unemployment,
bonds_11,
gains,
labor,
million_12,
markets_13,
million_6,
bubble_17,
nasdaq_7,
bank,
bubble_12,
illinois,
success,
ceo_8,
sell,
rights,
ceo_12,
vermont_11,
markets_17,
virginia,
bonds_5,
success_5,
loss,
portfolio,
fine,
chance_17,
bonds_19,
vermont_14,
college,
committee,
seats,
sell_14,
governor,
kitchen,
wisconsin,
sell_4,
success_16,
conflict,
elections,
tennessee,
vermont_12,
nasdaq_8,
bonds_1,
inc,
ceo_7,
chance_2,
million_17,
success_10,
bubble,
million_2,
companies,
sell_13,
political,
vermont_19,
dividend,
ceo_14,
ceo_6,
nasdaq_13,
office,
ore,
bubble_18,
housing,
society,
washington,
inflation,
million_15,
police,
stocks,
nyse,
health,
chance_15,
million_5,
success_17,
nasdaq_11,
vermont_1,
nasdaq_17,
bubble_19,
dow jones,
democratic,
crash,
million_10,
success_8,
culture,
leverage,
bonds_7,
gold,
success_6,
stats,
party,
ceo_2,
project,
travel,
gain,
vermont_18,
sell_9,
fed,
religion,
bubble_6,
economic,
ceo_4,
marketing,
bonds_20,
million_9,
bubble_14,
success_20,
bonds_6,
ceo_17,
bubble_7,
election,
vermont_9,
massachusetts,
bubble_4,
chance_20,
texas,
target_return,
debt,
bubble_10,
economics_3,
economics_8,
bonds_4,
community,
ceo_1,
million_16,
chance_9,
financial,
markets_19,
economics_9,
nasdaq_4,
markets_20,
ceo_20,
management,
greed,
bubble_13,
consumption,
vermont_16,
chance_6,
million_14,
vermont_10,
vermont_2,
vermont_20,
million_20,
ceo_10,
bonds_12,
economics_5,
vermont_7,
sell_20,
chance_3,
ltd,
fond,
ceo_9,
bubble_11,
million_7,
william,
markets_15,
tourism,
bonds_16,
economy,
buy,
chance_19,
bonds_2,
hedge,
york,
million_3,
nasdaq_6,
economics_16,
minister,
industry,
markets_14,
ceo_11,
firm,
voters,
bubble_3,
house,
bonds_14,
ceo,
markets_16,
nasdaq_19,
fun,
success_3,
headlines,
technology,
chance_11,
legal,
finance,
present,
home,
vermont_3,
water,
bubble_16,
sell_3,
nasdaq_12,
senate,
returns,
ceo_15,
ring,
million_13,
bonds_13,
success_12,
members,
bonds,
risk,
kentucky,
ceo_18,
founded,
judge,
freedom,
secretary,
bubble_20,
politics,
nasdaq_9,
car,
chance_16,
products,
nasdaq_1,
restaurant,
vermont,
federal,
ceo_19,
growth,
nasdaq_10,
vermont_17,
markets_3,
success_13,
nasdaq_16,
success_14,
chance_1,
environment,
sell_10,
bubble_8,
bonds_17,
markets_7,
sell_19,
sell_7,
justice,
DOW JONES,
nasdaq,
marriage,
sell_17,
success_19,
consume,
sell_18,
economics_19,
vermont_6,
BUY AND HOLD,
economics_6,
color,
ceo_16,
nasdaq_2,
