feature,feature_score
bank_11,0.026909226485533955
bank_12,0.010526307386365794
chance_14,0.001973433634005531
chance_16,0.032381609000354236
community_7,0.04827210337071822
county_8,0.049075861199936135
county_9,0.0031803581836054467
credit_11,0.0008811644572476654
earnings_9,0.023440862087631395
earnings_13,0.01182974327334432
earnings_19,0.00012900071196056436
economic_13,0.001084684711247356
fed_15,0.015227928477505539
fed_17,0.024577366986473347
fed_19,0.00021414883827545127
fed_20,0.03691327706529101
financial_8,0.033954151237404764
financial_14,0.00590936210812294
financial_16,0.04635949454140784
government_10,0.03285780390760233
government_17,0.02710764311110005
happy_7,0.014837990811896207
headlines_1,0.006630437670735081
health_19,0.038373373279127584
hedge_9,0.007910310083238099
judge_9,0.013999474307888652
judge_10,0.02987183068202308
judge_17,0.014365792911291246
justice_17,0.027451877544562898
justice_19,0.0374492683624146
law_8,0.0441151824868627
ltd_20,0.004503065768555885
management_8,0.02076666393885868
management_9,0.02016028560422892
members_8,0.022617134175959112
party_4,0.02487380237756333
party_12,0.001044471435413827
political_14,0.0008948761132562027
senate_19,0.0026553789486566193
service_18,0.03535408731458827
services_7,0.02283023766406446
technology_20,0.03768792973319346
texas_7,0.004792725851383294
texas_9,0.0008568755736516339
trader_2,0.009710985623193549
union_18,0.021478260904499342
world_7,0.002068959535452056
world_3,
district_16,
fed_18,
federal_2,
union_14,
elected,
services,
stock_market_11,
happy_11,
politics_3,
earnings,
media,
firm_10,
freedom_5,
act_2,
cash_11,
election_1,
election_10,
economic_5,
oil,
inc_10,
law,
missouri,
transaction_3,
political_17,
unemployment_11,
political_9,
headlines_10,
service_7,
health_10,
cash_16,
corporation_13,
government_14,
headlines_5,
service_20,
unemployment_9,
college_11,
present_11,
law_5,
election_19,
financial_18,
happy_17,
metals,
elections_20,
happy_5,
college_5,
corporation_9,
security_9,
companies_14,
derivatives,
law_6,
earnings_5,
arts,
freedom_11,
government_6,
election_14,
committee_5,
happy,
technology_13,
rich,
world,
politics_4,
firm_11,
business_8,
chance_12,
happy_3,
ohio,
federal_7,
chance_13,
markets,
world_18,
bank_6,
georgia_5,
energy_5,
college_10,
election_12,
ltd_3,
services_3,
union_8,
energy_1,
politics_18,
health_4,
council,
earnings_1,
cash_20,
case,
corporation,
rights_3,
happy_2,
district_17,
party_16,
bank_5,
elections_17,
headlines_16,
government_2,
senate_14,
world_16,
elections_15,
founded_17,
technology_11,
federal_20,
chance,
district_9,
business_13,
inc_12,
trader_17,
financial_12,
business_3,
economic_12,
credit_20,
health_1,
energy_17,
transaction_5,
community_19,
fed_4,
founded_5,
movement,
unemployment_15,
financial markets,
security_11,
financial_15,
committee_7,
headlines_20,
ltd_17,
trader_13,
companies_11,
county_11,
profit,
inc_14,
cash_2,
texas_5,
county_19,
freedom_7,
court_16,
office_4,
stock_market_4,
act,
earnings_14,
million,
service_17,
gains,
council_10,
justice_11,
financial_7,
texas_13,
government_20,
freedom_18,
court_2,
office_3,
community_12,
founded_11,
headlines_12,
service_16,
service_2,
financial_19,
community_18,
happy_12,
success,
sell,
unemployment_4,
elections_6,
virginia,
government_1,
unemployment_10,
election_5,
companies_4,
portfolio,
justice_6,
community_9,
college_20,
committee_18,
credit_5,
act_20,
inc_13,
senate_7,
conflict,
stock_market_18,
tennessee,
justice_1,
freedom_6,
management_5,
business_11,
missouri_3,
inc,
office_20,
corporation_11,
community_14,
chance_2,
corporation_7,
headlines_6,
trader_9,
world_4,
missouri_6,
technology_17,
act_8,
senate_11,
companies,
health_11,
dividend,
finance_2,
justice_16,
washington,
service_8,
court_11,
party_14,
stocks,
police,
health,
founded_12,
district_14,
firm_4,
georgia_17,
service_3,
judge_5,
democratic,
crash,
business_7,
earnings_2,
freedom_4,
transaction_19,
inc_1,
leverage,
energy_9,
stats,
technology_18,
travel,
happy_16,
project,
federal_17,
transaction_14,
judge_4,
finance_6,
texas_12,
transaction_4,
economic_14,
republican_20,
service_4,
fed_8,
texas,
security_6,
debt,
firm_13,
votes_12,
republican_8,
finance_19,
community,
judge_19,
world_19,
trader_5,
world_9,
texas_15,
management,
georgia_16,
companies_19,
party_9,
global_12,
