feature,feature_score
conflict_15,0.0017161754464995373
minister_11,0.04891819933600287
ministry_5,0.04373719710005003
money_2,0.014869114082594859
opportunity_3,0.04967062125296055
restaurant_6,0.026052780255434095
restaurant_7,0.04918478744060607
revenue_3,0.002571469183084721
stock_market_15,0.0324396699202261
conflict_14,
elected,
services,
food_11,
economy_13,
stock_market_11,
earnings,
media,
money_1,
sell_8,
short selling,
freedom_5,
ministry_4,
ministry_16,
president_9,
economics,
oil,
economy_9,
law,
credit,
sell_15,
fond_11,
invest,
missouri,
opportunity_9,
committee_10,
carolina,
fine_16,
crisis,
money,
minister_1,
growth_13,
committee_15,
ministry_2,
revenue_15,
food_18,
growth_18,
minister_14,
revenue_4,
revenue_19,
default,
media_16,
ministry_15,
metals,
conflict_4,
restaurant_4,
government,
derivatives,
fine_18,
arts,
growth_5,
freedom_11,
ministry_7,
committee_5,
democratic_14,
happy,
revenue_1,
rich,
world,
conflict_7,
revenue_5,
fine_3,
ohio,
food_16,
fine_1,
markets,
growth_4,
train,
money_10,
fine_19,
ministry_17,
lifestyle,
council,
case,
corporation,
stock market,
money_15,
district,
president_1,
restaurant_1,
media_6,
president_18,
pennsylvania,
growth_8,
economy_12,
investment,
chance,
democratic_10,
money_18,
movement,
democratic_12,
sell_1,
financial markets,
cash,
movie,
committee_7,
sell_2,
democratic_17,
stock_market_10,
opportunity_12,
profit,
stock_market_9,
stock_market_8,
freedom_7,
republican,
fine_14,
stock_market_4,
georgia,
media_17,
act,
growth_14,
million,
gains,
fond_6,
revenue_11,
revenue_12,
freedom_18,
labor,
stock_market_2,
bank,
revenue_13,
media_11,
success,
sell,
conflict_20,
virginia,
fine_11,
fond_9,
economy_4,
loss,
portfolio,
fine,
college,
minister_16,
kitchen,
committee_18,
wisconsin,
committee_19,
conflict,
minister_5,
stock_market_18,
tennessee,
freedom_6,
stock_market_1,
growth_20,
inc,
money_11,
opportunity_19,
restaurant_10,
fine_7,
committee_6,
fond_15,
bubble,
companies,
money_7,
sell_13,
political,
fine_17,
dividend,
committee_1,
conflict_8,
ore,
growth_7,
housing,
washington,
freedom_2,
ministry_20,
restaurant_11,
democratic_13,
economy_5,
police,
stocks,
health,
revenue_7,
ministry_14,
media_8,
economy_19,
dow jones,
revenue_17,
democratic,
crash,
freedom_4,
growth_2,
growth_3,
leverage,
minister_8,
gold,
president_13,
stats,
party,
project,
travel,
gain,
committee_20,
committee_12,
economy_10,
fed,
economy_16,
economic,
ministry_10,
growth_6,
president_6,
