feature,feature_score
corporation_3,0.03179459073031202
democratic_4,0.009152678898481877
finance_4,0.0054325559184321736
finance_9,0.017695913554168444
firm_11,0.0014245043162873015
firm_13,0.019343558414664667
firm_15,0.04356571227729355
home_2,0.006465630993495197
home_3,0.010279226923258127
million_1,0.0016289225936259853
opportunity_10,0.00811165949950863
opportunity_11,0.01024289461987877
services_2,0.01718046978391892
district_16,
fed_18,
federal_2,
technology_20,
elected,
services,
marketing_17,
union_14,
earnings,
media,
firm_10,
court_18,
business_16,
financial_20,
home_17,
social_11,
short selling,
economics,
home_8,
oil,
loss_1,
credit_12,
district_6,
inc_10,
loss_20,
law,
credit,
district_1,
nyse_8,
union_18,
washington_7,
invest,
missouri,
loss_10,
opportunity_9,
security_4,
service_7,
security_19,
carolina,
culture_17,
crisis,
management_17,
money,
corporation_13,
pennsylvania_1,
nyse_15,
revenue_15,
service_20,
revenue_4,
revenue_19,
marketing_15,
loss_15,
services_17,
default,
fed_15,
law_5,
pennsylvania_17,
financial_18,
culture_15,
firm_9,
metals,
nyse_13,
corporation_9,
security_9,
technology_12,
government,
derivatives,
county_14,
county_5,
law_6,
arts,
democratic_14,
happy,
technology_13,
loss_3,
revenue_1,
rich,
world,
corporation_2,
business_8,
loss_8,
revenue_5,
washington_18,
ohio,
federal_7,
firm_5,
business_18,
markets,
nyse_17,
train,
firm_16,
marketing_3,
bank_6,
loss_14,
security_3,
party_17,
texas_16,
energy_5,
party_1,
office_9,
services_3,
union_8,
pennsylvania_5,
energy_1,
business_5,
million_8,
lifestyle,
council,
case,
corporation,
nyse_19,
fed_20,
stock market,
district_17,
party_16,
union_15,
district,
bank_5,
financial_16,
business_14,
inc_17,
party_15,
corporation_8,
loss_13,
fed_19,
party_4,
pennsylvania,
home_15,
technology_11,
bank_2,
federal_20,
investment,
chance,
district_9,
business_13,
social_20,
inc_12,
democratic_10,
business_3,
financial_12,
credit_20,
energy_17,
home_1,
community_19,
fed_4,
movement,
community_17,
democratic_12,
home_19,
financial markets,
security_11,
cash,
movie,
financial_15,
security_18,
business_1,
fed_7,
business_4,
financial_9,
million_4,
firm_18,
washington_14,
district_4,
home_20,
democratic_17,
management_13,
county_11,
federal_12,
inc_19,
opportunity_12,
nyse_9,
washington_10,
profit,
inc_14,
texas_5,
county_19,
social_13,
technology_4,
court_16,
republican,
office_4,
georgia,
act,
million,
service_17,
services_19,
party_10,
gains,
financial_7,
finance_16,
revenue_11,
texas_13,
financial_13,
nyse_20,
revenue_12,
court_2,
labor,
million_12,
office_2,
office_3,
million_6,
million_11,
culture_13,
bank,
community_12,
revenue_13,
community_15,
service_16,
community_4,
