feature,feature_score
blacklist_19,0.007177375556140986
business_7,0.03916368102671246
buy_15,0.02407004939383884
car_1,3.15692548524351e-06
corporation_10,0.005141308203985888
court_4,0.008045751762860598
court_7,0.01028529411106479
earnings_1,0.0025169564728922903
fed_4,0.0313391623720466
garden_7,0.022762240034495188
greed_1,0.042798897791489515
greed_3,0.0011386240841071169
holiday_1,0.03317474421003339
home_10,0.034166081203181424
invest_14,0.042531857498851175
legal_1,0.04061308023201295
management_6,0.03382029290279796
management_19,0.007328527122332739
marketing_9,0.016221514224857
movement_4,0.0021868222002872435
ring_5,0.0018597874058586877
security_9,0.0006127156587056607
security_10,0.03483945611756117
unemployment_7,0.02015904608408933
unemployment_12,0.0003309327189678191
unemployment_18,0.03012254062473234
district_16,
fed_18,
federal_2,
union_14,
elected,
services,
health_14,
holiday_17,
marketing_17,
earnings,
media,
firm_10,
court_18,
business_16,
financial_20,
buy_5,
home_17,
short selling,
unemployment_13,
earnings_20,
garden_18,
kitchen_6,
economics,
home_8,
oil,
invest_12,
credit_12,
district_6,
inc_10,
legal_10,
law,
credit,
district_1,
union_18,
invest_5,
washington_7,
invest,
missouri,
wisconsin_7,
buy_9,
security_4,
committee_10,
unemployment_11,
carolina,
crisis,
health_10,
invest_17,
money,
invest_18,
corporation_3,
corporation_13,
management_17,
wisconsin_9,
committee_15,
kitchen_8,
invest_1,
marketing_15,
services_17,
garden_13,
car_7,
holiday_20,
holiday_19,
movement_5,
unemployment_9,
default,
fed_15,
law_5,
financial_18,
kitchen_9,
firm_9,
metals,
invest_8,
wisconsin_2,
corporation_9,
buy_13,
government,
derivatives,
greed_16,
garden_3,
ceo_5,
law_6,
car_11,
invest_19,
earnings_5,
arts,
council_16,
ceo_13,
council_1,
committee_5,
secretary_5,
happy,
secretary_13,
rich,
world,
blacklist_13,
corporation_2,
business_8,
firm_11,
washington_18,
ohio,
federal_7,
firm_5,
business_18,
markets,
security_3,
train,
firm_16,
buy_6,
marketing_3,
legal_19,
car_13,
wisconsin_14,
movement_20,
ltd_3,
services_3,
union_8,
blacklist_12,
business_5,
lifestyle,
health_4,
council,
kitchen_11,
wisconsin_16,
case,
corporation,
movement_7,
invest_7,
fed_20,
blacklist_1,
secretary_1,
stock market,
district_17,
union_15,
district,
financial_16,
invest_2,
business_14,
inc_17,
corporation_8,
holiday_10,
fed_19,
blacklist_17,
pennsylvania,
ring_18,
home_15,
federal_20,
investment,
chance,
district_9,
business_13,
car_5,
invest_11,
inc_12,
business_3,
car_14,
financial_12,
health_1,
credit_20,
home_1,
holiday_9,
movement,
kitchen_5,
home_19,
unemployment_15,
kitchen_18,
financial markets,
security_11,
cash,
movie,
financial_15,
security_18,
committee_7,
wisconsin_17,
business_1,
fed_7,
business_4,
financial_9,
ltd_17,
firm_18,
washington_14,
district_4,
home_20,
management_13,
federal_12,
inc_19,
washington_10,
secretary_20,
buy_4,
profit,
inc_14,
wisconsin_6,
movement_10,
court_16,
movement_3,
ring_15,
republican,
holiday_16,
georgia,
ltd_11,
act,
million,
earnings_4,
earnings_14,
secretary_2,
services_19,
gains,
council_10,
council_17,
financial_7,
holiday_4,
movement_15,
financial_13,
court_2,
labor,
blacklist_14,
bank,
earnings_12,
car_8,
financial_19,
greed_9,
marketing_8,
success,
buy_19,
sell,
ceo_8,
district_5,
ceo_12,
district_19,
buy_7,
kitchen_20,
secretary_10,
unemployment_4,
virginia,
legal_7,
legal_4,
unemployment_10,
loss,
portfolio,
fine,
fed_5,
firm_12,
law_17,
council_5,
union_13,
college,
washington_20,
management_9,
kitchen,
committee_18,
wisconsin,
committee_19,
credit_5,
ltd_16,
inc_13,
car_12,
conflict,
greed_4,
secretary_6,
tennessee,
management_5,
kitchen_12,
ring_19,
business_11,
inc,
corporation_11,
ceo_7,
legal_20,
committee_6,
corporation_7,
bubble,
companies,
secretary_3,
political,
inc_15,
services_14,
health_11,
secretary_4,
dividend,
court_10,
ceo_6,
movement_8,
washington_15,
committee_1,
legal_6,
security_2,
ore,
marketing_1,
housing,
kitchen_15,
buy_20,
wisconsin_20,
washington,
greed_13,
management_3,
court_11,
movement_19,
legal_11,
police,
stocks,
car_15,
health,
marketing_6,
district_14,
firm_4,
marketing_10,
movement_6,
garden_19,
blacklist_4,
ring_8,
holiday_12,
ring_20,
dow jones,
security_7,
democratic,
crash,
legal_9,
earnings_2,
kitchen_7,
inc_1,
leverage,
gold,
stats,
party,
health_5,
project,
travel,
gain,
federal_17,
car_3,
committee_12,
committee_20,
fed,
corporation_4,
law_9,
economic,
movement_17,
corporation_20,
federal_13,
law_20,
invest_3,
secretary_16,
security_12,
invest_13,
garden_1,
fed_8,
texas,
secretary_15,
security_6,
target_return,
wisconsin_15,
kitchen_2,
debt,
firm_13,
marketing_13,
union_17,
community,
ceo_1,
wisconsin_1,
holiday_5,
wisconsin_18,
ltd_2,
ceo_20,
management,
greed,
corporation_12,
management_12,
unemployment_6,
home_11,
management_14,
kitchen_19,
marketing_20,
earnings_17,
home_12,
secretary_18,
services_12,
legal_14,
management_18,
ltd,
fond,
committee_17,
law_8,
ltd_19,
management_4,
court_12,
holiday_3,
wisconsin_13,
tourism,
greed_11,
health_12,
ltd_13,
wisconsin_4,
wisconsin_10,
fed_12,
secretary_8,
blacklist_20,
buy,
hedge,
holiday_11,
buy_10,
ltd_10,
garden_14,
minister,
ceo_11,
firm,
voters,
ring_2,
house,
greed_5,
wisconsin_11,
inc_9,
ceo,
federal_1,
fun,
earnings_19,
legal_18,
headlines,
technology,
present,
credit_4,
credit_7,
washington_8,
business_10,
buy_8,
washington_13,
credit_15,
earnings_18,
firm_17,
invest_4,
services_11,
federal_18,
returns,
court_1,
ltd_6,
ring,
members,
law_4,
corporation_19,
garden_9,
legal_3,
buy_18,
kentucky,
ceo_18,
federal_4,
firm_14,
services_10,
federal_11,
management_15,
committee_3,
financial_10,
holiday_14,
secretary,
council_7,
blacklist_7,
car,
garden_4,
movement_14,
kitchen_1,
restaurant,
ring_14,
ceo_19,
district_10,
fed_10,
firm_1,
union_12,
washington_6,
management_7,
credit_16,
federal_5,
environment,
health_2,
justice,
DOW JONES,
nasdaq,
marriage,
district_20,
security_5,
security_15,
security_19,
ltd_5,
ring_13,
unemployment_3,
legal_17,
buy_17,
BUY AND HOLD,
blacklist_11,
color,
management_16,
credit_19,
health_18,
court,
ring_3,
service,
trader,
buy_16,
kitchen_10,
global,
short sell,
court_6,
firm_19,
garden_2,
unemployment_16,
washington_3,
security,
union_2,
votes,
union_7,
services_1,
credit_3,
financial_11,
ring_10,
union_10,
firm_20,
war,
opportunity,
blacklist_3,
kitchen_4,
energy,
inc_8,
social,
council_12,
health_15,
washington_4,
committee_9,
corporation_16,
greed_2,
food,
revenue,
greed_17,
earnings_16,
ring_7,
health_19,
corporation_15,
banking,
council_2,
services_4,
home_14,
wisconsin_8,
county,
financial_1,
home_18,
services_13,
security_16,
ring_4,
car_19,
ring_6,
firm_3,
secretary_19,
union,
car_9,
movement_1,
earnings_10,
car_16,
greed_14,
marketing_18,
services_9,
market,
transaction,
representatives,
health_20,
movement_18,
union_19,
inc_16,
greed_19,
services_8,
ltd_7,
greed_10,
washington_5,
ltd_18,
earnings_15,
council_11,
credit_1,
movement_12,
union_20,
ltd_9,
forex,
federal_19,
ceo_3,
ministry,
federal_16,
ring_12,
services_18,
car_17,
greed_15,
committee_16,
corporation_5,
credit_2,
invest_20,
management_10,
business_2,
health_16,
union_5,
cancer,
greed_20,
business,
garden_20,
holiday_2,
council_4,
federal_9,
unemployment_2,
kitchen_3,
law_16,
holiday,
unemployment_1,
garden,
garden_6,
corporation_14,
home_3,
ltd_14,
health_17,
garden_17,
washington_19,
return,
president,
council_9,
blacklist_5,
blacklist_16,
washington_16,
health_8,
corporation_1,
buy_3,
holiday_6,
secretary_17,
washington_9,
fed_1,
services_20,
court_9,
legal_13,
rare earths,
council_3,
fed_9,
secretary_14,
movement_11,
development,
served,
car_4,
council_13,
unemployment_17,
greed_12,
law_10,
credit_11,
ring_17,
invest_9,
ltd_15,
secretary_11,
district_11,
firm_7,
legal_2,
federal_10,
legal_5,
garden_12,
kitchen_16,
ltd_20,
credit_6,
law_1,
earnings_3,
kitchen_14,
unemployment,
health_13,
district_13,
law_3,
legal_12,
inc_2,
earnings_9,
financial_17,
secretary_7,
financial_2,
council_19,
federal_15,
home_13,
greed_6,
court_19,
inc_18,
business_20,
business_12,
illinois,
security_1,
blacklist_10,
rights,
holiday_13,
fed_3,
home_4,
union_4,
buy_14,
buy_1,
earnings_11,
holiday_7,
committee,
council_8,
seats,
greed_18,
inc_4,
governor,
law_11,
ring_11,
