feature,feature_score
founded_16,0.03193879428462701
garden_10,0.03951253272472144
senate_10,0.038122394287653
short_sell_3,0.044152572170227014
seats_5,
social_13,
labor_9,
representatives_5,
gold_13,
arts_6,
car_11,
county,
security,
arts_5,
garden_3,
seats_19,
garden_20,
garden_17,
conflict,
seats_9,
seats,
founded_5,
economic_10,
arts_16,
social_12,
greed,
council,
debt,
car_16,
markets,
banking_4,
short_sell_14,
arts_3,
senate_18,
gold,
train_7,
arts_18,
carolina,
representatives_10,
risk,
corporation,
seats_10,
credit,
banking_1,
BUY AND HOLD,
portfolio,
banking_14,
rich_12,
labor_6,
founded_2,
color_9,
judge,
banking_20,
seats_4,
arts_14,
founded_11,
car,
cancer,
car_13,
seats_8,
social_4,
virginia,
senate_13,
arts_20,
forex,
massachusetts,
labor_19,
money_15,
garden_11,
arts_19,
gold_18,
bubble,
management,
vermont,
founded_3,
short_sell_15,
train_20,
money_18,
oil,
short_sell_13,
representatives_19,
gold_2,
train_10,
banking_11,
rich_9,
car_1,
short_sell_6,
car_3,
seats_12,
banking,
labor_3,
rich_18,
founded_6,
gold_15,
college,
short_sell_12,
car_7,
wisconsin,
gold_5,
social_6,
social_15,
money_9,
health,
train_13,
founded_7,
law,
return,
senate_6,
georgia,
rich_20,
ltd,
gold_12,
gold_8,
labor_4,
founded_9,
financial,
social_9,
loss,
social_7,
union,
banking_2,
social_14,
garden_1,
money_4,
senate_1,
economic_20,
social,
ring,
founded_8,
crisis,
short_sell_9,
car_12,
train_8,
color_2,
founded_20,
social_1,
success,
senate_5,
banking_10,
ceo,
members,
ministry,
labor_18,
car_19,
arts_12,
short_sell_7,
representatives_2,
train_5,
social_20,
rich_13,
train_12,
arts_17,
york,
stocks,
rich_17,
seats_11,
dow jones,
ore,
rich_5,
religion,
hedge,
government,
garden_7,
representatives_16,
society,
invest,
movie,
short_sell_20,
economic_4,
garden_15,
color_20,
garden_6,
dividend,
election,
money_17,
garden_2,
representatives_13,
pennsylvania,
minister,
color_14,
founded_14,
money_8,
short_sell_19,
senate_20,
marketing,
legal,
rich_6,
finance,
labor_16,
social_19,
movement,
car_9,
business,
founded,
kentucky,
holiday,
gold_6,
food,
arts_8,
money_11,
labor,
banking_7,
color_6,
gold_4,
color_5,
DOW JONES,
cash,
train_3,
culture,
justice,
firm,
republican,
growth,
kitchen,
party,
economic_3,
labor_5,
consume,
car_8,
car_15,
financial markets,
social_17,
political,
nyse,
economic_1,
banking_5,
profit,
garden_4,
served,
labor_1,
seats_17,
car_5,
color_16,
default,
nasdaq,
fond,
founded_4,
freedom,
arts,
economic_19,
labor_2,
money_10,
gold_10,
short_sell_16,
banking_12,
economic_2,
fun,
money_13,
texas,
rich_3,
train_17,
short_sell_4,
gains,
labor_15,
short selling,
gold_1,
short_sell_5,
color,
rare earths,
founded_1,
target_return,
rich_11,
president,
founded_19,
community,
william,
social_10,
money_14,
color_12,
lifestyle,
gold_16,
seats_18,
social_8,
industry,
opportunity,
economic_12,
market,
banking_13,
economy,
representatives_15,
banking_9,
rich,
banking_19,
money_2,
happy,
restaurant,
bank,
senate_14,
labor_10,
representatives_17,
money_6,
federal,
arts_1,
economics,
unemployment,
representatives_1,
senate_2,
seats_15,
train_4,
economic,
companies,
consumption,
democratic,
gold_9,
representatives_8,
labor_12,
present,
money_5,
social_16,
social_5,
representatives_7,
short_sell_18,
seats_6,
project,
garden_8,
short_sell_10,
economic_7,
color_4,
revenue,
garden_9,
rich_2,
committee,
buy,
labor_13,
trader,
senate_3,
arts_9,
rich_16,
rights,
founded_13,
founded_10,
voters,
color_18,
garden,
economic_17,
arts_15,
gold_11,
seats_16,
transaction,
short_sell_1,
housing,
gold_17,
derivatives,
gold_20,
train_16,
world,
color_13,
war,
home,
service,
car_20,
marriage,
gold_19,
gold_14,
governor,
garden_16,
color_8,
sell,
short_sell_17,
stats,
elections,
economic_13,
founded_17,
fed,
arts_7,
labor_14,
elected,
arts_2,
economic_5,
tourism,
banking_8,
garden_14,
color_19,
representatives_12,
senate_7,
seats_3,
color_10,
social_11,
economic_8,
arts_11,
media,
car_17,
money_7,
money_3,
rich_10,
social_3,
office,
senate_15,
gold_7,
color_7,
chance,
color_11,
color_17,
inc,
short_sell_8,
banking_17,
senate_19,
global,
rich_14,
representatives_6,
labor_20,
technology,
banking_15,
returns,
garden_13,
banking_6,
senate_11,
crash,
economic_18,
blacklist,
leverage,
color_1,
train_15,
washington,
color_15,
money_12,
short_sell_2,
train_11,
rich_1,
car_10,
car_14,
short sell,
products,
senate_16,
car_6,
million,
rich_4,
color_3,
social_2,
missouri,
money,
representatives_3,
seats_13,
headlines,
money_20,
arts_13,
senate_9,
car_18,
banking_16,
economic_9,
garden_18,
gold_3,
district,
garden_19,
bonds,
travel,
ohio,
short_sell_11,
seats_2,
money_19,
services,
banking_3,
inflation,
secretary,
rich_8,
senate_8,
car_4,
economic_14,
banking_18,
train_2,
gain,
train_18,
rich_19,
act,
train_9,
senate_17,
senate_12,
tennessee,
car_2,
labor_8,
senate_4,
founded_18,
votes,
seats_1,
train_14,
energy,
labor_7,
water,
social_18,
illinois,
rich_15,
rich_7,
founded_12,
stock market,
earnings,
train,
founded_15,
representatives_18,
arts_4,
money_1,
case,
labor_11,
representatives_9,
representatives,
garden_5,
representatives_20,
environment,
house,
seats_7,
seats_14,
senate,
train_1,
labor_17,
representatives_14,
court,
economic_15,
investment,
representatives_4,
arts_10,
police,
representatives_11,
politics,
development,
garden_12,
seats_20,
fine,
economic_16,
money_16,
train_6,
metals,
economic_11,
train_19,
economic_6,
