feature,feature_score
ceo_6,0.0063439193260572905
ceo_9,0.025393207048692877
ceo_11,0.00916546481223079
happy_1,0.012746942509174347
happy_5,0.012079440053277006
hedge_3,0.04049460254993144
leverage_2,0.026620119543261697
portfolio_12,0.044428474340156746
project_12,0.00854488548866252
republican_2,0.01537125862254944
republican_4,0.04039391476578207
trader_7,0.012253708750126527
trader_10,0.020055425976513067
trader_15,0.026013593311916834
trader_18,0.015767517759974856
loss_8,
republican_17,
republican_14,
dividend_1,
trader_12,
county,
earnings_4,
security,
project_2,
earnings_18,
bubble_19,
conflict,
portfolio_16,
case_12,
seats,
dividend_12,
election_7,
leverage_3,
bubble_5,
republican_12,
markets_8,
greed,
invest_6,
council,
profit_7,
debt,
case_7,
markets,
profit_14,
bubble_7,
election_3,
leverage_9,
gold,
case_20,
project_15,
carolina,
risk,
corporation,
credit,
hedge_9,
dividend_9,
election_12,
BUY AND HOLD,
portfolio,
leverage_8,
kentucky_6,
invest_14,
project_11,
happy_4,
markets_17,
judge,
election_13,
trader_6,
profit_15,
kentucky_13,
car,
cancer,
bubble_1,
invest_1,
trader_1,
case_4,
virginia,
election_14,
forex,
dividend_20,
massachusetts,
ceo_8,
bubble,
management,
vermont,
portfolio_15,
oil,
kentucky_2,
loss_12,
earnings_19,
markets_4,
trader_19,
kentucky_16,
earnings_3,
republican_7,
invest_10,
loss_13,
bubble_17,
bubble_18,
portfolio_6,
markets_6,
banking,
portfolio_19,
kentucky_12,
college,
portfolio_2,
profit_9,
wisconsin,
project_16,
republican_16,
case_13,
hedge_10,
health,
law,
return,
republican_15,
georgia,
leverage_17,
happy_2,
bubble_3,
ltd,
kentucky_8,
leverage_20,
case_14,
election_15,
markets_11,
earnings_17,
financial,
loss,
kentucky_7,
union,
invest_12,
invest_13,
loss_9,
portfolio_4,
ceo_16,
social,
ring,
crisis,
portfolio_17,
invest_2,
kentucky_14,
case_6,
invest_9,
earnings_7,
leverage_19,
trader_20,
success,
case_18,
portfolio_9,
ceo,
members,
ministry,
bubble_12,
profit_8,
loss_19,
case_19,
election_1,
portfolio_18,
york,
hedge_13,
stocks,
leverage_5,
happy_8,
dow jones,
ore,
loss_10,
religion,
hedge,
government,
kentucky_18,
election_11,
society,
invest,
movie,
hedge_14,
portfolio_10,
case_11,
leverage_16,
dividend,
election,
dividend_2,
earnings_6,
pennsylvania,
earnings_2,
minister,
markets_16,
dividend_7,
case_15,
earnings_9,
marketing,
legal,
ceo_17,
dividend_5,
finance,
earnings_5,
kentucky_9,
portfolio_13,
republican_18,
election_2,
movement,
portfolio_5,
business,
founded,
kentucky,
holiday,
food,
republican_13,
bubble_2,
labor,
portfolio_8,
happy_12,
ceo_12,
DOW JONES,
happy_17,
cash,
culture,
justice,
firm,
republican,
growth,
kitchen,
project_1,
party,
earnings_15,
election_5,
dividend_6,
consume,
financial markets,
political,
election_16,
nyse,
election_19,
profit,
profit_16,
served,
dividend_11,
default,
nasdaq,
fond,
markets_13,
loss_2,
freedom,
arts,
profit_6,
ceo_7,
leverage_18,
trader_11,
portfolio_7,
invest_15,
fun,
texas,
markets_15,
gains,
profit_2,
short selling,
kentucky_19,
color,
rare earths,
target_return,
profit_18,
trader_8,
case_17,
leverage_4,
happy_14,
president,
invest_16,
ceo_4,
community,
bubble_16,
william,
lifestyle,
happy_7,
dividend_18,
republican_10,
hedge_4,
case_5,
profit_10,
ceo_14,
election_18,
project_9,
industry,
opportunity,
happy_16,
trader_14,
market,
case_3,
bubble_20,
kentucky_4,
election_6,
economy,
bubble_8,
rich,
earnings_10,
dividend_19,
happy,
restaurant,
bank,
leverage_7,
federal,
economics,
unemployment,
hedge_5,
republican_11,
kentucky_10,
dividend_16,
economic,
companies,
consumption,
democratic,
