feature,feature_score
crash_8,0.01250781539793432
greed_14,0.02408886453758095
headlines_2,0.000881215798232667
labor_12,0.018597567120610024
minister_20,0.033270442209977207
president_14,0.01961366530452084
president_16,0.028580890867455914
products_3,0.01783548047720463
sell_13,0.017355266248436533
world_7,0.04038216927368523
world_11,0.0014900231154777064
minister_17,
market_11,
labor_9,
minister_8,
market_20,
products_13,
derivatives_14,
president_10,
county,
security,
gain_7,
gain_6,
water_16,
conflict,
derivatives_4,
seats,
gain_8,
greed_2,
president_11,
sell_19,
governor_19,
markets_8,
greed,
derivatives_15,
greed_20,
council,
debt,
crash_13,
markets,
gold,
derivatives_1,
products_2,
world_4,
carolina,
world_15,
risk,
corporation,
credit,
food_3,
sell_20,
BUY AND HOLD,
minister_9,
portfolio,
labor_6,
governor_12,
minister_11,
texas_2,
food_12,
holiday_15,
markets_17,
judge,
greed_19,
governor_10,
sell_16,
world_20,
headlines_11,
water_6,
car,
texas_16,
cancer,
office_1,
default_19,
virginia,
crash_18,
market_19,
water_1,
forex,
governor_3,
texas_5,
office_9,
massachusetts,
labor_19,
office_2,
bubble,
management,
vermont,
sell_17,
products_10,
crash_10,
food_18,
minister_15,
texas_3,
oil,
markets_4,
president_3,
products_1,
greed_3,
minister_16,
minister_18,
sell_18,
default_18,
gain_5,
greed_10,
greed_12,
office_6,
food_7,
food_14,
markets_6,
banking,
labor_3,
gain_16,
college,
crash_1,
market_9,
governor_4,
derivatives_9,
president_9,
wisconsin,
derivatives_18,
gain_18,
governor_16,
health,
president_15,
law,
return,
georgia,
products_16,
greed_16,
holiday_10,
default_2,
ltd,
crash_4,
food_13,
governor_7,
office_3,
water_10,
labor_4,
markets_11,
financial,
loss,
default_17,
union,
world_16,
market_4,
derivatives_3,
gain_19,
office_17,
world_5,
minister_7,
food_5,
social,
ring,
minister_4,
crisis,
texas_11,
food_17,
president_17,
governor_9,
minister_13,
market_5,
sell_10,
gain_12,
gain_11,
success,
food_1,
crash_3,
ceo,
members,
ministry,
labor_18,
president_8,
world_18,
headlines_14,
holiday_1,
derivatives_12,
derivatives_8,
holiday_5,
york,
greed_15,
stocks,
greed_9,
dow jones,
ore,
derivatives_6,
religion,
hedge,
government,
derivatives_19,
society,
invest,
headlines_13,
movie,
minister_1,
crash_16,
president_4,
holiday_4,
gain_20,
governor_2,
products_18,
dividend,
election,
default_13,
products_12,
water_4,
pennsylvania,
holiday_14,
minister,
markets_16,
greed_13,
food_20,
marketing,
legal,
finance,
crash_20,
water_12,
water_17,
default_20,
default_3,
food_10,
labor_16,
texas_13,
headlines_16,
movement,
water_14,
business,
founded,
kentucky,
holiday,
food,
headlines_17,
world_17,
minister_5,
labor,
governor_8,
governor_1,
DOW JONES,
water_15,
market_6,
cash,
default_5,
governor_11,
culture,
justice,
firm,
republican,
growth,
kitchen,
party,
derivatives_7,
market_2,
labor_5,
consume,
gain_17,
financial markets,
governor_20,
political,
nyse,
president_13,
water_11,
water_19,
profit,
holiday_7,
served,
labor_1,
market_8,
crash_15,
default,
nasdaq,
fond,
holiday_3,
markets_13,
freedom,
arts,
gain_15,
labor_2,
sell_8,
market_13,
fun,
derivatives_10,
texas,
markets_15,
derivatives_17,
market_14,
world_1,
gains,
labor_15,
short selling,
headlines_3,
products_9,
holiday_8,
color,
rare earths,
target_return,
president,
governor_13,
office_15,
crash_7,
community,
default_10,
william,
water_3,
lifestyle,
sell_6,
headlines_7,
world_14,
headlines_4,
world_9,
industry,
opportunity,
president_5,
sell_12,
market,
world_13,
economy,
crash_9,
market_12,
food_4,
rich,
crash_5,
happy,
restaurant,
bank,
minister_10,
labor_10,
default_9,
federal,
default_8,
derivatives_2,
holiday_12,
world_10,
economics,
unemployment,
minister_2,
gain_14,
minister_3,
texas_9,
economic,
companies,
consumption,
office_10,
democratic,
water_20,
markets_9,
headlines_9,
present,
governor_5,
markets_19,
food_11,
market_18,
holiday_17,
project,
crash_17,
governor_14,
greed_17,
revenue,
president_19,
committee,
buy,
labor_13,
trader,
default_4,
water_9,
markets_12,
greed_8,
president_18,
rights,
water_13,
voters,
holiday_19,
markets_1,
texas_20,
food_19,
gain_13,
products_8,
garden,
markets_7,
sell_15,
transaction,
housing,
holiday_9,
derivatives,
sell_4,
president_20,
products_15,
greed_1,
world,
markets_10,
war,
home,
water_2,
service,
marriage,
sell_2,
gain_4,
default_11,
texas_8,
governor,
world_2,
gain_3,
governor_18,
sell,
products_6,
sell_3,
gain_9,
texas_10,
stats,
elections,
greed_6,
labor_14,
fed,
markets_5,
markets_14,
elected,
market_17,
crash_14,
default_15,
tourism,
president_12,
sell_9,
texas_6,
office_19,
default_1,
headlines_20,
derivatives_16,
headlines_8,
products_20,
media,
derivatives_5,
office,
products_11,
chance,
products_4,
greed_4,
inc,
default_6,
global,
default_7,
headlines_18,
holiday_18,
office_20,
labor_20,
technology,
default_14,
returns,
water_5,
headlines_19,
food_2,
crash,
world_8,
president_2,
market_10,
blacklist,
leverage,
market_3,
washington,
products_19,
texas_1,
sell_5,
holiday_2,
minister_14,
headlines_6,
short sell,
products,
texas_7,
governor_6,
derivatives_11,
holiday_6,
million,
markets_18,
missouri,
gain_1,
money,
office_14,
food_15,
headlines,
derivatives_13,
crash_6,
crash_12,
office_7,
office_8,
headlines_12,
greed_5,
products_14,
greed_11,
district,
sell_7,
bonds,
travel,
office_13,
texas_17,
ohio,
market_1,
sell_1,
minister_19,
sell_11,
services,
inflation,
minister_6,
secretary,
texas_19,
texas_4,
markets_2,
market_16,
food_8,
products_17,
holiday_11,
gain,
headlines_5,
office_5,
texas_14,
act,
gain_10,
holiday_16,
tennessee,
labor_8,
crash_11,
food_9,
derivatives_20,
holiday_20,
votes,
office_11,
energy,
crash_19,
labor_7,
water,
food_16,
headlines_10,
water_7,
illinois,
world_3,
market_15,
president_7,
office_12,
stock market,
earnings,
train,
crash_2,
case,
default_12,
labor_11,
president_6,
greed_7,
representatives,
markets_20,
environment,
house,
texas_12,
products_5,
default_16,
senate,
texas_15,
holiday_13,
water_8,
gain_2,
office_16,
markets_3,
headlines_15,
office_4,
labor_17,
court,
investment,
governor_15,
world_12,
police,
