feature,feature_score
DOW_JONES_2,0.02020434547015875
act_12,0.007165496505572515
act_18,0.014362454460548511
act_20,0.030843599219473775
arts_5,0.027935969073718557
business_11,0.039014079474653116
business_12,0.0033796971132474853
car_7,0.011748715090854504
carolina_1,0.01420153141213388
carolina_3,0.04811479829159914
ceo_13,0.048093876475294256
college_13,0.0068149884261284885
corporation_12,0.003087275487160413
corporation_14,0.030685917021275638
corporation_15,0.024955309421224686
corporation_20,0.036379701108472925
court_4,0.004351452383096107
crash_2,0.02870104091963205
crash_18,0.020389184970698818
credit_8,0.0002433980044157153
crisis_3,0.03619012272830207
dividend_4,0.027576590054865655
dividend_5,0.007282061332163361
economic_11,0.023038955056128522
economic_12,0.02831858679455194
energy_12,0.03042477577327523
energy_13,0.002355366610215894
energy_17,0.011042179995528121
environment_12,0.042175939471493104
federal_4,0.047447867573182284
federal_5,0.031088039851184756
federal_11,0.03617044926725917
financial_18,0.03532079050478201
firm_7,0.0013172417445093643
firm_20,0.0037357173673562938
forex_14,0.007431565518151629
founded_5,0.00017115984099411736
freedom_3,0.047770387535252194
freedom_6,0.0003896756083175508
freedom_7,0.02534376203826548
gains_6,0.030655869740869292
georgia_13,0.02284298392691157
georgia_19,0.022529610685954105
georgia_20,0.004519666030765964
headlines_4,0.0014996846549080217
holiday_5,0.04010095691910707
holiday_19,0.003333112311690536
home_15,0.00389282054327085
house_7,0.031033400086053924
housing_7,0.00035721707604518876
housing_14,0.030286858315857913
illinois_13,0.01543528783668894
illinois_18,0.01862189939989161
illinois_19,0.008128548042353249
justice_5,0.0006429463150775533
justice_6,0.008094085378002167
justice_12,0.039245460174457944
justice_15,0.029885617650559734
justice_17,0.03486756463487175
justice_19,0.004974867032144341
kentucky_4,0.000434816738371843
kentucky_5,0.04226850553853943
kentucky_18,0.0023087327509057043
ltd_11,0.030616193912481656
ltd_17,0.0085085110745879
management_12,0.0010957043665222668
marketing_4,0.021445563419910045
minister_1,0.032556340800241
money_8,0.040543448038952656
money_12,0.015497095849674448
nyse_8,0.002667060402066764
nyse_9,0.00584525004528605
nyse_10,0.049495736114370414
nyse_14,0.013468537187269211
office_14,0.009215642676832681
ohio_4,0.004717324889485038
ohio_5,0.025790915961623893
ohio_13,0.03780499427461576
ohio_14,0.0016480231212484483
ohio_17,0.012250735170900605
ohio_18,0.006515777258312971
police_5,0.019396373778926276
politics_14,0.0006857364740138005
portfolio_14,3.201863610874151e-05
representatives_13,0.04176471143877658
revenue_18,0.02759118969400814
served_3,0.017185817934634282
services_20,0.0023597337857964172
social_11,0.0008874799088509839
tennessee_4,0.03269653108070492
unemployment_15,0.003296723724874531
vermont_5,0.032886087688940906
vermont_7,0.0032663346434203076
vermont_10,0.020518975186111697
vermont_15,0.027761381358490753
water_3,0.03096302125673339
water_11,0.0025449718428070117
water_13,0.0024765526462103425
william_8,0.04711066530533494
wisconsin_9,0.04272153077095918
virginia_3,
massachusetts_11,
minister_17,
market_11,
stocks_5,
william_15,
illinois_2,
representatives_5,
energy_19,
financial_9,
arts_6,
dividend_1,
products_13,
cancer_12,
car_11,
secretary_1,
security_7,
DOW_JONES_1,
development_10,
justice_20,
home_7,
missouri_18,
security_1,
energy_8,
nyse_2,
carolina_6,
finance_3,
water_16,
conflict,
seats,
health_4,
york_16,
marketing_10,
dividend_12,
government_9,
environment_11,
fed_2,
freedom_11,
house_2,
william_10,
tennessee_1,
washington_20,
economic_10,
police_4,
business_16,
social_12,
debt_10,
greed,
college_11,
college_4,
pennsylvania_8,
gains_9,
debt,
markets,
ceo_6,
politics_17,
arts_3,
police_1,
gold,
products_2,
vermont_11,
federal_2,
william_9,
house_8,
carolina,
representatives_10,
justice_11,
police_20,
bank_13,
minister_9,
politics_13,
freedom_9,
pennsylvania_15,
financial_3,
home_13,
rich_12,
founded_2,
present_16,
pennsylvania_20,
minister_11,
texas_2,
security_20,
service_14,
finance_2,
pennsylvania_6,
security_18,
arts_14,
william_18,
founded_11,
corporation_10,
union_4,
firm_14,
housing_8,
kentucky_13,
wisconsin_1,
ohio_7,
unemployment_20,
texas_16,
gains_19,
cancer,
nyse_6,
college_14,
bank_11,
environment_1,
bank_3,
stocks_12,
security_9,
service_20,
virginia,
firm_2,
politics_7,
water_1,
business_1,
dividend_20,
finance_10,
wisconsin_6,
office_9,
home_10,
ceo_8,
crisis_12,
financial_13,
court_1,
revenue_1,
office_2,
massachusetts_9,
management_7,
carolina_17,
government_15,
products_10,
services_13,
georgia_14,
college_7,
house_5,
home_1,
texas_3,
house_1,
fed_17,
finance_19,
products_1,
representatives_19,
bank_8,
return_2,
corporation_16,
rich_9,
massachusetts_3,
car_1,
cancer_11,
community_5,
car_3,
portfolio_6,
bank_19,
firm_17,
finance_1,
banking,
market_9,
business_15,
act_15,
corporation_8,
forex_16,
law_10,
college,
firm_5,
ohio_15,
management_6,
risk_17,
return_6,
wisconsin,
founded_16,
home_3,
social_6,
missouri_19,
social_15,
firm_18,
massachusetts_15,
founded_7,
home_12,
virginia_9,
georgia,
holiday_10,
energy_10,
management_19,
cancer_2,
firm_8,
forex_2,
housing_20,
kentucky_8,
inc_6,
crash_4,
washington_3,
carolina_7,
culture_12,
services_12,
office_3,
water_10,
government_11,
management_5,
cancer_8,
justice_13,
culture_17,
financial,
social_9,
tennessee_13,
