feature,feature_score
act_6,0.0424310568180959
buy_1,0.008110221838283325
conflict_14,0.0020240545830593542
consume_2,0.04389606756065788
consumption_9,0.014239527657658615
consumption_14,0.03861952360924543
consumption_18,0.011948385824272557
economics_1,0.0008666193542588373
economics_8,0.004920658708124299
economics_9,0.04427116283032925
financial_markets_1,0.029501759573414638
freedom_1,0.030494169176661798
freedom_15,0.0033177368797990786
freedom_17,0.00969502841806832
freedom_19,0.0030467809103486942
home_12,0.027646500197660562
movement_18,0.03616294214879135
ore_3,0.030726248786746124
president_12,0.023252576284162968
served_10,0.01587912275401443
served_12,0.01785914507242834
loss_15,
stocks_9,
project_15,
project_17,
case_10,
business_9,
train_1,
war,
missouri_2,
washington_10,
religion_18,
service_7,
social_5,
society_2,
freedom_14,
restaurant_10,
invest_15,
growth_16,
served_8,
police_6,
religion_2,
DOW_JONES_6,
committee_8,
movement_8,
risk_15,
water_10,
committee_5,
texas_14,
world_14,
stocks_16,
marketing_12,
finance_4,
success_14,
project_14,
investment_9,
minister_8,
minister_15,
DOW_JONES_3,
health_3,
media_20,
tourism_18,
rights_2,
growth_20,
society_9,
president_7,
chance,
media_12,
religion_13,
car,
stocks_7,
growth_1,
marriage_11,
minister,
minister_18,
stock_market_16,
return_12,
economics_5,
invest_4,
war_4,
judge_10,
energy_9,
seats_10,
fun_9,
finance_13,
credit,
consume_7,
texas_16,
debt,
products_6,
earnings,
washington_11,
stocks_18,
ore_11,
stock_market_11,
law_6,
stock_market_8,
texas_13,
religion_9,
ore_2,
train_7,
dow_jones_16,
county_9,
environment_14,
default_10,
college_12,
party_1,
dow_jones_15,
loss_3,
banking_17,
county_16,
forex,
growth_5,
seats_1,
bubble_1,
government_8,
society_15,
DOW_JONES_4,
judge_9,
carolina,
bank_5,
financial_7,
opportunity_16,
banking_1,
restaurant_3,
office_8,
county_5,
business_15,
security_18,
act_20,
financial_markets_3,
tourism_8,
debt_2,
minister_9,
inc_11,
committee_15,
crisis_3,
car_19,
minister_11,
william_7,
county_11,
crisis_1,
risk_19,
society_13,
market_1,
cancer_18,
services,
train_13,
conflict_12,
president_3,
committee_13,
members_18,
products_15,
culture_8,
members_3,
act_5,
restaurant_14,
banking_18,
products_9,
government_6,
culture_18,
technology_1,
virginia_14,
movement_16,
party_10,
water_20,
union_10,
case_9,
stocks_17,
risk_11,
bank_1,
financial_15,
politics,
environment_11,
war_16,
economics,
county_15,
government_5,
lifestyle_10,
bank_3,
act_10,
world_2,
stock_market_7,
judge_6,
religion_6,
marriage_2,
war_2,
office_12,
service_4,
service_15,
president_11,
marketing_16,
party_14,
credit_8,
rich_5,
stocks_8,
service_14,
finance_19,
loss_14,
investment_11,
investment_19,
buy_4,
act_17,
movement_17,
act_11,
service_12,
consume_13,
missouri_17,
rights_12,
project_13,
environment_5,
debt_1,
case_16,
products_5,
case_13,
social_8,
home_2,
served_20,
court_11,
invest_12,
marriage_19,
marketing_10,
financial_markets_8,
party_12,
freedom_8,
housing_11,
president_15,
technology_10,
stock market,
legal,
environment_3,
court_1,
president_16,
technology_19,
services_2,
act_2,
service_16,
consume_12,
water_3,
credit_18,
energy_11,
tourism_9,
economic_9,
default_16,
health_2,
freedom_10,
blacklist,
development,
car_9,
court_18,
world_16,
conflict,
money_17,
washington_19,
cancer_8,
fun_19,
judge_3,
dividend,
environment_19,
vermont,
finance_1,
home_16,
finance_18,
return_17,
union_7,
security_7,
college_6,
environment_7,
community_5,
president,
lifestyle_17,
restaurant_6,
ore_4,
pennsylvania,
environment_10,
cancer_11,
seats_19,
return_8,
economic_5,
office_9,
default_18,
market_11,
committee_2,
tennessee_4,
union_12,
money_13,
opportunity_8,
case_8,
banking_14,
crisis_20,
restaurant_15,
media_15,
union_18,
project,
party_3,
train_15,
health_14,
return_3,
loss_19,
default,
fun_3,
health_11,
global_12,
DOW_JONES_5,
