feature,feature_score
unemployment_6,-12.748973881918648
secretary_9,-13.601163068527606
fed_9,-14.07786229700255
fed_20,-14.805303253291683
fed_14,-14.91124065315536
investment_9,-14.959588981267899
financial_9,-14.982759862625329
services_9,-15.069445267535134
federal_9,-15.07974168795973
republican_5,-15.082020321451111
inc_9,-15.164752291745861
investment_14,-15.233957768128437
office_9,-15.313909712123708
companies_9,-15.358809315577926
federal_14,-15.419916366383982
financial_14,-15.470492388224582
management_9,-15.524298042592983
corporation_14,-15.586323759572617
marketing_9,-15.602581847611495
financial_20,-15.618744308833413
service_9,-15.659553588886968
services_14,-15.809709148963915
inc_20,-15.836579191919222
services_20,-15.844119697693662
court_9,-15.854937696202086
security_9,-15.890006847203654
management_14,-15.997516954492747
service_20,-16.02407552232733
health_5,-16.182240297903775
corporation_9,-16.20865493637522
federal_20,-16.237456561162425
inc_14,-16.275282413388485
district_9,-16.31059212787248
business_20,-16.312509775425898
management_20,-16.313882734058428
district_14,-16.356492503977897
security_14,-16.3666703696092
companies_20,-16.38227196038692
health_9,-16.410845299571484
court_14,-16.42701433891301
secretary_14,-16.449045982924183
fond_9,-16.48409666202604
business_9,-16.485867231189747
office_20,-16.501847563815808
court_20,-16.54365411185409
committee_3,-16.566473893252684
service_14,-16.60534966971281
judge_1,-16.6136746474662
community_9,-16.61820345200179
development_20,-16.70946252336273
missouri_9,-16.734275068477253
office_14,-16.778772986688736
derivatives_2,-16.800600207817602
business_14,-16.823642169531418
security_20,-16.855785147440148
illinois_9,-16.91686512832282
firm_7,-16.936782564852205
firm_4,-16.969661789655127
committee_14,-16.982013650521278
government_9,-17.006510992678038
companies_14,-17.012818164789714
judge_5,-17.01571678984234
corporation_20,-17.024312276346826
district_20,-17.062965361171596
development_9,-17.100414285672876
georgia_9,-17.13815839545697
missouri_1,-17.160794024180614
law_9,-17.17195316487811
unemployment_4,-17.172878882698498
cancer_9,-17.189568702710915
technology_9,-17.229152424724155
social_9,-17.24701996185994
secretary_20,-17.258621842391925
judge_9,-17.268498608806873
illinois_14,-17.29714555566293
district_11,-17.298298128776846
council_14,-17.310563941804574
train_9,-17.338786386342193
trader_7,-17.364089809604767
firm_20,-17.38491028686166
union_9,-17.41483925987942
train_10,-17.441920143273492
firm_16,-17.45029669916392
trader_5,-17.453897442734025
missouri_14,-17.52372204003122
york_9,-17.532194098742714
college_20,-17.554726734141894
marketing_14,-17.566646858535698
community_14,-17.59368332710938
carolina_5,-17.618249369955077
seats_20,-17.64868241888346
unemployment_7,-17.66144382307212
environment_13,-17.714515154471737
restaurant_6,-17.725296202163147
housing_9,-17.728933676322512
community_20,-17.736266198582577
democratic_9,-17.73858749249594
health_14,-17.7444280926844
revenue_9,-17.745614545389127
environment_18,-17.752466741161598
council_20,-17.8006520384963
products_9,-17.818798440871554
college_10,-17.838059491844653
committee_20,-17.874092128427577
labor_6,-17.884983800002924
sell_9,-17.89158847813983
illinois_20,-17.892175331512465
global_20,-17.898352577839496
kentucky_2,-17.90026839883459
project_8,-17.90124359960988
ltd_3,-17.904867647376975
profit_9,-17.90650858582813
washington_14,-17.912740454610994
environment_12,-17.92583850233772
firm_14,-17.92828592607194
environment_16,-17.92959137544324
wisconsin_14,-17.941619998072124
government_20,-17.9416713564927
judge_14,-17.948273251996927
sell_13,-17.95118008548874
house_4,-17.954144675578547
train_14,-17.959820298475094
social_14,-17.98464673423623
culture_1,-17.992317041215667
virginia_9,-17.998125675951215
texas_9,-18.004177290264256
home_5,-18.027930410989008
missouri_12,-18.042162822190303
trader_14,-18.0446370899324
investment_17,-18.050342875614557
default_3,-18.05689500792363
housing_14,-18.06904515181928
union_20,-18.069940333628757
health_20,-18.0787750531792
law_14,-18.106631556433193
democratic_13,-18.114976336848038
labor_9,-18.124179586174634
housing_20,-18.133965027474225
marketing_20,-18.135444883703066
environment_20,-18.13830294995285
housing_2,-18.14450017117914
democratic_16,-18.146344015504923
revenue_14,-18.167315925618766
judge_20,-18.176803089977234
democratic_17,-18.202446787297227
restaurant_8,-18.20341146672838
washington_9,-18.2107421162288
law_20,-18.217484540793258
legal_9,-18.21817568391926
political_5,-18.23287472098333
ohio_9,-18.24879362627715
ltd_9,-18.26953882553671
train_2,-18.29028792249821
act_9,-18.290787120290254
energy_9,-18.3082102962219
culture_3,-18.318921681899674
global_14,-18.326142038503516
tennessee_9,-18.329999912847786
happy_3,-18.336021048890085
wisconsin_9,-18.33760030400423
ltd_12,-18.338624165802965
housing_5,-18.33963027176677
bank_11,-18.34474594296959
project_6,-18.367853157725328
ohio_14,-18.37744266406496
unemployment_14,-18.398121094215675
vermont_2,-18.40304068891113
pennsylvania_1,-18.41080605743499
default_9,-18.423729902099087
kentucky_9,-18.427715631037103
kentucky_11,-18.43209939042378
risk_17,-18.438793238766525
trader_20,-18.452139264999786
garden_20,-18.457945876453643
government_14,-18.48630285248966
investment_20,-18.48633904056593
rights_3,-18.490097077819424
ring_1,-18.49067906843799
car_3,-18.49636088372511
kentucky_10,-18.51348823632735
ohio_20,-18.518953030366355
rights_5,-18.52738385633353
president_7,-18.530673499534338
fine_12,-18.531883529784903
president_5,-18.538584278422288
tennessee_5,-18.540739737850988
york_2,-18.540930741802587
risk_14,-18.544037563226603
products_1,-18.565177028903804
happy_7,-18.57130777719835
social_20,-18.58086407874446
crash_6,-18.58852763042762
tennessee_6,-18.59258392100067
economic_9,-18.60506326920629
revenue_20,-18.61444924698743
vermont_4,-18.616181232726852
kentucky_14,-18.618550043347508
crash_9,-18.629537652207425
happy_8,-18.633024354452168
project_10,-18.648412066081658
development_14,-18.661523373910207
sell_20,-18.671038462233255
cash_3,-18.680414188593318
unemployment_18,-18.684575143024656
act_14,-18.68473713467845
fun_9,-18.698271783766
happy_9,-18.715630459930008
project_2,-18.717955744099562
bonds_6,-18.71801916881839
texas_14,-18.721060222648063
texas_20,-18.722651055557968
carolina_7,-18.72708169399922
police_2,-18.729329353556164
risk_20,-18.73180722314285
energy_20,-18.733614051416577
restaurant_13,-18.737510361104462
democratic_20,-18.740380613242845
tennessee_11,-18.75089627989059
political_14,-18.759691228365295
car_9,-18.76315718758227
legal_14,-18.768455889505407
missouri_6,-18.775469327310812
banking_3,-18.781006484396237
global_5,-18.783311558329896
secretary_2,-18.790093272693476
labor_3,-18.796815487581696
home_3,-18.799058962998206
profit_14,-18.800340240471137
secretary_4,-18.80521620814792
carolina_2,-18.805669840549296
society_14,-18.812891593163066
buy_20,-18.817620617274464
industry_9,-18.826333334641546
president_9,-18.829274121442328
energy_14,-18.8295499425367
kitchen_1,-18.835440800584838
william_2,-18.835690529462248
virginia_14,-18.8365076898534
buy_9,-18.836771671034295
georgia_20,-18.839204057040572
gold_8,-18.839415666942067
security_3,-18.847560846577498
finance_3,-18.853356625431314
money_2,-18.86569256641419
buy_14,-18.86641946216313
vermont_10,-18.871163300352045
default_20,-18.88104686907446
kentucky_16,-18.883566257051207
kitchen_3,-18.884791944476135
media_2,-18.886956786597985
wisconsin_7,-18.894273947091794
ring_3,-18.897300434318023
cancer_4,-18.89857032649513
products_4,-18.900901458146972
cancer_3,-18.90354252292555
house_9,-18.908359280541397
products_5,-18.911231992599735
companies_4,-18.911432861419076
technology_14,-18.912497175514428
pennsylvania_9,-18.91483162125481
invest_1,-18.920582221015927
missouri_20,-18.923055711791594
labor_7,-18.926585033237917
car_1,-18.9268054770122
missouri_8,-18.933153343877436
arts_2,-18.933385918585508
cash_1,-18.934768694276624
bonds_9,-18.940133411320417
chance_1,-18.943906798238384
law_3,-18.94496491741305
tennessee_13,-18.95051492318884
lifestyle_1,-18.953134532145363
founded_1,-18.955633064601443
earnings_1,-18.95681388648472
garden_2,-18.957205068207312
tourism_1,-18.959749998485485
gold_9,-18.963487168503644
crash_14,-18.96447325330268
inflation_2,-18.96478387323855
gains_1,-18.965054242427236
rare_earths_1,-18.965156699550857
carolina_9,-18.965299473768333
short_selling_1,-18.96571399274257
travel_1,-18.967373092933407
return_1,-18.967618449202323
companies_3,-18.968177326237136
politics_1,-18.968342940667
financial_markets_1,-18.968528302559534
case_1,-18.968782226958417
water_3,-18.969192345717644
pennsylvania_10,-18.96931015463961
party_1,-18.970457568580752
freedom_1,-18.97080341281097
success_1,-18.972540743082995
million_1,-18.972952479143352
growth_3,-18.976290802032022
earnings_2,-18.979076564516937
growth_1,-18.98275393196445
banking_4,-18.98300453667406
food_1,-18.98325806766779
unemployment_10,-18.986419924545523
economy_1,-18.9901741275186
water_2,-18.992837445356415
conflict_1,-18.993192091787044
blacklist_1,-18.993316409862143
fine_1,-18.996478758519146
rich_1,-18.999001895810913
members_1,-19.000386987182857
gain_1,-19.002342344545408
market_1,-19.00471024892959
oil_1,-19.004957903119884
missouri_10,-19.006203150016095
votes_1,-19.006435086221188
marriage_1,-19.00652316174832
products_14,-19.01010500052491
project_14,-19.01284899470394
consumption_1,-19.013438501057813
opportunity_1,-19.013738148981822
crisis_1,-19.01651414490142
market_2,-19.016676971773443
labor_1,-19.017843131430066
bubble_1,-19.017862534457688
project_7,-19.02017895619381
carolina_10,-19.022226614136716
inflation_1,-19.02602404041489
vermont_9,-19.029249138824078
short_sell_1,-19.03170357515749
arts_1,-19.0319615218011
labor_14,-19.032483245917522
markets_1,-19.033124999252422
movement_1,-19.040267163152848
water_5,-19.040801327149286
success_2,-19.042174543602997
greed_1,-19.04400403034111
consume_1,-19.044379981698793
served_1,-19.044534597882837
travel_2,-19.04484555357049
opportunity_2,-19.045531677197957
gain_2,-19.04954285292642
rare_earths_2,-19.050936881386153
BUY_AND_HOLD_1,-19.05093688138616
freedom_2,-19.05145484428514
vermont_1,-19.052087818065168
gains_2,-19.0528572558033
short_selling_2,-19.052866511029904
founded_2,-19.054687621047073
marriage_2,-19.056361415520513
fond_1,-19.05711159591031
tourism_2,-19.05950876599254
leverage_1,-19.059714061355965
politics_2,-19.05982876523805
growth_2,-19.060606922593927
credit_9,-19.06423980574943
present_2,-19.06438784676584
water_1,-19.06500326828896
ministry_1,-19.065786087843467
party_2,-19.06717023724664
election_1,-19.06737430493433
oil_2,-19.06790213229166
rich_2,-19.06791543500981
religion_1,-19.070039611974586
justice_2,-19.071549681792757
stats_1,-19.07529366102782
war_9,-19.075750821603826
forex_2,-19.076293050770396
profit_20,-19.07696251097389
financial_markets_2,-19.077732739341617
consume_2,-19.078005344781936
kitchen_7,-19.07999367394416
headlines_1,-19.081683252118776
consumption_2,-19.083586956791763
short_sell_2,-19.083927545885324
home_10,-19.08570285227619
bonds_2,-19.087344560774408
justice_1,-19.087559968523028
minister_2,-19.088203370527335
vermont_11,-19.089936238317566
house_2,-19.09030297448957
food_2,-19.09195593703021
car_14,-19.09418447312601
bubble_2,-19.094300740398534
greed_2,-19.096770615457324
members_2,-19.098273372030928
act_5,-19.098882851347447
ministry_2,-19.10078915828336
carolina_1,-19.101893642006655
conflict_2,-19.101916761200066
massachusetts_9,-19.102644060329375
blacklist_2,-19.104716116723864
BUY_AND_HOLD_2,-19.105535201097528
earnings_3,-19.10631357389667
votes_2,-19.10652543998674
leverage_2,-19.108269010326723
william_1,-19.10954159211389
bonds_1,-19.11091630478444
debt_1,-19.114296464934693
return_2,-19.116970901431145
tennessee_14,-19.119624428625162
lifestyle_3,-19.120678402408554
founded_3,-19.120935194119784
restaurant_11,-19.121639436421397
travel_3,-19.122949641093026
politics_3,-19.123394776496188
freedom_3,-19.12344823852664
opportunity_3,-19.123489968780337
case_3,-19.123517948002704
short_selling_3,-19.124302461132267
rare_earths_3,-19.124572485605043
success_3,-19.126082779234117
party_3,-19.126756226182994
holiday_6,-19.130092950873486
crisis_3,-19.130267929057855
movement_2,-19.13030704840673
lifestyle_2,-19.130699005001095
gain_3,-19.131391285798575
marriage_3,-19.131549053929007
case_2,-19.132121307267845
fun_2,-19.132296325562592
happy_1,-19.13444142791068
gains_3,-19.134904565710137
georgia_14,-19.138863677282917
holiday_7,-19.138891988399
bubble_3,-19.139439717462974
market_3,-19.139794342595444
tourism_3,-19.140800359111378
media_1,-19.14131754321023
chance_2,-19.142416681838885
loss_3,-19.14383148325616
crisis_2,-19.14412580237514
oil_9,-19.144483266611893
world_6,-19.145017944995963
markets_2,-19.148001538306545
money_7,-19.148805780736286
water_4,-19.149775145190944
ring_9,-19.15109649067174
metals_2,-19.151415226317443
invest_3,-19.152194203293707
media_7,-19.152444640779553
debt_2,-19.153292541082113
inflation_3,-19.153439511671216
votes_3,-19.1538740384005
votes_5,-19.15503171693183
ore_1,-19.15548364619015
earnings_5,-19.15788163263041
arts_3,-19.159700350995
portfolio_1,-19.16036627797849
holiday_1,-19.161198391132384
growth_9,-19.16463885234319
unemployment_1,-19.164671801719464
fine_2,-19.16536633028813
rich_3,-19.16553095163146
members_3,-19.165717002457022
consume_3,-19.16667426643842
gold_12,-19.167175810759936
chance_5,-19.16832751481891
money_3,-19.168379374264262
return_3,-19.1696297795796
banking_13,-19.17263625392598
movie_3,-19.172702682005927
union_14,-19.17553677561505
president_13,-19.177243864886
markets_3,-19.177637676546205
chance_3,-19.177847215742716
cash_2,-19.178256386497978
returns_1,-19.180616747205935
financial_markets_3,-19.181010754156457
elected_1,-19.18262296908149
minister_1,-19.183297938475242
money_8,-19.18455794165961
kitchen_5,-19.18490778130603
holiday_2,-19.18526053366456
invest_5,-19.185499143027954
election_2,-19.186043033340784
portfolio_2,-19.187586616042868
car_4,-19.18901554496525
elections_1,-19.18952820847359
leverage_3,-19.190463289683855
loss_5,-19.19104357157147
vermont_3,-19.191313240021223
ministry_3,-19.192437986633273
secretary_3,-19.19260817438987
headlines_2,-19.192774828826764
house_1,-19.192861573898035
blacklist_3,-19.193739674192013
police_9,-19.194505489970997
arts_7,-19.195925912922796
rare_earths_5,-19.196413690318877
freedom_5,-19.19734383724147
party_5,-19.197376584022994
color_13,-19.19746605424859
return_5,-19.197739670360864
travel_5,-19.19788990490354
war_2,-19.198116565412338
politics_5,-19.19975515220156
case_5,-19.19988955646347
success_5,-19.2004074075318
default_16,-19.201029139066392
short_selling_5,-19.20166742515881
BUY_AND_HOLD_3,-19.202044099210077
consumption_3,-19.203559725702725
opportunity_5,-19.204451352832823
gains_5,-19.206359430524543
greed_3,-19.208964165824355
lifestyle_5,-19.209630815108767
rights_14,-19.20992270730366
justice_3,-19.210301147059887
rich_5,-19.21128868205126
ltd_20,-19.21348149358224
growth_5,-19.213608943414616
founded_5,-19.21407834185526
gain_5,-19.2156569229502
consume_5,-19.215942058168476
carolina_3,-19.217056483280306
economics_2,-19.21712616516964
ore_2,-19.21918471477579
college_7,-19.21933552909776
pennsylvania_14,-19.219366006767537
war_7,-19.219669143013803
conflict_5,-19.221673835159887
council_9,-19.221867464357107
war_3,-19.222637978897794
short_sell_3,-19.223655225492944
blacklist_5,-19.225336134044646
movement_3,-19.226011043551715
fond_3,-19.227467937178478
stats_2,-19.22760287842933
elected_2,-19.22794741415005
debt_3,-19.228770661813392
financial_markets_5,-19.229543075056892
kentucky_19,-19.2331805717048
served_2,-19.234155563747375
color_14,-19.236093505926775
marriage_4,-19.236262965356126
gold_13,-19.240966886802923
loss_1,-19.241251675860795
cancer_20,-19.243641159192336
global_9,-19.24429467375549
fine_3,-19.244804686556577
movement_5,-19.247003536392413
fond_2,-19.24765372635275
headlines_3,-19.247994961655074
cash_4,-19.248399461273625
water_7,-19.248444357201556
derivatives_5,-19.249991230114794
money_5,-19.250010834900458
cash_5,-19.250687227775455
bubble_5,-19.25250634748925
happy_4,-19.253147929249753
ring_13,-19.255278190380505
members_5,-19.255582442187336
gains_4,-19.2558567663773
return_4,-19.2558927379695
metals_3,-19.256559779826404
media_3,-19.257817967317227
portfolio_3,-19.258548654210436
inflation_5,-19.258595879062085
freedom_4,-19.259078379581332
returns_2,-19.25978479432401
consumption_4,-19.260886114534365
financial_markets_4,-19.261560875206897
earnings_7,-19.2617947834518
rare_earths_4,-19.262244053846548
rich_4,-19.262248334592805
economics_1,-19.262711421090813
tennessee_2,-19.263012697830522
justice_5,-19.264243184166666
short_selling_4,-19.26483416067973
travel_4,-19.264938591109264
founded_4,-19.26647887795061
money_4,-19.266633446929156
success_4,-19.266900486411544
metals_1,-19.26722001743054
gain_4,-19.26776881888498
elected_3,-19.27013710588549
market_4,-19.270167027004273
political_2,-19.2723749123543
forex_7,-19.273081164508277
union_15,-19.273162372264427
war_1,-19.27339464432506
tourism_4,-19.27550016060207
opportunity_4,-19.276206844962175
lifestyle_4,-19.276374895022407
stats_3,-19.278412987447183
money_9,-19.278566234907537
bubble_4,-19.2790551556771
bonds_3,-19.279251154477834
loss_4,-19.279357473333427
greed_5,-19.281109473742426
water_6,-19.28125498670213
minister_5,-19.283279231827684
economic_2,-19.283916320559268
crash_1,-19.28586440237792
oil_4,-19.286667884388073
party_4,-19.287729230341633
BUY_AND_HOLD_5,-19.28826603302338
ministry_5,-19.289083619508574
conflict_4,-19.289084644117057
voters_1,-19.28939396829717
buy_3,-19.291099338533073
debt_5,-19.291825151480822
consumption_5,-19.292205510728344
food_7,-19.29259508801989
banking_12,-19.292942067818316
loss_7,-19.293825064277932
growth_4,-19.293921975158828
blacklist_4,-19.295218456422432
project_11,-19.296431120143644
washington_20,-19.29661884489285
justice_4,-19.299062306165293
invest_4,-19.299533236847857
movement_4,-19.30007112150043
government_5,-19.3004202467694
gain_7,-19.30112177506909
rare_earths_7,-19.30175312439898
carolina_14,-19.30182497378769
short_selling_7,-19.301971264061045
political_1,-19.30256652043847
party_7,-19.303224611921987
fond_5,-19.303865339226654
gains_7,-19.304076425728518
served_4,-19.304566926573127
bubble_7,-19.305539238575058
chance_7,-19.305835115944358
served_3,-19.306243742225387
politics_7,-19.306805308585066
fun_14,-19.30687418175384
earnings_6,-19.30687765437001
arts_4,-19.306940129597386
tourism_7,-19.306944379017185
growth_7,-19.30723082501281
members_4,-19.30736188062918
william_9,-19.30818091574577
success_7,-19.308261581296225
marriage_7,-19.30902651879315
gold_14,-19.30904272151721
return_7,-19.309138080291376
short_sell_5,-19.31053301656266
economy_7,-19.310646493438572
act_20,-19.31077268048718
fine_4,-19.311829209653496
food_3,-19.311886971666834
case_7,-19.31228032146275
short_sell_4,-19.315846323185433
holiday_9,-19.316122304307157
conflict_7,-19.316610581821504
council_13,-19.31742634753879
inflation_7,-19.318264591451715
crisis_4,-19.31829426472877
tennessee_1,-19.319121188708955
bonds_5,-19.321105882190654
oil_7,-19.321458473277207
greed_4,-19.322959121086107
return_6,-19.32368008859014
color_1,-19.325423073630716
fun_5,-19.325487098857984
carolina_4,-19.325829717147
present_7,-19.32628996653685
industry_14,-19.327338658888962
million_6,-19.328506579939642
rights_2,-19.32903772501034
present_4,-19.329146307793746
economic_1,-19.329215515634047
religion_4,-19.331408519296055
money_6,-19.331979307912814
financial_markets_7,-19.333120837328522
marriage_9,-19.333186098180285
gains_6,-19.333513326539695
minister_4,-19.333547614474007
chance_4,-19.33400642549425
rare_earths_6,-19.33538693592136
forex_6,-19.335499705615938
consume_4,-19.336101199622867
blacklist_7,-19.336274374913998
lifestyle_7,-19.336523138214055
financial_markets_6,-19.336585335563473
virginia_8,-19.336775517451436
car_12,-19.33689515194691
justice_9,-19.337182684471628
short_selling_6,-19.33752943907633
short_sell_7,-19.337796202619344
leverage_4,-19.33785611017594
ministry_4,-19.337869192685854
market_5,-19.338751766858593
return_10,-19.33905944035586
tourism_6,-19.33938757609169
war_4,-19.341758603365534
invest_6,-19.34232081261782
returns_3,-19.343751746719057
politics_6,-19.344120749005164
money_1,-19.344270958087165
served_5,-19.344395197301427
earnings_8,-19.345221760304067
members_7,-19.345382802724007
movement_7,-19.34539152106574
present_6,-19.345845959436396
consume_7,-19.346042871056806
derivatives_3,-19.347299083317964
media_5,-19.34751460703639
headlines_5,-19.3482079155894
votes_7,-19.348273945201537
ore_7,-19.349048899595847
restaurant_1,-19.34959237705386
gain_6,-19.349770113901553
markets_4,-19.350065805279606
unemployment_12,-19.350289928459144
elections_2,-19.350503918586828
debt_7,-19.350743756698403
elected_5,-19.35136734900779
ministry_7,-19.351449188611607
rich_6,-19.351844692632003
crash_18,-19.352431810744914
stats_5,-19.35250593363659
travel_7,-19.352576520553292
returns_5,-19.35270352571215
industry_1,-19.353356798897973
happy_5,-19.353444582485352
opportunity_7,-19.353569788992374
house_6,-19.35394966066892
BUY_AND_HOLD_4,-19.354467498152754
hedge_2,-19.355773030753607
blacklist_6,-19.356749616084105
cash_13,-19.356792287012816
economics_3,-19.357025907922015
fun_7,-19.358594004714128
inflation_4,-19.35910511036755
lifestyle_6,-19.36084766891919
forex_8,-19.36089113007125
founded_7,-19.361690753512196
votes_4,-19.361729269664465
election_5,-19.361834689625546
religion_3,-19.361967328806426
movement_6,-19.362755581734454
food_5,-19.36276395983827
markets_7,-19.363822846911454
william_4,-19.3654444691574
holiday_5,-19.36564948559144
bonds_12,-19.36581712212554
religion_5,-19.366127286330666
ore_3,-19.366556146074746
votes_6,-19.367372187880612
bubble_6,-19.368050744418916
credit_20,-19.36858086058171
cash_7,-19.369337526673412
cash_6,-19.369388386247202
kentucky_20,-19.369578877113817
marriage_6,-19.370224030643676
voters_2,-19.370469024651552
crisis_6,-19.370924735172984
