feature,feature_score
elected_3,-0.0018997623846087387
firm_16,-0.00211199268715172
kentucky_3,-0.002502049477578083
investment_4,-0.0028442303121870792
nasdaq_8,-0.0029383990957217556
cancer_3,-0.0032630572128967026
law_11,-0.0034135975621488956
case_11,-0.003650675137023085
oil_16,-0.0037379109114195953
legal_4,-0.0037536722529832867
government_16,-0.003756414153129528
marketing_16,-0.0037786163617177237
companies_11,-0.0038305459715047173
leverage_20,-0.004028194713440158
happy_10,-0.004354495144331061
investment_16,-0.004472945277464913
consumption_7,-0.00448162273717565
greed_20,-0.004644001884573567
corporation_11,-0.004756027723835143
union_9,-0.004757152551967625
law_16,-0.004783590459277365
technology_3,-0.004795836712363766
sell_16,-0.0048618017664552315
home_16,-0.004866421230840379
garden_8,-0.004886550897093023
security_11,-0.004903745034211648
republican_16,-0.004981088415083446
opportunity_9,-0.004987442565350486
nyse_16,-0.004996948111084176
ring_8,-0.00500096924699478
marketing_8,-0.005006143655831519
washington_11,-0.005055196384287308
vermont_10,-0.00506722150215595
republican_20,-0.005084937707865289
environment_8,-0.005093149681937059
bonds_4,-0.005172529623972211
arts_16,-0.005217559852857478
wisconsin_9,-0.005247785508745828
secretary_8,-0.005255948312560687
security_8,-0.005273251094872955
kitchen_8,-0.005296064431982805
world_10,-0.005315247672417511
home_9,-0.005344815958431925
nyse_20,-0.0053570347833971745
elected_9,-0.005366037272583446
technology_16,-0.00537395695622882
federal_16,-0.0054002314431112804
law_3,-0.0054326114383920435
government_11,-0.005453539677166508
opportunity_11,-0.005455485617543987
senate_8,-0.005485812232031017
labor_16,-0.005489293482119306
massachusetts_20,-0.005495665091776436
georgia_9,-0.0055055508891768135
crash_9,-0.005522588288268526
district_9,-0.005533907332865584
georgia_16,-0.005547628868961296
industry_11,-0.005570083383420021
tennessee_4,-0.005606924379526812
economic_20,-0.0056256905099851375
virginia_9,-0.005735087755603474
market_16,-0.0057624151047168445
federal_9,-0.005764338036658901
fine_8,-0.005767531095024014
financial_16,-0.005799924310445204
corporation_16,-0.005875645498956051
union_16,-0.005905471443968779
federal_11,-0.005911410038420462
elections_20,-0.005913213678744289
virginia_3,-0.0059214528910158885
conflict_9,-0.0059226066543946135
industry_3,-0.005925299185130762
massachusetts_9,-0.005943677651752455
election_20,-0.005956425234222152
revenue_9,-0.005963623534910001
technology_11,-0.005965800776081243
financial_11,-0.005984909851391396
democratic_20,-0.005990315171354332
missouri_9,-0.005996324692919819
business_16,-0.006001268620847067
inflation_19,-0.006002285847484479
invest_19,-0.0060231906462783645
media_13,-0.006033644792733428
cancer_16,-0.006037621759324185
consume_9,-0.00604348060955231
committee_11,-0.00604637001106687
nyse_4,-0.006059308417074205
technology_18,-0.006110213078775883
money_9,-0.006131304485761069
holiday_16,-0.0061333715029749936
representatives_9,-0.006135165290106803
washington_3,-0.0061381719288081
transaction_3,-0.006146825360697039
money_14,-0.006148598104961734
secretary_3,-0.006153677124736312
ring_9,-0.006177731306274836
seats_7,-0.006190773575414444
minister_7,-0.0062027674031532865
restaurant_5,-0.006208196592065329
banking_8,-0.006221038321393801
society_16,-0.006242361740613256
inc_8,-0.00624515671177035
management_11,-0.006254264441467483
markets_2,-0.006270240075666389
crisis_17,-0.0062947101294453574
wisconsin_16,-0.006296614498263686
credit_16,-0.006299091941628721
development_16,-0.006325391083088894
kentucky_20,-0.006330820177958008
food_8,-0.0063335357804276795
