feature,feature_score
short_selling_6,-0.013379517261026663
cash_6,-0.013587770878057247
home_2,-0.015032103876562819
short_selling_5,-0.015387928652866223
chance_2,-0.016164096473126312
ltd_5,-0.01624157556445367
inflation_2,-0.017666907433310942
home_17,-0.017687336069326088
ltd_2,-0.017790610305188137
train_12,-0.018214506339352666
return_2,-0.01870883687615117
million_4,-0.01872686502610843
million_10,-0.019088497349623413
ore_20,-0.019356491726873194
virginia_12,-0.0196270955969575
ministry_14,-0.019926532750478176
nasdaq_15,-0.02003628063139009
war_2,-0.020116391652572306
restaurant_1,-0.020447950556983608
york_16,-0.02055589340058874
restaurant_20,-0.020892487965704087
ltd_18,-0.02101968345520653
missouri_1,-0.021106399480326422
investment_6,-0.02118718767641541
forex_8,-0.02119717470918441
texas_18,-0.02131892915591871
georgia_2,-0.021507526999492498
home_6,-0.02175041018038104
inflation_13,-0.02185225380127569
transaction_18,-0.021921519568049507
growth_11,-0.021994881230719843
massachusetts_2,-0.022035953271366114
industry_7,-0.0220932522519921
inc_2,-0.0221110143325552
portfolio_1,-0.022142381144855228
fed_12,-0.022300513809797695
nyse_6,-0.022565602565866573
home_19,-0.02257497897423193
finance_2,-0.02262282384603733
color_5,-0.022641668202395347
washington_1,-0.022673246651338786
companies_2,-0.022711927844368686
kitchen_2,-0.022736625231287545
investment_12,-0.022819115637243037
chance_18,-0.02281931145581819
corporation_2,-0.022835414871025604
committee_11,-0.022840504540195462
ore_15,-0.023174008277769453
justice_16,-0.023232496729446404
forex_1,-0.023252057864689736
fed_2,-0.02328595653243113
kentucky_5,-0.023370403847714695
party_7,-0.023531544107036662
bonds_7,-0.023540953559072774
revenue_16,-0.02355706083550919
nyse_1,-0.023711046448565632
law_12,-0.02373164331480253
pennsylvania_9,-0.023744888892685046
transaction_1,-0.023763596133665344
nasdaq_6,-0.023771861134430926
kitchen_7,-0.023805622925291647
portfolio_9,-0.0238435040708286
court_2,-0.02390239703268886
ltd_16,-0.023913276089804557
democratic_7,-0.02406747412304744
legal_2,-0.02410156127812324
headlines_4,-0.024113002635416537
market_6,-0.02425784733783596
restaurant_19,-0.02428006477158362
seats_2,-0.02436854338399579
trader_9,-0.024436430943488796
hedge_3,-0.02445033813368074
revenue_12,-0.02446865338318218
committee_1,-0.024475265134803314
investment_14,-0.02448415319071533
freedom_12,-0.02461046812263299
founded_2,-0.024709456375698814
returns_16,-0.02476718170997334
economics_11,-0.02479696151858348
stocks_15,-0.024882815601130103
labor_1,-0.024986524546065737
cancer_5,-0.02503759233848273
georgia_12,-0.02504029277296862
economic_2,-0.02508858749996188
union_16,-0.02511362192249438
security_2,-0.025175388474173575
york_18,-0.02518801690668444
returns_1,-0.02520762475980549
loss_19,-0.02521014144719309
environment_16,-0.025224710886806313
chance_3,-0.025231607649086607
metals_4,-0.025277904770644864
investment_4,-0.025283810858302426
global_12,-0.02529584198089385
firm_3,-0.02530141635192762
ltd_12,-0.02530725727575487
headlines_3,-0.02533614505862767
restaurant_11,-0.025392894179547022
college_11,-0.025393320161376964
success_2,-0.025445100726885484
justice_1,-0.025471476975281383
management_2,-0.025501518570978154
investment_2,-0.025524657295565256
illinois_3,-0.025530437181022613
DOW_JONES_8,-0.02554124370762716
ohio_18,-0.025560898197109716
federal_2,-0.025582464913841065
virginia_2,-0.02558908093436423
police_3,-0.02559689525276867
democratic_16,-0.025637173045583262
short_selling_14,-0.025659694845225567
chance_11,-0.025686964286307946
business_2,-0.025742202166457083
democratic_3,-0.025833473003086915
district_12,-0.025896617675988987
home_8,-0.025900058945191075
revenue_18,-0.025919515453301865
served_1,-0.02593395285571316
environment_5,-0.02600266788420482
restaurant_7,-0.026009101670044887
ltd_6,-0.026084298092029567
million_13,-0.02611817512699006
politics_1,-0.026149642917869587
global_2,-0.026232100732263564
stock_market_11,-0.026236290147229745
marketing_12,-0.026260299901460615
restaurant_5,-0.02627193084388444
energy_2,-0.026277088857672548
legal_1,-0.0262939546360335
investment_18,-0.026308071818106925
justice_3,-0.026314586802926088
party_4,-0.026317302158678845
ore_2,-0.026347585885212042
elected_2,-0.026357417785629722
vermont_2,-0.026361307472013908
services_2,-0.02637719068126674
risk_2,-0.02639436426345878
trader_1,-0.026398401616662757
holiday_13,-0.026401000102973214
car_6,-0.026426589784519082
media_20,-0.02646280742920648
revenue_2,-0.026474261259775523
gains_1,-0.026502331444846816
earnings_20,-0.026504528835464124
cancer_2,-0.02654993076666372
corporation_15,-0.026602519946462167
law_2,-0.0266265717485074
bonds_2,-0.02664369416186605
texas_2,-0.02665689426039892
york_5,-0.026664901711177524
headlines_2,-0.026670131869929815
ministry_1,-0.026689683319194392
credit_2,-0.02669171298117907
washington_6,-0.02670411411717275
leverage_9,-0.026707786798754275
movie_12,-0.026711335583246454
served_6,-0.026742108746214032
financial_2,-0.02674395765493236
community_12,-0.0267746537405398
pennsylvania_12,-0.02680216172995149
act_12,-0.026821852343451004
texas_10,-0.026840677375020806
inflation_6,-0.026845917965983034
nyse_18,-0.02685557796480207
office_2,-0.026872096563376524
votes_5,-0.026892170616051137
derivatives_2,-0.02690368508891534
services_12,-0.02690577591683314
cancer_12,-0.02690961650050423
fond_3,-0.02692451418993471
risk_1,-0.026964800121953746
revenue_4,-0.026965830666904677
court_12,-0.026977957494821726
risk_7,-0.026987958993567297
secretary_6,-0.027002287739430496
vermont_13,-0.0270083879531287
carolina_2,-0.02701826370618219
chance_6,-0.02703104028751082
forex_6,-0.027052764363541558
technology_5,-0.027100840324556175
development_2,-0.027117827220817327
society_3,-0.027127418828237437
politics_3,-0.027151711733022978
financial_12,-0.027195753081713493
secretary_1,-0.02721396235746143
freedom_18,-0.027250045951575586
political_3,-0.027250600264160374
derivatives_1,-0.027253177357913484
arts_3,-0.027309856519871036
served_3,-0.027317909078486947
district_2,-0.02734564293563726
gain_10,-0.02734886582177145
movement_8,-0.027358331244892998
crisis_2,-0.027370975076861905
return_1,-0.027381992320784244
bank_2,-0.027385727213653066
war_1,-0.027398441716581255
bank_18,-0.02743956274159649
police_12,-0.027463331139092228
votes_1,-0.0274762875369599
crisis_5,-0.02748939976205538
financial_markets_1,-0.027507398549603424
short_sell_1,-0.027507398549603424
BUY_AND_HOLD_1,-0.027507398549603424
blacklist_1,-0.027507398549603424
greed_1,-0.027507398549603424
rare_earths_1,-0.027507398549603424
democratic_2,-0.027516496819299973
color_9,-0.02751723722212327
finance_18,-0.027530401158659613
present_4,-0.027530801901001167
sell_6,-0.027542185381776885
washington_2,-0.02758892479724564
tennessee_14,-0.027589478751780038
markets_1,-0.027596121111299145
energy_12,-0.027596701385610566
bonds_5,-0.027618203170581813
fine_2,-0.027625599261791776
market_1,-0.027626704204935737
votes_2,-0.02763086445861951
freedom_5,-0.027639745797053195
seats_17,-0.027663432376509457
technology_2,-0.02767118001919191
police_1,-0.02768167981414149
car_17,-0.027683380948628943
revenue_1,-0.027684872011050077
project_4,-0.027697654658548655
bubble_8,-0.02770180155768598
financial_markets_2,-0.02771827418708963
rare_earths_2,-0.02771827418708963
greed_2,-0.02771827418708963
short_sell_2,-0.02771827418708963
consume_1,-0.02771827418708963
blacklist_2,-0.02771827418708963
BUY_AND_HOLD_2,-0.02771827418708963
unemployment_2,-0.027727847315809972
rights_1,-0.027731417906426303
economic_4,-0.027739456648173788
dividend_9,-0.0277460861553237
loss_2,-0.02774923347480962
secretary_7,-0.02776422942566643
gains_2,-0.027790154966066672
million_8,-0.027804228372167294
bonds_1,-0.0278062106145893
culture_3,-0.027809228190221247
fun_3,-0.02781000228610504
car_16,-0.027833233917480493
community_2,-0.027851836499307624
union_18,-0.027853813698315567
labor_3,-0.027860695618440557
car_11,-0.027880738394200244
society_5,-0.027891038621737696
fond_7,-0.027899731424771736
returns_6,-0.027909650655557238
fond_17,-0.02791103703980753
pennsylvania_2,-0.027911431357659566
fond_1,-0.027913939429498224
companies_1,-0.027916824013738274
freedom_1,-0.027919994863403443
bubble_2,-0.027923270043809678
short_selling_1,-0.02793168474456087
project_1,-0.027945359424290484
forex_2,-0.02795875700916619
conflict_12,-0.027962227661161455
county_12,-0.0279625950382276
rights_3,-0.027971776842169938
virginia_1,-0.027973809932335315
fond_8,-0.027976250863682627
governor_12,-0.02798301404995307
ohio_10,-0.02802949591875843
ore_12,-0.028032710335511024
consume_2,-0.028033692792821287
illinois_2,-0.028038335319442907
industry_12,-0.028038609572377648
police_2,-0.02804341337813252
office_12,-0.028057934267311603
district_1,-0.028069318213622286
legal_12,-0.028083565783464427
present_2,-0.02808668822989313
unemployment_5,-0.02809402424311147
environment_1,-0.028095169313691958
housing_1,-0.028097975106038973
rights_2,-0.028110995291281804
nyse_2,-0.028111927508409205
social_2,-0.028112362198214023
council_1,-0.02812422741587086
fond_2,-0.028136079517840938
oil_9,-0.0281507478444319
stock_market_4,-0.02815142081567623
services_1,-0.028156253002988452
legal_6,-0.028158214930605018
seats_12,-0.02816227256071795
illinois_12,-0.028166340512646104
color_8,-0.028174655913957847
million_14,-0.028192107868591255
unemployment_3,-0.02819286702049386
business_1,-0.028194171296089053
nasdaq_9,-0.028200340649622714
invest_10,-0.028218143844432664
fine_11,-0.028225592422161515
freedom_14,-0.028230976699466104
markets_2,-0.028231737916808775
culture_18,-0.02823278781047107
ceo_4,-0.028244562973064703
law_1,-0.02826293498922865
vermont_6,-0.02826526710521291
voters_10,-0.028270337118904743
minister_6,-0.02827199173708379
gain_13,-0.02828165909583853
corporation_18,-0.028288057350640283
default_4,-0.028296940781406633
stocks_1,-0.02830883532229207
development_1,-0.028312021666725105
secretary_2,-0.028315926452599838
corporation_1,-0.02831616207356582
movement_3,-0.028323765366674268
economy_1,-0.02832868613413191
headlines_5,-0.028345030173875574
environment_2,-0.02835064330812891
million_6,-0.028387765986370717
wisconsin_5,-0.028387979058875377
portfolio_11,-0.02838885332472727
fine_4,-0.028398918876270864
cancer_1,-0.028409010266001643
case_13,-0.0284100263402836
stock_market_2,-0.0284108049055259
profit_9,-0.028417524090177282
credit_18,-0.028420505172805543
home_15,-0.028420525955430764
district_6,-0.028426211872663122
returns_11,-0.02842748371744528
inflation_7,-0.02844914264575047
management_12,-0.028450058615281226
short_selling_15,-0.02847139873489708
profit_6,-0.028486939167728532
hedge_1,-0.028494418887083862
corporation_12,-0.028495415274420434
inc_12,-0.028508038317610153
massachusetts_5,-0.028510969538476517
rich_7,-0.028515901806874532
consumption_2,-0.028517501558439195
gain_1,-0.028525791910590858
color_2,-0.028546590693494835
housing_6,-0.028548725309517086
cancer_15,-0.028549089920184945
travel_6,-0.028562943276499865
representatives_1,-0.02857062916013766
served_5,-0.028578920248729944
seats_4,-0.02858008293818861
industry_2,-0.028585592622946732
markets_7,-0.028600649174241165
returns_2,-0.028610783095268454
illinois_1,-0.028614669293081783
short_selling_2,-0.02861845345706877
act_2,-0.0286241951045636
court_1,-0.02862599716749028
pennsylvania_19,-0.028636461610028995
college_12,-0.02863670367480884
kitchen_15,-0.028666061147297927
fun_11,-0.028668687699669525
ore_14,-0.028669756127591352
world_1,-0.02867377929456969
housing_8,-0.028682707831676722
project_3,-0.028688670597395903
court_3,-0.028722035388306068
justice_2,-0.028728074488300125
ceo_1,-0.028730471248713953
federal_16,-0.028745846870570246
fond_6,-0.028776979491866417
security_1,-0.02877940388464466
voters_2,-0.02878463829651747
culture_4,-0.028790440292771134
ore_3,-0.02880533423687017
minister_7,-0.028805372885940206
marketing_3,-0.028811854544617165
college_2,-0.028825181312314773
markets_9,-0.028827564616766478
federal_3,-0.02886457867440515
gold_10,-0.028878081461864324
marketing_2,-0.028880333692060688
media_5,-0.02888120957660496
government_1,-0.02888547695298784
crisis_3,-0.02888711277072571
culture_2,-0.02888811340948554
inc_3,-0.02889686466464303
gains_9,-0.02890155096230913
travel_3,-0.02890695609164422
gains_4,-0.028918018929141164
tennessee_3,-0.0289286998507299
money_2,-0.02892920465048974
stocks_9,-0.028929674412569484
missouri_2,-0.028947636217803698
forex_5,-0.028962099991047575
earnings_6,-0.028964876299185316
derivatives_3,-0.028967735994336642
washington_9,-0.02897434964016312
portfolio_8,-0.028976119033635374
conflict_8,-0.028978290218489144
nyse_13,-0.028982898945686286
ltd_20,-0.028987972013201024
holiday_19,-0.028988496639434747
project_12,-0.028990312691173914
present_3,-0.028995289630779374
labor_2,-0.02899813753518248
democratic_1,-0.029002224142747623
gains_6,-0.029010292725130293
minister_5,-0.029011872570807885
founded_1,-0.02901750887608743
companies_3,-0.029020225338406848
loss_3,-0.029021010704232842
finance_12,-0.029021299904981212
elected_1,-0.029036032859139294
technology_1,-0.029057207810986595
elections_3,-0.029058155082064597
movie_1,-0.02906902963646483
holiday_8,-0.029072045603394957
invest_14,-0.029072950761494586
stats_1,-0.02907669255687404
greed_3,-0.029086794823338136
financial_markets_3,-0.029086794823338136
rare_earths_3,-0.029086794823338136
short_sell_3,-0.029086794823338136
blacklist_3,-0.029086794823338136
BUY_AND_HOLD_3,-0.029086794823338136
industry_3,-0.029087208027107313
marriage_2,-0.029089942114079826
act_1,-0.029102902101287898
cash_2,-0.029107726511152544
products_4,-0.029110467099410654
headlines_13,-0.029112026944835813
social_3,-0.02911955363345291
development_16,-0.029147437103336938
