feature,feature_score
dow_jones_1,0.00016566112866793769
buy_3,9.410749997895707e-06
dow_jones_2,-0.0005024106149184471
ore_16,-0.0005091087473887646
marriage_16,-0.0006652476495531357
democratic_4,-0.0006925338164595951
leverage_17,-0.0007321119673096455
president_6,-0.0007503286107708673
ore_4,-0.0008018115893938082
bubble_1,-0.0008542180598656079
ore_2,-0.0009122336549920451
returns_4,-0.0009303111736983283
returns_3,-0.0011140013701413487
committee_1,-0.001381082499664421
religion_3,-0.0014406193825720949
college_1,-0.0014663867488352578
president_14,-0.0015211765592590743
labor_7,-0.0015618514782255398
products_2,-0.0016160607539975834
bonds_11,-0.0016266258153635916
representatives_8,-0.0016343945462868436
marketing_10,-0.0017592098239875842
massachusetts_2,-0.0017781101476603389
election_3,-0.0018310930829709803
profit_1,-0.0018314941291561748
gain_5,-0.0018447906952399507
DOW_JONES_2,-0.0018623748937016016
senate_3,-0.0018631124170699121
county_16,-0.0018866937621000667
car_2,-0.00188757439750582
election_16,-0.001895516016907539
success_10,-0.0019360024209425398
opportunity_3,-0.0019466943978091234
gold_1,-0.0019756003363413433
served_1,-0.001987716429668396
political_11,-0.0020089977880622055
business_1,-0.002020860174693406
earnings_10,-0.0020348072896346327
elections_3,-0.0020467520980824495
dividend_1,-0.0020529120943762356
case_12,-0.0020556897467985504
stock_market_2,-0.002075432593561022
security_1,-0.0020793714959010945
happy_6,-0.0021216450136539054
restaurant_4,-0.002132940826132801
movie_3,-0.002147832033341723
religion_1,-0.002149245397697186
management_1,-0.0021593446162099907
judge_1,-0.0021704313870315683
freedom_4,-0.0021896169825799785
conflict_15,-0.002197457083749299
service_2,-0.0022142939847045852
DOW_JONES_1,-0.002243336574982102
president_3,-0.0022447851362997983
corporation_2,-0.0022477161649499646
kitchen_3,-0.002261367504641276
movie_1,-0.002267043698530635
crash_4,-0.0022875725102208255
global_2,-0.0022913859584939413
college_6,-0.0023073750244420265
community_1,-0.0023206259675818464
committee_6,-0.002325592270117083
community_2,-0.002331219079005753
banking_4,-0.0023426337435792587
bonds_9,-0.0023499090780197294
served_10,-0.0023573784070847204
vermont_1,-0.0023600883083535694
served_16,-0.0023618656257572423
election_4,-0.0023629754085215727
consumption_15,-0.0023666960423147643
elections_16,-0.0023816941718509677
corporation_1,-0.0023836642360617554
business_2,-0.002394152577837594
kentucky_11,-0.0024005806681273167
energy_1,-0.0024013314310584954
illinois_2,-0.002409788954254477
profit_6,-0.0024150716701025086
car_1,-0.0024251594414920197
war_1,-0.002440348985297258
cash_11,-0.002447724070339885
derivatives_6,-0.002454939330342132
happy_2,-0.002456760341149211
environment_9,-0.002475241082726587
virginia_2,-0.002480829423879327
unemployment_3,-0.00248344561948044
law_1,-0.002487410373148835
hedge_5,-0.0024888071692894973
marketing_1,-0.002494057094669455
committee_3,-0.0025135358954115894
society_1,-0.0025176709390194673
marriage_17,-0.0025250345528271766
election_1,-0.0025284455378890235
security_2,-0.0025374897390095796
wisconsin_1,-0.0025383736897076846
returns_16,-0.002541280873447449
default_12,-0.0025724917356408474
judge_7,-0.002573654121199853
gains_8,-0.0025754355739348255
freedom_8,-0.00257638951289052
elections_4,-0.0025929493950906267
missouri_2,-0.002605937112431622
ltd_10,-0.0026193575510826904
service_1,-0.002621184002546517
bubble_2,-0.002625303192774897
conflict_1,-0.00263134705734549
cancer_1,-0.0026570945612231166
energy_2,-0.0026638550364894487
economic_10,-0.00267291203470581
home_1,-0.002677523769986201
vermont_6,-0.002680019255165189
illinois_1,-0.002683287605537954
happy_7,-0.002686758474123829
fine_3,-0.002690590046311092
global_3,-0.0027047755957295473
profit_2,-0.002709037683307347
ore_1,-0.00271198930046892
stats_5,-0.002712133298791786
economics_9,-0.002717987836080815
train_3,-0.002723119465574442
million_1,-0.0027320408158433506
minister_10,-0.0027350340917952965
politics_7,-0.002736442767829983
votes_10,-0.002738858950006917
growth_10,-0.0027422003913413207
returns_1,-0.0027430417272283902
act_1,-0.002746813320254393
fond_1,-0.0027491600301895237
movie_2,-0.0027576728397474826
firm_2,-0.002761856382229677
buy_1,-0.002769797475101754
culture_6,-0.0027749104431669114
religion_6,-0.0027761494760111917
crash_5,-0.002780544109266403
served_3,-0.0027892141682638537
holiday_1,-0.00279048920744811
president_9,-0.002795104188636288
bubble_5,-0.0028121785229473285
loss_1,-0.0028162294932265073
garden_6,-0.002818788335330824
success_13,-0.002820236668885312
movement_1,-0.0028221460950639933
tourism_6,-0.0028281225895549155
fond_2,-0.002835449522265354
finance_2,-0.0028358019703622617
health_1,-0.002836013989704278
stats_1,-0.002837045285309392
bubble_15,-0.0028420525907923546
crisis_1,-0.0028477497153345022
energy_4,-0.0028491619149602298
metals_5,-0.002849468090165774
greed_1,-0.002851065388495511
color_1,-0.0028511871135316726
debt_1,-0.002851947637806429
carolina_1,-0.0028619298602078126
consume_8,-0.0028621875776223328
tennessee_2,-0.002864985224192562
rights_2,-0.002865838603880966
culture_1,-0.0028662610869019333
bubble_6,-0.0028702880566495283
massachusetts_1,-0.002872384379710935
elected_1,-0.002890279571726606
tennessee_4,-0.0028950933056957505
money_3,-0.0028953721915016884
social_1,-0.0028954004577502078
wisconsin_2,-0.002897726327434258
market_8,-0.0029042583774248733
democratic_2,-0.0029094423944454164
derivatives_17,-0.0029119283427372577
inc_1,-0.002918609002818373
court_1,-0.0029211583858160584
risk_1,-0.0029214111810315748
judge_9,-0.0029238995067787377
arts_7,-0.002935774293329452
consumption_8,-0.0029378144519048633
bonds_1,-0.002938306631872578
rich_5,-0.0029409124306274182
politics_3,-0.002943093169276367
government_1,-0.0029462946124300783
missouri_3,-0.0029470472313151363
portfolio_1,-0.0029519083111348987
portfolio_7,-0.0029533753930833795
judge_8,-0.002956479019386138
conflict_7,-0.0029581081281842892
marketing_4,-0.0029600343386125827
fed_1,-0.0029613258809009224
opportunity_5,-0.00296522272846651
party_3,-0.0029655993999982977
case_1,-0.0029693610421478002
travel_2,-0.002976501566743517
earnings_1,-0.0029777081416429096
global_1,-0.0029827224626183036
companies_3,-0.002986600493255698
media_1,-0.0029900050416334033
consume_1,-0.0029937231275987573
restaurant_1,-0.002994755038826158
services_2,-0.003004765531408071
william_1,-0.003005751019677927
