feature,feature_score
served_4,0.003183938258639274
hedge_5,0.0026518215927766597
derivatives_16,0.0019010420968243347
bonds_1,0.0018924814355164798
DOW_JONES_3,0.001425006099366999
DOW_JONES_6,0.0013605964631798085
conflict_4,0.0013287953411060594
finance_7,0.0012909814608685678
committee_13,0.000664468212199365
dow_jones_14,0.0006619183560656605
environment_10,0.0005088186516301497
buy_9,0.0004706766325346612
gains_3,0.00044110239034587104
nyse_6,0.0004058237146282506
million_18,0.0003274253550620054
DOW_JONES_14,0.0002951352996419798
served_5,0.00023990879662219022
debt_10,0.00021426934946910947
ministry_4,0.00019885517409932164
opportunity_17,0.00018309450869860022
dow_jones_3,9.400651683397765e-05
served_16,6.76976493535264e-05
leverage_16,4.251697681143529e-05
movie_9,2.3955044703982686e-05
DOW_JONES_8,-2.264006815515529e-05
senate_5,-3.0403180228311123e-05
portfolio_14,-3.354312024630435e-05
movement_14,-3.372417551270601e-05
revenue_2,-4.421400340892667e-05
ceo_8,-5.621525054959609e-05
forex_13,-7.717267063800382e-05
rich_17,-9.776822783666984e-05
dow_jones_6,-0.0001154966632027632
markets_13,-0.00011849391211502525
politics_3,-0.00016186880931348124
portfolio_19,-0.00022699963177046366
present_18,-0.00022798960837751016
rich_4,-0.00024041930348484009
derivatives_1,-0.00025110101203695834
politics_19,-0.00028874450032623233
finance_15,-0.0002893497220595398
DOW_JONES_9,-0.0003031721889807937
tourism_4,-0.0003217054328084945
crash_18,-0.0003311329912676797
world_7,-0.000338514649107613
color_4,-0.00034822640680005624
invest_14,-0.0003705282214032657
world_12,-0.0003709128763626834
elections_4,-0.0003787094336949348
college_10,-0.0003798975198779031
health_9,-0.0003874507899459756
bonds_3,-0.0004061917973022577
seats_3,-0.00042416926665715947
DOW_JONES_18,-0.0004329143153714465
gains_14,-0.0004346869970575762
election_5,-0.0004691393162960633
companies_7,-0.00047077929822920695
minister_7,-0.0004887440018628731
crash_16,-0.0004998886282695514
food_4,-0.000505943412335319
district_7,-0.0005308808088168915
economy_13,-0.0005358425991118798
court_7,-0.0005475830871714882
media_4,-0.0005495936095126552
investment_3,-0.0005540933265683945
headlines_9,-0.000581009545907163
markets_20,-0.0005814382214144098
movement_10,-0.0005834735399267155
oil_17,-0.0005837034732728119
gold_4,-0.0005848374700986314
minister_13,-0.0005851814014376178
economic_2,-0.0005872216419542831
elections_16,-0.0005925615424782427
bonds_5,-0.0005996132669214838
gold_11,-0.0006101218668675745
buy_7,-0.0006119961637665484
council_15,-0.0006230498249948146
unemployment_13,-0.0006245953607935562
act_19,-0.0006281622010647858
debt_18,-0.0006372146061837114
money_4,-0.0006507874773064471
culture_11,-0.0006625650055176902
happy_18,-0.0006647908281877113
community_10,-0.0006725914071092464
fond_10,-0.0006732949720140047
success_14,-0.000684586692380118
president_5,-0.0006947710875974567
returns_3,-0.0006976240306329595
opportunity_18,-0.0007003776162994191
DOW_JONES_16,-0.0007105233437810998
bubble_3,-0.0007109996662896023
cash_3,-0.0007191900185308908
banking_2,-0.0007206609603471525
restaurant_18,-0.0007211234604105777
health_7,-0.0007238839662064179
invest_10,-0.000723887368663112
college_2,-0.0007239802428995468
services_7,-0.0007359218722470696
credit_2,-0.0007369589913926555
democratic_2,-0.000744891246085988
restaurant_9,-0.0007453780413232414
present_14,-0.0007542677563542322
development_15,-0.0007551765793462284
community_7,-0.0007575821996476994
transaction_2,-0.0007644829389257702
representatives_3,-0.0007779401067549374
chance_6,-0.0007968981536855102
marriage_2,-0.0007982800304127347
court_15,-0.0008083022993497391
ore_11,-0.000810727490483476
founded_2,-0.0008109750654312631
marriage_15,-0.0008184893897051016
investment_7,-0.0008186348803957521
service_15,-0.0008221935483512466
profit_5,-0.0008223408908836216
industry_2,-0.0008227256888647672
economics_18,-0.0008359076135959099
representatives_9,-0.0008401942397253892
representatives_5,-0.0008447857995642849
movement_1,-0.0008492140101342471
county_19,-0.0008514227488673586
stats_8,-0.0008550017649118447
unemployment_3,-0.0008617184233020492
kentucky_13,-0.0008636850533469076
secretary_3,-0.0008691315026830404
movement_4,-0.0008719549997621145
founded_14,-0.0008778344713490816
return_11,-0.000880455503137001
investment_10,-0.0008808457106748823
minister_1,-0.0008826549431203423
fond_9,-0.0008859306257576139
DOW_JONES_10,-0.0008902362579318313
inflation_11,-0.0008922368099659961
growth_7,-0.0008937678500955393
stock_market_7,-0.0008953713486865355
tennessee_6,-0.0008985424144862808
dow_jones_10,-0.0009025064794060178
home_18,-0.0009049028700874207
management_15,-0.0009052018470300683
corporation_7,-0.0009069391474040511
risk_10,-0.0009121819657372798
leverage_19,-0.0009128271350811845
chance_4,-0.0009172985587386107
portfolio_10,-0.0009199202322536903
stock_market_10,-0.0009277994262696599
opportunity_10,-0.0009298009586532707
economics_7,-0.0009299691417048895
secretary_5,-0.000940606874156602
forex_9,-0.0009622369867471114
trader_9,-0.0009624385144106684
dividend_16,-0.0009649283060989333
founded_3,-0.0009687216455807945
founded_7,-0.0009736424908504571
stock_market_9,-0.0009765226299297325
religion_11,-0.0009777565813144263
federal_6,-0.0009825635720887905
tennessee_10,-0.0009849311612263102
health_2,-0.0009861160581887906
nyse_11,-0.0009871023861123484
union_13,-0.0009875534086267734
illinois_15,-0.0009919545830264997
society_15,-0.0009921310845112607
business_15,-0.0009961362709553835
police_2,-0.0009962259140219754
social_9,-0.0010000551587913131
earnings_1,-0.0010041754558488326
representatives_4,-0.0010043245815698932
fine_19,-0.0010059976490404353
security_1,-0.0010073112448998555
earnings_14,-0.0010097535115214384
fine_3,-0.0010330642385403045
unemployment_5,-0.0010348881124499832
minister_4,-0.0010407417906593609
virginia_15,-0.0010429729491954198
leverage_12,-0.0010449655030689397
leverage_5,-0.0010541486747938978
energy_7,-0.0010572689184955575
project_9,-0.0010638325153794926
DOW_JONES_19,-0.0010657416114118856
fed_7,-0.001066879101243301
virginia_5,-0.0010675588369584376
firm_2,-0.0010685573500482715
fun_18,-0.0010688190721453328
management_7,-0.001069313751677159
crash_8,-0.0010746569378701442
metals_6,-0.00107855789550928
present_4,-0.0010803705926620388
fond_16,-0.0010818610987797905
stats_6,-0.0010826477484347618
movement_6,-0.0010928458734284386
risk_3,-0.0010939670041398176
community_2,-0.001095590207074837
security_15,-0.001095626064541677
forex_14,-0.0010972912463985019
services_15,-0.001098100149183101
texas_10,-0.001100837618492867
ohio_10,-0.0011026327274871405
trader_4,-0.0011030772874085048
firm_19,-0.001103633217379185
ceo_2,-0.0011059629739024856
service_2,-0.001106422365231019
party_19,-0.001112884626717503
county_7,-0.001113401560958982
nyse_4,-0.0011146693035739342
tourism_5,-0.0011147256361271562
present_5,-0.001115400854779347
virginia_19,-0.0011179126893437808
