feature,feature_score
crash_5,0.01384572674435447
environment_7,0.012211261620971924
william_20,0.01098639896999607
happy_8,0.010940978892944542
judge_5,0.010733676837321803
gain_12,0.010478202364054145
texas_7,0.010020034983675652
nyse_5,0.00906142509059411
hedge_15,0.008923329141099435
industry_8,0.008748130630738982
returns_10,0.007987963056272696
rich_12,0.007551092374628055
nyse_19,0.007473009349220528
bonds_8,0.007340017178085123
investment_8,0.006138761381807534
food_1,0.006136061003326842
stats_10,0.005892888799257201
world_9,0.005888668027941279
voters_17,0.005397767005278764
carolina_11,0.0053584007107357005
money_7,0.005244972811315529
committee_5,0.005233539920648655
opportunity_14,0.005030785154203477
economic_5,0.004636497630329495
debt_20,0.0046112588344551005
economy_5,0.0040105493060122125
profit_5,0.004009092113592416
travel_8,0.0039247267380140725
william_11,0.0038348039612441155
million_8,0.0038082924212561762
movement_10,0.003740312445267602
culture_19,0.0035846514487138715
freedom_16,0.003389770331618336
crisis_11,0.0031067836785673595
founded_14,0.0029183341034967115
economic_3,0.0028847806504010975
government_19,0.0027935122655909474
profit_2,0.0025890035951167123
sell_5,0.0025015106046825998
police_16,0.002487303422444187
ltd_1,0.0024502952553564715
carolina_18,0.0023558414519095684
party_11,0.0023378163645130902
arts_2,0.0023212529851054375
environment_20,0.002314106314419062
happy_7,0.0022335474134848043
war_5,0.0022111414626257765
opportunity_19,0.0021373738354982796
portfolio_11,0.0021304762874276182
rich_7,0.002035542847531091
inflation_1,0.0019549148299964126
minister_9,0.0017871346961306322
restaurant_1,0.0016913548882684592
society_5,0.0014998589268076178
bonds_5,0.001486600532693183
carolina_2,0.0013719357250488117
technology_15,0.0013690388481803594
business_2,0.00133723363388063
elected_19,0.0013127281885564335
dividend_18,0.0012903210779688702
stocks_19,0.0012428109613425108
freedom_5,0.0012149970916627284
ceo_18,0.001174089421073199
society_7,0.001157973225709341
loss_7,0.0010981860538779697
travel_17,0.000991803460112317
loss_1,0.000988899100950924
minister_19,0.0009678834805439296
DOW_JONES_5,0.0009434386908048209
conflict_2,0.0009414919693042423
nyse_6,0.0008944995030065739
vermont_5,0.0008811145434146628
founded_4,0.0008610487311012882
markets_7,0.0008569653279795642
products_10,0.0008503939387241921
carolina_5,0.0008144081273691262
industry_16,0.0008139809566174439
economy_11,0.0008106922132290917
dow_jones_5,0.0007844771403301865
massachusetts_11,0.0006999619192347151
marketing_6,0.0006670266063064423
members_7,0.0006517218974366968
elected_3,0.0006338594417747867
elected_18,0.000631413917850998
party_18,0.0006064640475283544
project_1,0.0005723158399885575
success_20,0.0004913446216163742
invest_8,0.0004782151891419506
religion_19,0.00047084806562924797
economy_17,0.0004444220930742704
senate_17,0.00040908907171473
industry_12,0.00040894297337066285
politics_19,0.0003684406338109403
seats_3,0.0003671416106416192
profit_16,0.0002984654260525632
stocks_7,0.00027239327393004944
massachusetts_15,0.00023829016783665223
kitchen_6,0.0002361049868352616
project_12,0.0002189002427552822
judge_7,0.0001900750201696555
minister_13,0.0001533948696771592
ceo_10,0.00014874641462083726
garden_19,0.00011836978109416307
republican_20,7.393754202187353e-05
inflation_8,6.058989261905623e-05
court_1,6.0153506421700695e-05
sell_3,2.914268371954076e-05
marriage_10,-1.923511861308125e-05
culture_6,-2.378259887778622e-05
sell_18,-4.60768341419282e-05
voters_1,-5.444930361699907e-05
founded_2,-7.52588938202292e-05
massachusetts_16,-7.675066690480126e-05
dividend_12,-9.6739233140819e-05
dividend_8,-0.00012199155788314986
economics_2,-0.0001421270850371359
gain_20,-0.0001930220277905681
rich_5,-0.000251581299146042
investment_2,-0.00025829018297629514
republican_19,-0.00027105280635406623
loss_20,-0.0002854204794952686
fine_18,-0.00028721663858763955
elected_11,-0.0003074225139059861
committee_6,-0.00031267236254097777
nyse_8,-0.00031424858339677007
bubble_10,-0.000314878746359426
elections_14,-0.00032897208386200026
BUY_AND_HOLD_18,-0.00035831836933362113
greed_18,-0.00035831836933362113
forex_18,-0.00035831836933362113
financial_markets_18,-0.00035831836933362113
short_selling_18,-0.00035831836933362113
short_sell_18,-0.00035831836933362113
transaction_18,-0.00035831836933362113
tourism_18,-0.00035831836933362113
rare_earths_18,-0.00035831836933362113
ministry_18,-0.00035831836933362113
fond_18,-0.00035831836933362113
ore_18,-0.00035831836933362113
lifestyle_18,-0.00035831836933362113
default_18,-0.00035831836933362113
consumption_18,-0.00035831836933362113
leverage_18,-0.00035831836933362113
consume_18,-0.00035831836933362113
derivatives_18,-0.00035831836933362113
headlines_18,-0.00035831836933362113
gains_18,-0.00035831836933362113
crash_9,-0.0003633415052739064
risk_3,-0.00038703773045585256
derivatives_20,-0.0004102788212192454
default_20,-0.0004102788212192454
rare_earths_20,-0.0004102788212192454
consumption_20,-0.0004102788212192454
ministry_20,-0.0004102788212192454
consume_20,-0.0004102788212192454
lifestyle_20,-0.0004102788212192454
headlines_20,-0.0004102788212192454
leverage_20,-0.0004102788212192454
ore_20,-0.0004102788212192454
short_sell_20,-0.0004102788212192454
greed_20,-0.0004102788212192454
tourism_20,-0.0004102788212192454
financial_markets_20,-0.0004102788212192454
gains_20,-0.0004102788212192454
forex_20,-0.0004102788212192454
fond_20,-0.0004102788212192454
BUY_AND_HOLD_20,-0.0004102788212192454
short_selling_20,-0.0004102788212192454
transaction_20,-0.0004102788212192454
illinois_11,-0.00041199774422406854
pennsylvania_11,-0.00042174945084378913
republican_5,-0.00042873485923236034
democratic_9,-0.00043814599223896967
global_1,-0.00044111771600854335
elected_20,-0.0004424734561080834
ore_19,-0.00044738705732318975
default_19,-0.00044738705732318975
ministry_19,-0.00044738705732318975
transaction_19,-0.00044738705732318975
short_selling_19,-0.00044738705732318975
rare_earths_19,-0.00044738705732318975
consumption_19,-0.00044738705732318975
consume_19,-0.00044738705732318975
fond_19,-0.00044738705732318975
forex_19,-0.00044738705732318975
tourism_19,-0.00044738705732318975
greed_19,-0.00044738705732318975
gains_19,-0.00044738705732318975
leverage_19,-0.00044738705732318975
headlines_19,-0.00044738705732318975
lifestyle_19,-0.00044738705732318975
derivatives_19,-0.00044738705732318975
financial_markets_19,-0.00044738705732318975
short_sell_19,-0.00044738705732318975
BUY_AND_HOLD_19,-0.00044738705732318975
cash_20,-0.00045024962652577826
industry_18,-0.00047493496304409357
risk_20,-0.0004782603378081562
served_18,-0.0004859754582496434
democratic_18,-0.00048803512002455475
return_10,-0.0005340926288555537
served_19,-0.0005505827158599486
voters_19,-0.0005711819509572446
vermont_20,-0.0005751364207467802
ltd_2,-0.0005850019987043486
republican_13,-0.0005912825484637452
dividend_10,-0.0005913831587090135
oil_4,-0.0006159113325721277
legal_18,-0.000632779114833415
environment_10,-0.000636290006883189
elected_9,-0.000636756454786136
environment_1,-0.0006392326353766408
invest_5,-0.0006488079129608471
served_20,-0.0006533713661662332
portfolio_9,-0.0006548611521555614
returns_4,-0.0006578170432772312
service_1,-0.0006625184846021925
success_5,-0.0006742330019943399
