feature,feature_score
fed_2,0.0032268525090561216
missouri_10,0.00016177973746522856
sell_7,-0.0002763488277490067
project_5,-0.00045075060933743585
fun_15,-0.0009350587255532838
pennsylvania_16,-0.0021275331559779563
union_2,-0.00222828632910812
carolina_18,-0.0022359865892106036
democratic_7,-0.002295350773654681
corporation_10,-0.002366177210079079
inc_14,-0.0025940757493181366
dow_jones_7,-0.002763744608259433
committee_10,-0.002780541657830926
tourism_12,-0.0028581175957165693
freedom_2,-0.002948951035275904
energy_10,-0.0029729265956041973
missouri_16,-0.0031124674412820186
health_14,-0.0032460798274672074
hedge_12,-0.0032504431975566074
county_14,-0.0032935598682712008
blacklist_20,-0.0033204145142772036
trader_9,-0.0034156098343823826
return_20,-0.0037314031992321086
federal_2,-0.003769717891910762
management_14,-0.0039913995445880705
invest_10,-0.004007828449288398
companies_14,-0.004034206859146172
representatives_10,-0.004102516220170149
fine_20,-0.004126267086157043
georgia_14,-0.004136310206333671
profit_20,-0.0041512006230424395
labor_20,-0.004156869586285095
default_18,-0.004175450220192345
act_10,-0.004176720830241542
act_14,-0.004195909076937588
office_14,-0.004200938216654904
services_14,-0.004244321113706251
fond_14,-0.0043869653408858955
president_20,-0.004407391714294495
arts_16,-0.004431186017540889
court_14,-0.004433013079095138
house_7,-0.004531754810581013
bank_14,-0.00456703650830963
consume_8,-0.0046414518213975684
stats_20,-0.004700459692677494
unemployment_2,-0.004729446483051292
energy_9,-0.004738902160333525
color_16,-0.0047444727935920476
office_2,-0.0047968225696836345
community_14,-0.004954349202297048
growth_20,-0.005074187591850765
bank_2,-0.005118099876197291
global_14,-0.005119797643016155
district_10,-0.0051304530228938995
environment_1,-0.005175688600950812
district_14,-0.00518697346531769
government_14,-0.00520293946988668
seats_6,-0.005210555776425508
invest_20,-0.0052614904553646815
debt_4,-0.005269512893278061
sell_12,-0.005273107482271233
technology_14,-0.005273748191774774
energy_14,-0.005283771558769268
carolina_16,-0.005288198859148685
massachusetts_16,-0.0053182899813420505
corporation_2,-0.005326023712301242
present_12,-0.005357791891289909
georgia_9,-0.005384692221167308
services_4,-0.005416711022382526
financial_2,-0.005420996755833141
short_selling_12,-0.005439448824662874
economic_10,-0.005456336872504153
culture_4,-0.005484978630537496
secretary_10,-0.0054953608159278525
ltd_15,-0.005498112316502701
garden_7,-0.005508436331221755
revenue_15,-0.005509783529054002
project_6,-0.005545609789896622
ceo_9,-0.005625224158961361
ministry_20,-0.005638821823178053
consumption_13,-0.005639695015243973
housing_2,-0.005659960373737771
kentucky_16,-0.005662929397901295
debt_1,-0.005687280453273336
bubble_5,-0.005699401979399643
cancer_4,-0.005763890897260549
oil_5,-0.005767358011247392
kitchen_6,-0.005816870574558819
movie_8,-0.005852377028818689
marketing_16,-0.005859084609525977
ltd_14,-0.005907934824036043
fed_14,-0.005919010138551339
housing_14,-0.005948513006556655
political_16,-0.0059500945714850316
media_7,-0.00598934780287026
cancer_16,-0.006006566851047679
federal_14,-0.0060560455634788065
county_10,-0.006095011297876196
BUY_AND_HOLD_5,-0.006095703711324551
dow_jones_4,-0.006104345874815431
council_10,-0.0061291248405035414
union_18,-0.006146814469710371
justice_4,-0.006149509988135837
invest_13,-0.006156153798136277
consumption_1,-0.006159518783518436
