feature,feature_score
happy_19,0.0016985302409926906
founded_19,0.0006368652759647153
judge_18,0.0005087547427284012
DOW_JONES_5,0.00043286447712913566
dow_jones_8,0.0003916634927582763
nyse_16,0.0003608797198910496
DOW_JONES_8,0.00025980336130260184
dow_jones_5,0.0002396247840398713
forex_18,0.0001183147982595667
committee_12,-3.6331744036055547e-05
happy_17,-8.208676064598297e-05
carolina_14,-0.0001684758561629751
bonds_14,-0.0001731400470123212
firm_2,-0.00021352175349460546
stock_market_5,-0.00030060707840864345
committee_17,-0.0003067996893779901
sell_17,-0.0003193945295922429
fun_20,-0.0003770736449422607
cancer_16,-0.0004195863699191449
sell_20,-0.00044209945663475914
kentucky_19,-0.0004481060041260809
money_14,-0.0004918088641087115
act_16,-0.0005075809011959809
cancer_2,-0.0005239985890053367
tourism_15,-0.0005789449818075943
police_14,-0.0005939395181950857
ore_13,-0.0006008711533373346
crisis_20,-0.0006244227332441677
ministry_15,-0.0006278829915819407
garden_12,-0.0006562116581253497
project_2,-0.0006566482118351535
virginia_16,-0.0006664396542780171
cancer_17,-0.000674639132694832
stock_market_3,-0.0006923322350352202
kentucky_12,-0.0007200886493155867
world_5,-0.0007273541534665862
fine_12,-0.0007434323026882072
vermont_17,-0.0007444313395476466
profit_13,-0.0007484347242869172
marketing_12,-0.0007772694911755585
oil_10,-0.000786631545971983
culture_16,-0.0007988989766648524
blacklist_20,-0.0008024890060243317
housing_10,-0.0008080161849056466
corporation_12,-0.0008330681094454561
ministry_16,-0.0008347524879402269
happy_16,-0.0008385978734566368
technology_16,-0.000839649835860401
consumption_20,-0.0008400816272876366
government_16,-0.0008484702886789152
ceo_4,-0.0008498847789764729
train_17,-0.0008613930225062072
legal_2,-0.0008660726368652227
present_17,-0.0008730139458033026
fine_10,-0.0008920695019455583
republican_17,-0.0008992315361951552
council_12,-0.0009015409286059261
oil_16,-0.0009149756701699374
ohio_18,-0.0009225524986256727
stats_12,-0.0009250935691703877
stock_market_8,-0.0009278723969972979
investment_7,-0.0009446178950303086
short_selling_14,-0.0009457434357788896
management_12,-0.0009504938978177835
hedge_18,-0.0009511296158305927
stats_11,-0.0009517879612608082
loss_19,-0.0009660725835043849
kentucky_14,-0.0009711502476198897
freedom_15,-0.0009785712431086724
gain_16,-0.000989718236537529
consumption_11,-0.001018879054493671
market_16,-0.0010236264735782985
development_16,-0.0010437583940976047
money_2,-0.0010495138522480963
headlines_9,-0.00105103226033747
virginia_19,-0.0010555781599793867
federal_12,-0.0010798871037568825
portfolio_18,-0.001084417825311057
dow_jones_20,-0.001088276554612877
returns_12,-0.0010985873970301928
ore_3,-0.0011044718091818729
president_20,-0.0011102920962039685
restaurant_20,-0.0011104852186835323
nasdaq_1,-0.0011107649068474502
founded_17,-0.0011110721166692982
business_12,-0.0011198075840628708
ceo_2,-0.001148749984726094
transaction_20,-0.0011513574739488107
invest_6,-0.0011551041447387168
religion_16,-0.0011561991915372215
ltd_13,-0.0011580166935852398
portfolio_14,-0.001158849508065951
blacklist_2,-0.001162300584332887
short_selling_12,-0.0011635889555241974
investment_12,-0.0011654136496484168
stocks_13,-0.0011705303053306305
money_20,-0.001176041656514837
ministry_13,-0.0011793647964863708
global_12,-0.0011823658265093906
service_12,-0.001189911034771307
court_17,-0.001205090460025815
leverage_18,-0.0012059805693487523
ring_14,-0.0012114277352178072
technology_12,-0.0012131537991780573
legal_17,-0.001222224845444364
law_2,-0.0012253362297018455
train_20,-0.0012295183305077507
inc_17,-0.0012325965027454755
companies_12,-0.0012430651017293793
voters_9,-0.0012454843694770456
holiday_12,-0.0012459756174280079
project_19,-0.001249278874391835
money_16,-0.001251545666006626
served_4,-0.001256520760383606
return_14,-0.0012634906010248858
bubble_10,-0.00126813497007503
companies_2,-0.0012706597862256253
political_16,-0.0012718347272880682
project_16,-0.001275129334072833
served_17,-0.0012772475598711753
ring_17,-0.0012795222883251079
restaurant_8,-0.0012817809281745474
garden_7,-0.001286898529441105
ceo_15,-0.0012893918389300207
sell_7,-0.0012904279321564126
industry_2,-0.001294552163663676
sell_14,-0.001295028103737561
unemployment_19,-0.0012966732350558896
founded_20,-0.0012993813764337948
kitchen_7,-0.0013020038287130165
wisconsin_16,-0.0013061345772902965
forex_8,-0.0013081199385946319
metals_12,-0.0013083366437250054
stats_14,-0.0013088020984899807
union_16,-0.0013102455603401174
happy_12,-0.0013157242496688593
market_5,-0.0013176204209290887
society_12,-0.0013177752184089675
forex_19,-0.0013189287090694223
dividend_15,-0.0013199443970046687
religion_2,-0.0013208985625590363
BUY_AND_HOLD_18,-0.001327704338811686
ceo_12,-0.0013332285217816596
earnings_19,-0.001334283278638937
representatives_14,-0.001335538380406298
gold_17,-0.001338129535296173
illinois_17,-0.001345545315309904
food_17,-0.0013472256769252676
inflation_3,-0.0013529241942887183
community_17,-0.0013540851864516368
security_12,-0.0013566012490049185
council_16,-0.0013581998542563146
representatives_13,-0.0013599225048291253
secretary_16,-0.0013619033816056002
credit_17,-0.0013645360529213502
water_16,-0.0013657504971852363
votes_16,-0.001369351948715658
marketing_16,-0.0013716703646224683
ceo_16,-0.0013744547367997128
georgia_18,-0.0013765125527922307
products_15,-0.001377102112696016
greed_18,-0.0013778411735057895
food_19,-0.0013792687219803756
color_15,-0.001381054899576073
water_14,-0.001382682458994977
loss_18,-0.001384302010222882
economy_1,-0.0013859202225779965
war_14,-0.0013915030158881958
police_16,-0.00139280244116895
blacklist_13,-0.0013997548733787114
labor_11,-0.0013998735423545571
house_20,-0.0014025977790628197
restaurant_16,-0.0014057508343288338
dividend_17,-0.0014093952290265
products_16,-0.0014147891549851632
office_12,-0.0014150928083513704
pennsylvania_13,-0.001423092738749343
social_14,-0.0014256675711533217
ring_16,-0.0014273302462792347
