feature,feature_score
labor_20,0.0034287913009336756
marriage_17,0.003287388978064931
ring_19,0.0032619483154102237
headlines_15,0.0032089520257769346
gain_14,0.0031002085100894083
texas_4,0.0028463134137132196
portfolio_6,0.002842927293977149
nasdaq_8,0.0027497502288560847
unemployment_1,0.0026416504133362382
companies_2,0.0024166567085021516
arts_19,0.0023246539647665543
nasdaq_17,0.0021494479343015403
money_6,0.0020973402016109645
police_2,0.002086025054263674
missouri_2,0.0020798591851769466
risk_10,0.0019758790309255315
happy_19,0.0017883822002754623
social_2,0.0017795301860149548
firm_2,0.0017724715970259374
bubble_4,0.0017014146544124253
market_13,0.001677956876817177
energy_2,0.0014969479914674678
DOW_JONES_2,0.0014663901442673933
hedge_17,0.0014165387834114806
debt_13,0.001334254084951536
democratic_18,0.0013223624259125933
default_11,0.0012793574255820727
nyse_7,0.001243963440236806
members_11,0.001165668874680148
texas_1,0.0011294306803360187
fine_4,0.0010462847473601267
train_2,0.0010421427847513876
nyse_8,0.00101204331953193
movement_5,0.0009669540000680543
crash_8,0.000889289644556146
transaction_15,0.0008321591361554637
ltd_3,0.0008106392113939931
movie_2,0.0007856212552621144
growth_11,0.0007791570460165875
markets_9,0.000773035428038038
home_18,0.0007725061225959618
members_2,0.0007645177814052051
war_20,0.0007209220536347427
trader_2,0.0007163833674147746
debt_5,0.0006839788553234083
happy_10,0.0006544430222729547
gains_16,0.0006523861505904228
rich_3,0.0006498309947841729
police_3,0.000647131153108349
growth_18,0.0006191285670250179
return_8,0.0006178187907232236
transaction_20,0.0006054593564063015
finance_2,0.000601918775445709
ministry_15,0.0005916394699239325
cancer_4,0.0005754538909041651
world_6,0.0005586043313271727
rights_2,0.0005288614132006985
service_2,0.000512373735887306
office_5,0.0004883522434775189
loss_2,0.0004710267672387358
movement_8,0.00046878873694014
buy_3,0.0004572673931743765
chance_4,0.0004483081406563949
act_5,0.00044714007181714257
health_2,0.0004315198271048537
college_2,0.0004210280495619001
rich_8,0.0004108306717748755
tennessee_17,0.0004077277570414095
ohio_2,0.00040513487200075635
democratic_4,0.00040099662822736806
committee_19,0.0003887353925095649
war_16,0.0003696579680948275
project_4,0.0003639163279851587
nyse_3,0.0003532457969109393
community_2,0.0003511880292540015
ring_13,0.00034362612088243425
county_5,0.0003404091678107735
economic_11,0.00033778865754385823
politics_18,0.0003374464736494165
cash_14,0.0003283306349530557
cash_20,0.0003243936000331349
gold_2,0.00032029322513640326
security_5,0.00031755978450036525
home_14,0.00028409429513214234
representatives_9,0.0002798910785251074
service_5,0.00027125176968334497
act_12,0.0002660404837472541
inc_2,0.0002496600918639569
county_2,0.00024774345731901624
default_14,0.0002322034489629088
DOW_JONES_3,0.00023106815011437743
unemployment_10,0.0002275938577207537
risk_20,0.0002259352955339189
council_5,0.0002200597581310415
consumption_8,0.00021026123436862498
growth_7,0.00020475015438530252
college_5,0.00019795025760875883
economics_6,0.0001972347778643524
tennessee_7,0.0001941002737808617
stocks_9,0.00018767641493859787
world_16,0.00018193062583922172
cancer_2,0.00016992890947133965
opportunity_9,0.00016421342484851387
revenue_10,0.00014097028540136503
earnings_16,0.000134606091273648
buy_2,0.00012197461610388149
hedge_6,0.00011422720525990914
bank_5,0.00010626983418888791
william_6,8.08344056013821e-05
money_7,8.066627190586039e-05
district_2,7.925785130953322e-05
earnings_6,7.837571287130362e-05
restaurant_11,6.464860775943216e-05
environment_19,6.14487902715677e-05
stocks_18,5.844872503277809e-05
representatives_18,5.70398621992263e-05
media_18,5.489251045602828e-05
ore_6,5.2373636292002426e-05
financial_2,3.794655280933146e-05
house_1,3.780153673815789e-05
law_2,3.645038501691733e-05
pennsylvania_15,3.251833790833825e-05
pennsylvania_16,2.6402177456619212e-05
court_2,2.5004359614766435e-05
sell_10,1.819720209703668e-05
secretary_3,1.573509380783378e-05
services_2,8.734482641781228e-06
train_3,-1.1460924726103273e-05
housing_5,-1.7682829124510135e-05
district_5,-2.361458136452832e-05
headlines_16,-3.2223415235566044e-05
secretary_5,-3.912645661783287e-05
transaction_13,-5.113504992295681e-05
house_12,-7.624415301950016e-05
market_9,-8.111758038249483e-05
served_19,-8.486323063603419e-05
act_6,-9.098883459859319e-05
war_1,-0.00010395504326312643
profit_20,-0.00010556523823335162
rights_5,-0.0001094820295929111
oil_4,-0.00010970070029256985
crash_9,-0.00011860400755916433
lifestyle_18,-0.00013572491994024994
earnings_17,-0.00014120368879497747
world_9,-0.00014264997187574124
gain_7,-0.00014438493912658502
federal_5,-0.00014641402436459393
crash_14,-0.00014683568843956162
served_20,-0.00015140398125432775
consumption_2,-0.00015396394201458997
business_2,-0.00015430621847456472
union_5,-0.00016014029439177514
labor_12,-0.0001603074013970973
firm_14,-0.0001656227427706547
movement_15,-0.00017570743664643284
water_2,-0.0001779050879741506
kitchen_18,-0.0001860025829031109
happy_1,-0.00018748388868790046
war_10,-0.00018851265934682893
stocks_8,-0.0001948670404012809
services_5,-0.00019582099673849386
federal_2,-0.00020118229906855855
chance_7,-0.0002026133186663115
holiday_14,-0.0002142080014401637
market_8,-0.0002167140925369182
fine_10,-0.00021702030106640624
labor_4,-0.0002183344280994648
fine_6,-0.000225433019730481
lifestyle_7,-0.00022706500340943236
stock_market_6,-0.00022967676527809732
carolina_18,-0.0002382057454760389
profit_3,-0.00024239232222438288
secretary_19,-0.00024286217228521866
transaction_7,-0.00024809597611787917
present_20,-0.00025195346719857347
members_3,-0.0002655707243173211
committee_6,-0.0002705717923496831
missouri_1,-0.0002722312860497178
founded_4,-0.0002751941848052164
management_2,-0.0002757652676100175
served_8,-0.0002810064002645163
georgia_2,-0.000282599105480541
georgia_1,-0.00028859412173818375
georgia_9,-0.00029196296079521123
economic_6,-0.0002934101231862662
rights_3,-0.00029483873503033386
sell_2,-0.00029634920903935934
corporation_5,-0.00030165098636383283
secretary_2,-0.0003033422924526574
business_3,-0.0003082284491812581
investment_2,-0.0003137396543276827
seats_17,-0.0003191629310827393
kentucky_17,-0.0003199727958330234
tourism_10,-0.000324067508862802
oil_3,-0.00032714603152552704
elections_1,-0.0003363486860961995
revenue_20,-0.00033645043091405923
home_3,-0.0003392449775114992
democratic_6,-0.00033960382684961044
economic_5,-0.0003415119805304956
chance_18,-0.0003419211329977356
corporation_2,-0.0003429688467746717
carolina_1,-0.0003450085142342907
washington_5,-0.0003472619286158052
hedge_18,-0.00034990783720330044
world_11,-0.0003539604983144873
trader_4,-0.00035483888729581636
case_11,-0.0003556233110726836
firm_3,-0.0003556395664764844
holiday_18,-0.0003575990830879894
credit_5,-0.00036164561663762915
ceo_12,-0.0003732857432496406
profit_7,-0.00037469424748826086
council_3,-0.00037487769753723476
risk_18,-0.000377696344132783
debt_10,-0.0003809268807317023
food_20,-0.000384905720259332
members_14,-0.0003854399395520236
garden_3,-0.00038552772094777585
firm_19,-0.00038613776779994335
sell_6,-0.00039100262885543023
secretary_1,-0.00039198863157725584
tourism_4,-0.00039356931202045865
investment_7,-0.000393918639436186
media_12,-0.00039443660008759985
energy_5,-0.000394781036400782
pennsylvania_20,-0.00039863050941431056
tourism_19,-0.0004080176446789929
kitchen_5,-0.00040904510206820623
community_5,-0.0004106066522066909
revenue_5,-0.00041445259072263595
nyse_13,-0.00041706204633045195
cancer_19,-0.00041784562924127575
trader_12,-0.0004194169985362706
buy_19,-0.0004218142179696294
washington_18,-0.0004232523933573429
elections_18,-0.0004321849636994779
car_3,-0.0004373431162177033
market_5,-0.0004418640939262142
office_2,-0.0004432475839243999
derivatives_19,-0.00044686262530375666
home_19,-0.0004475456131973754
kentucky_6,-0.0004497506154584441
economic_3,-0.00045173246958924996
kentucky_4,-0.00045228996038129134
bonds_14,-0.00045376093100311097
happy_18,-0.0004583323487146185
hedge_5,-0.0004592598516480084
food_1,-0.00045929533969706337
rich_17,-0.0004601911809195114
voters_2,-0.0004607700976975382
crash_1,-0.0004654088273519541
car_18,-0.0004688174321370919
million_4,-0.0004700487102941686
war_17,-0.000473611964932652
nasdaq_3,-0.00047374835048457075
debt_6,-0.0004772320070045133
restaurant_6,-0.00047779753743668605
fed_3,-0.000482803062532855
ltd_2,-0.00048393204933994127
movie_16,-0.0004851926519721772
council_2,-0.00048526947476430494
minister_11,-0.00048787954982869585
union_20,-0.0004910316910039736
wisconsin_2,-0.0004923248463560182
debt_19,-0.0004935514743015235
money_16,-0.0004944598481539497
political_19,-0.0004960572777568783
stock_market_17,-0.0005008308610047641
technology_2,-0.0005044551276591092
risk_6,-0.0005046452601113139
present_7,-0.0005057714841920191
earnings_11,-0.0005062205418351784
governor_14,-0.0005083892698841685
justice_1,-0.0005087807973798375
voters_16,-0.0005094230889723494
tennessee_2,-0.0005117764305081262
seats_8,-0.000512278958065715
fed_2,-0.000512312496590539
forex_9,-0.0005164091972929885
ltd_17,-0.0005172897137070808
william_10,-0.0005197954779377012
debt_2,-0.0005223347202953698
finance_5,-0.0005238310735363294
DOW_JONES_12,-0.0005241399865483886
society_14,-0.000524684270363096
ohio_1,-0.0005277065232978994
york_1,-0.0005292029758700689
conflict_19,-0.0005297049373369722
housing_13,-0.0005302742518161763
economy_18,-0.0005305532549887637
kitchen_3,-0.00053123536264017
freedom_11,-0.0005361791614223455
headlines_14,-0.0005385906047097988
garden_2,-0.0005407077513346348
secretary_18,-0.0005431643220560112
leverage_13,-0.0005500061172290849
missouri_16,-0.0005501030067307511
chance_2,-0.0005509231296751737
cancer_16,-0.0005614104309542567
dividend_9,-0.0005615744241440846
portfolio_19,-0.0005626313941293093
labor_6,-0.0005634441777890408
success_20,-0.0005636129069844786
fond_20,-0.0005636363016468637
case_13,-0.0005685104357791015
stock_market_2,-0.0005686273429055477
act_2,-0.0005699334809878831
gain_19,-0.0005709357607448062
ministry_3,-0.0005721284461916776
present_1,-0.0005725450067847193
democratic_17,-0.0005755504159381308
council_13,-0.00057612959260398
short_sell_18,-0.0005785193947386302
sell_18,-0.0005794176350307767
pennsylvania_5,-0.0005799420937191657
served_2,-0.0005811748574360287
nyse_9,-0.0005827430110198817
industry_11,-0.0005842607949901879
unemployment_12,-0.0005865327243808949
money_11,-0.00058767039824974
members_16,-0.0005891968736419173
democratic_15,-0.0005899710789585288
consumption_16,-0.0005915525828193546
william_4,-0.0005917632681418539
housing_3,-0.0005925027336058264
massachusetts_10,-0.0005932324844787562
marketing_5,-0.0005947640413568767
police_1,-0.0005963850628418754
stats_16,-0.0005964196749038475
election_15,-0.0005976022116597202
kitchen_13,-0.0005980716810511488
sell_7,-0.0005991529607264345
labor_18,-0.000599218690816361
buy_1,-0.0006009362562862774
derivatives_3,-0.0006056015285234473
law_5,-0.0006079902972591089
representatives_19,-0.0006110027988897482
money_4,-0.0006157935888833288
arts_2,-0.0006160334320235217
religion_2,-0.0006162266304839736
representatives_4,-0.0006163811100917238
ore_5,-0.000616789878550561
short_selling_18,-0.0006217352402916321
college_6,-0.0006232009012059336
ohio_5,-0.0006259073017869099
republican_17,-0.0006269771776255872
global_11,-0.000629160006151408
founded_13,-0.0006313138812453101
seats_13,-0.0006323917363549869
kitchen_19,-0.0006345818313174157
revenue_2,-0.0006365076532890201
vermont_18,-0.0006373914927548352
present_19,-0.0006386493193687893
movie_6,-0.0006404805769544497
color_10,-0.0006416845753882905
trader_17,-0.0006443110808917573
representatives_17,-0.0006473889122920795
money_20,-0.0006484820078920039
color_6,-0.0006499298156239063
minister_20,-0.0006503535973670038
religion_12,-0.0006513408641885654
nyse_17,-0.0006527342383067847
million_20,-0.0006537152166872894
culture_8,-0.0006547746625240602
senate_2,-0.000657777027253248
money_9,-0.0006586839548309298
case_19,-0.0006605961880939759
short_selling_14,-0.0006615968488278057
marketing_2,-0.000663948041537954
kentucky_10,-0.000665561221326727
freedom_14,-0.0006678182582527282
short_selling_11,-0.0006690135941520347
economic_2,-0.0006695570006402862
metals_7,-0.0006712838846080205
present_17,-0.0006723180989016697
federal_10,-0.0006736229459957998
ore_4,-0.0006818242994624634
marketing_16,-0.000682423788166342
media_17,-0.0006831113194504468
gold_13,-0.0006916496999930022
markets_16,-0.000691963091809189
companies_5,-0.0006922454005152456
present_15,-0.0006942564313894728
war_11,-0.000695165718322599
returns_1,-0.0006959454848587843
voters_3,-0.0006991991330123959
companies_14,-0.0007002388732234355
derivatives_8,-0.0007006108344459694
derivatives_20,-0.0007018202225910874
dow_jones_13,-0.0007034073082916148
development_4,-0.0007051604599695782
york_2,-0.0007080870888494628
banking_4,-0.0007090103189801633
growth_13,-0.0007125010910589591
forex_10,-0.0007139502824031529
marriage_12,-0.0007142389276611816
world_5,-0.0007151476347412311
rich_18,-0.0007176867449209424
democratic_7,-0.0007187940102911128
york_10,-0.0007191519583791495
elections_15,-0.0007191828273879653
profit_18,-0.0007197164390664978
returns_18,-0.0007199643085904928
kentucky_15,-0.0007220571346454818
technology_16,-0.0007224910510697846
stats_15,-0.0007235414532493989
york_12,-0.0007252660520680853
case_14,-0.0007254382233603085
cancer_12,-0.0007268353480509582
fine_15,-0.0007273773331457845
bank_2,-0.000730029661364795
success_1,-0.0007312335493595556
energy_6,-0.000732819039370347
short_sell_11,-0.0007337041081791895
media_6,-0.0007341403948588398
banking_8,-0.0007400120687798717
garden_19,-0.000741032049359136
industry_16,-0.0007414307670521314
office_10,-0.0007414500559953741
served_10,-0.0007423962659535377
short_sell_12,-0.0007469246637928029
democratic_9,-0.0007475279020642267
bonds_19,-0.0007486904481687651
nasdaq_9,-0.0007487402845165914
union_7,-0.0007493935890982905
products_11,-0.000749677328778131
labor_5,-0.000750178638362331
debt_8,-0.0007515700805931447
returns_2,-0.0007533011564667902
trader_7,-0.0007542146526845261
law_6,-0.0007546209360521861
office_1,-0.0007555162856547337
virginia_5,-0.0007557356157243733
short_selling_17,-0.0007571860860462243
million_15,-0.0007591724550983336
present_3,-0.0007595871152312972
