feature,feature_score
nasdaq_17,0.019560021784123572
profit_8,0.013042402319747359
pennsylvania_7,0.012772506089421088
gain_14,0.01236244215281459
project_9,0.012186023185217443
money_19,0.011292053291716963
society_9,0.010717195468962392
companies_9,0.010470072892499082
food_9,0.010285175548615877
crisis_6,0.01011841394281634
portfolio_9,0.009964463734838369
services_9,0.009785205058315682
housing_8,0.009483028135903248
return_17,0.009338122613483168
garden_14,0.008561510278570106
social_9,0.008003110281365577
success_8,0.007966775037195294
members_7,0.007925034899735173
fun_8,0.00740041253762842
energy_19,0.007254181089791545
services_8,0.007163164402643818
judge_13,0.007026520374338085
invest_2,0.0069342916525466205
management_19,0.006898891146105779
carolina_13,0.0067033501568436685
service_8,0.006520658928500711
college_8,0.006477691942924668
management_9,0.006409304945024785
ltd_14,0.005971740954357418
DOW_JONES_9,0.005844790880468254
restaurant_19,0.005825284949769261
economic_16,0.005268346307360683
community_9,0.005127473186888798
project_8,0.005004750218311971
growth_8,0.004860449297612623
members_20,0.004802549977516013
money_9,0.004706654331333016
political_8,0.004693150501227405
gold_19,0.0045937291115937025
judge_17,0.004575576626822153
oil_7,0.004244997063860589
secretary_13,0.003997274331513112
business_14,0.003996338554218837
office_8,0.0035958535399969625
dow_jones_9,0.0031814417384000704
marketing_14,0.003157637856558737
crisis_5,0.003124936076326157
law_19,0.00311301021083521
companies_19,0.0027901341087967603
buy_8,0.0025599617418349705
ltd_19,0.002522178036570577
kitchen_14,0.002520948267255041
invest_20,0.002484855223322535
travel_6,0.0024739001881728838
federal_19,0.0024641400257586097
seats_15,0.0024456668185290687
fed_17,0.0024341942164187724
ring_9,0.0024306134640752265
home_14,0.002244936805353004
law_9,0.0022299370483941814
sell_13,0.002201069067882688
movie_9,0.0021625255850722612
minister_17,0.0021466415149571814
credit_8,0.0020794459350300665
project_14,0.0020116890695376587
founded_18,0.001988661388300739
financial_8,0.0019696845486381507
bank_8,0.0019059124846192432
technology_14,0.0018466643757549805
rich_18,0.0018413310689830765
health_9,0.0018388357519883547
profit_9,0.0017959115105879997
services_19,0.0016941845731393902
finance_12,0.0014902936209442164
community_8,0.0014459189801093951
global_14,0.0013809455604832487
votes_16,0.001330925038964459
DOW_JONES_8,0.0012950922894768625
religion_7,0.0012949892202124501
debt_17,0.001156146615822018
economics_14,0.0011511286964386968
markets_5,0.0011079969260764156
members_13,0.0010496609271089864
district_18,0.0007290533091879325
