feature,feature_score
DOW_JONES_1,0.027934767992771847
DOW_JONES_4,1.1222002677999115e-07
DOW_JONES_5,9.013137649706253e-05
DOW_JONES_6,9.80552447922361e-06
DOW_JONES_7,0.002608452699280561
DOW_JONES_8,0.0007750827565693151
DOW_JONES_9,0.0026672704607201355
act_13,0.0370978030677597
act_15,0.03309631698856113
consume_12,0.03214320464916204
consume_14,0.0107846674636318
consume_17,0.029204464141912228
gold_6,0.03259357570916864
greed_4,0.019252075273008207
greed_11,0.006496940846769408
greed_19,0.013492033593945858
headlines_1,0.030702565311203224
housing_11,0.04006255331032394
members_20,0.04790550285240268
minister_2,0.011097652417314094
minister_4,0.028230484335043403
minister_17,0.02667257322871104
nyse_1,0.010746879860745273
nyse_2,0.01230174484644203
ohio_6,0.03879554592170694
portfolio_2,0.0023877111609396655
representatives_6,0.021530992377480095
representatives_9,0.043881251657120236
representatives_11,0.01735497507327389
representatives_12,0.002148139007858666
representatives_14,0.00840519114228594
representatives_15,0.0050586223614167624
ring_15,0.047965441070978485
ring_16,0.006224995170934709
seats_7,0.030788298480380574
ohio_18,
consume_11,
opportunity_14,
gold_13,
political_10,
political,
gold,
judge,
growth_10,
political_19,
secretary_4,
sell_8,
ring_13,
environment_9,
stats_10,
car,
gold_7,
greed_8,
college,
food_13,
act_2,
gold_18,
restaurant,
war_14,
opportunity_20,
minister_14,
freedom,
garden,
finance,
arts_5,
secretary_16,
train_10,
consume_15,
lifestyle_17,
environment_12,
members_1,
service_15,
secretary,
gold_2,
act_14,
dow_jones_10,
tourism,
service_19,
conflict_11,
garden_8,
rare earths,
consume_4,
economy_6,
train_3,
transaction,
conflict_20,
leverage,
consume_13,
gold_16,
pennsylvania_11,
case_18,
service_10,
lifestyle_13,
housing_4,
ohio_15,
growth_2,
carolina_1,
seats_18,
crisis_15,
members_12,
stats_16,
dow_jones_9,
environment_16,
representatives_17,
invest_12,
voters_7,
justice_3,
revenue_5,
opportunity_4,
justice_13,
representatives_2,
opportunity_9,
garden_3,
political_1,
act_3,
invest_17,
growth_20,
oil_15,
technology_9,
money_5,
BUY AND HOLD,
development,
money_16,
seats,
service_9,
technology_5,
oil_7,
invest_16,
stats_7,
pennsylvania_1,
profit_7,
trader_1,
