feature,feature_score
bonds_12,0.003415624760635952
court_4,0.01852934144895221
debt_4,0.04784069328887022
dividend_1,0.0011224406433075788
dividend_3,0.039000679645944177
environment_16,0.04375416478436883
environment_20,0.028116830788600316
financial_5,0.008106908606765401
financial_6,0.00359238662608793
financial_9,0.029154289404637018
financial_15,0.0036530820723409186
freedom_4,0.02226685857839406
freedom_20,0.005546545044704892
garden_11,0.026076393289814932
members_6,0.020162260013623697
members_10,0.0021882057717723066
ore_3,0.0016616551863583514
ore_4,0.0049066465427971585
ore_6,0.0001731452645599628
ore_11,0.015319361044823444
political_6,0.0042586324561588946
restaurant_5,0.027819742382795082
returns_8,0.003940346496188801
returns_13,0.03589846887126902
secretary_8,0.0008823397686971685
technology_5,0.008028567408852137
technology_8,0.00428326941861818
technology_16,0.010484796458521295
technology_17,0.014300069822190294
technology_20,0.015101622711938522
union_9,0.006379477526590788
corporation_6,
unemployment_4,
council_12,
returns_9,
served_13,
credit_13,
voters_3,
political_11,
companies_16,
house_2,
development_13,
movement_7,
target_return,
bonds_11,
environment_18,
gold_19,
technology_2,
ceo,
massachusetts_13,
services_2,
home_5,
water,
committee_19,
DOW JONES,
voters_20,
federal_15,
returns_14,
services,
bonds_2,
health,
returns,
william_8,
representatives,
fed_16,
car_8,
management_20,
secretary_1,
secretary_3,
court_6,
unemployment_9,
committee_11,
political_13,
william_15,
members_1,
bonds_20,
corporation,
committee_8,
freedom_10,
ore_14,
council_20,
freedom_15,
debt_19,
council_11,
car_4,
movement_8,
technology_7,
secretary_15,
environment_19,
georgia_10,
dividend_16,
fed_15,
garden_9,
council_7,
senate_14,
senate_7,
technology_10,
dividend_13,
massachusetts_19,
office_13,
unemployment_19,
development_4,
secretary_10,
returns_7,
corporation_16,
council_9,
federal_16,
council_4,
secretary_17,
district,
services_7,
court_20,
minister,
home_4,
voters_14,
returns_4,
services_3,
bonds_6,
union_14,
restaurant_2,
corporation_11,
credit_5,
secretary_11,
served_6,
massachusetts_10,
corporation_20,
travel,
secretary_6,
environment_10,
credit_7,
secretary_12,
gold_18,
washington_13,
fed_17,
movement_9,
crash,
credit_15,
fed_20,
home_14,
car_3,
fed_8,
debt_13,
served_9,
present,
senate_6,
served_8,
financial_2,
restaurant_10,
council_6,
ore_20,
georgia_11,
secretary_2,
william_14,
garden_1,
william_13,
companies_12,
companies_9,
credit_4,
william_18,
senate,
car_15,
development_18,
court_2,
democratic,
senate_19,
freedom,
conflict,
unemployment_5,
committee_18,
companies_5,
returns_12,
federal_11,
court_8,
texas,
home_3,
freedom_14,
garden_15,
senate_15,
voters_7,
william_16,
voters_11,
leverage,
union_18,
ore_5,
committee_2,
default,
technology_14,
union_15,
stats,
council_8,
management_11,
returns_11,
cash,
unemployment_7,
massachusetts_12,
committee_7,
bonds_8,
union_6,
william_1,
movement_6,
returns_20,
secretary_5,
council_17,
served_5,
gold_3,
debt_18,
federal_8,
bonds_3,
industry,
restaurant_13,
credit_3,
social,
virginia,
committee_20,
home_18,
investment,
financial_8,
washington_3,
companies_15,
house_17,
washington_18,
william_6,
opportunity,
million,
fed_14,
management,
car_11,
senate_1,
voters,
nyse,
dividend_10,
legal,
court_7,
committee_16,
voters_12,
federal_12,
voters_2,
dividend_6,
freedom_7,
debt_2,
georgia_1,
massachusetts_11,
served_17,
washington_11,
credit_18,
illinois,
freedom_5,
union_11,
tennessee,
massachusetts_4,
court_11,
voters_19,
housing,
fed_4,
home_2,
garden_17,
council_18,
william_2,
services_1,
corporation_17,
companies_4,
garden_14,
dividend_17,
gold_16,
fed_3,
council_19,
management_17,
federal_18,
office_3,
massachusetts_20,
committee_6,
council_5,
debt,
office_10,
marketing,
union_16,
tourism,
management_8,
william_4,
restaurant_19,
vermont,
william_3,
services_4,
dividend_9,
office_18,
senate_10,
credit_16,
gold_17,
debt_8,
served_3,
political_12,
union_10,
home_12,
market,
members_3,
happy,
senate_20,
BUY AND HOLD,
union_1,
management_1,
washington_2,
debt_9,
development_9,
massachusetts_1,
food,
federal_19,
office_4,
financial_20,
ore_9,
secretary_14,
invest,
secretary_7,
office,
financial_7,
ore_18,
political_20,
georgia_16,
economic,
movement_18,
college,
ltd,
georgia_2,
governor,
office_17,
technology_3,
credit_8,
freedom_11,
management_2,
house_20,
members_9,
products,
house,
bonds_16,
movie,
management_15,
consume,
bonds_18,
movement_11,
economy,
restaurant_9,
voters_13,
debt_6,
unemployment_8,
massachusetts_18,
environment_5,
money,
dividend,
movement_1,
credit_19,
car_5,
restaurant_6,
freedom_8,
voters_4,
union_13,
home_13,
justice,
credit_17,
environment_6,
committee_12,
washington_17,
ore_17,
stock market,
party,
office_2,
federal,
york,
markets,
movement,
senate_4,
fed_10,
fed_2,
served_18,
council,
greed,
unemployment_13,
federal_3,
unemployment_1,
political_2,
unemployment_2,
political_18,
served_7,
members_12,
inc,
political_15,
returns_5,
religion,
police,
bonds_1,
office_11,
services_6,
debt_14,
garden_16,
movement_19,
senate_9,
financial_12,
republican,
georgia_13,
massachusetts_5,
restaurant_1,
senate_12,
unemployment_11,
corporation_14,
bonds_10,
restaurant_18,
bonds_17,
dividend_7,
companies_10,
returns_17,
car,
financial_19,
fed_19,
court_14,
served_1,
william_19,
global,
members_5,
development,
washington_14,
dividend_15,
credit_11,
voters_17,
management_13,
court_3,
management_7,
political_17,
washington_12,
gold,
william,
gold_8,
secretary_18,
growth,
georgia_8,
served_15,
political_10,
georgia_4,
georgia_15,
house_10,
kentucky,
marriage,
car_17,
dividend_8,
gain,
georgia_3,
bonds,
project,
corporation_7,
management_14,
development_11,
georgia,
unemployment,
committee_1,
federal_9,
