feature,feature_score
buy_14,0.024046603753934033
democratic_19,0.024298312819285524
economy_15,0.01511891766978961
fine_8,0.0009824200264483601
founded_3,0.008629527375911177
gains_1,0.03689224317979315
judge_2,0.04987304017416549
judge_9,0.02404300760248451
judge_10,0.0030738136600879274
judge_11,0.0022638152710208457
judge_16,0.006318530439491957
judge_18,0.046332028744101576
lifestyle_19,0.003538738489494399
market_2,0.0017691077139336082
market_9,0.023819007347374584
market_11,0.019923637816750384
market_14,0.0314275361448286
marriage_9,0.0007535774158382118
marriage_13,0.011133258760079437
marriage_14,0.0212765719171466
profit_1,3.8633044343584354e-05
profit_19,0.01271966132309831
representatives_19,0.03466789214619319
war_1,0.0015030325665882892
washington_12,0.013259159777880298
washington_13,0.017241476171803084
washington_15,0.038864286728147075
world_3,
profit_12,
world_10,
elected,
services,
color_13,
economy_13,
religion_16,
earnings,
marriage_1,
market_1,
media,
firm_10,
buy_5,
market_4,
short selling,
founded_18,
war_19,
market_18,
economics,
world_14,
oil,
economy_9,
ohio_4,
DOW_JONES_10,
seats_8,
law,
credit,
washington_7,
invest,
missouri,
war_9,
buy_9,
carolina,
fine_16,
seats_19,
crisis,
money,
growth_13,
market_19,
growth_18,
gains_4,
gains_6,
default,
media_16,
lifestyle_10,
lifestyle_7,
firm_9,
metals,
buy_13,
default_1,
war_4,
government,
derivatives,
war_13,
fine_18,
seats_7,
arts,
growth_5,
profit_11,
democratic_14,
marriage_20,
happy,
color_20,
religion_1,
rich,
world,
firm_11,
seats_11,
war_5,
fine_3,
ohio,
washington_18,
fine_1,
firm_5,
arts_14,
markets,
growth_4,
train,
arts_4,
buy_6,
firm_16,
world_18,
fine_19,
default_3,
war_8,
seats_16,
lifestyle,
market_20,
council,
illinois_2,
case,
corporation,
color_11,
marriage_19,
seats_9,
ohio_1,
color_1,
buy_15,
stock market,
district,
judge_17,
lifestyle_2,
representatives_18,
market_10,
DOW_JONES_14,
world_16,
media_6,
pennsylvania,
founded_17,
economy_12,
growth_8,
investment,
chance,
default_18,
representatives_9,
illinois_4,
democratic_10,
war_11,
representatives_13,
market_3,
market_8,
founded_5,
movement,
democratic_12,
seats_17,
illinois_1,
financial markets,
judge_13,
cash,
movie,
founded_8,
default_4,
gains_10,
firm_18,
washington_14,
market_15,
democratic_17,
ohio_16,
washington_10,
buy_4,
profit,
religion_10,
color_4,
republican,
judge_1,
fine_14,
marriage_12,
georgia,
media_17,
act,
growth_14,
million,
marriage_7,
DOW_JONES_18,
gains,
illinois_10,
arts_17,
labor,
bank,
founded_11,
DOW_JONES_6,
media_11,
default_6,
DOW_JONES_8,
illinois_19,
arts_12,
gains_16,
success,
buy_19,
sell,
default_2,
war_20,
buy_7,
gains_9,
gains_11,
religion_3,
virginia,
DOW_JONES_4,
DOW_JONES_20,
fine_11,
lifestyle_3,
profit_5,
economy_4,
loss,
portfolio,
fine,
default_14,
firm_12,
judge_6,
college,
founded_1,
washington_20,
kitchen,
war_2,
wisconsin,
DOW_JONES_13,
religion_2,
ohio_10,
conflict,
war_10,
tennessee,
growth_20,
inc,
DOW_JONES_15,
fine_7,
world_4,
bubble,
companies,
political,
world_17,
war_15,
fine_17,
dividend,
lifestyle_9,
arts_8,
representatives_5,
ore,
growth_7,
housing,
buy_20,
religion_18,
washington,
lifestyle_14,
founded_6,
marriage_8,
default_10,
democratic_13,
police,
stocks,
economy_5,
health,
founded_12,
firm_4,
judge_5,
world_2,
media_8,
economy_19,
dow jones,
democratic,
crash,
founded_16,
default_13,
growth_2,
growth_3,
leverage,
gold,
stats,
party,
DOW_JONES_5,
illinois_5,
project,
travel,
gain,
illinois_17,
economy_10,
fed,
economy_16,
economic,
arts_9,
judge_4,
growth_6,
illinois_13,
economy_11,
texas,
target_return,
debt,
firm_13,
default_17,
arts_18,
judge_19,
community,
world_19,
fine_13,
media_2,
world_9,
growth_12,
lifestyle_12,
management,
greed,
fine_4,
religion_12,
world_13,
economy_8,
illinois_20,
media_4,
arts_13,
profit_8,
religion_7,
profit_6,
ltd,
fond,
judge_3,
fine_12,
world_11,
tourism,
representatives_14,
seats_14,
illinois_14,
profit_15,
buy,
arts_1,
hedge,
buy_10,
ohio_12,
world_12,
democratic_4,
minister,
democratic_8,
representatives_4,
lifestyle_17,
ohio_18,
firm,
voters,
house,
democratic_3,
ceo,
fun,
seats_1,
headlines,
technology,
illinois_7,
DOW_JONES_12,
present,
washington_8,
buy_8,
fine_10,
judge_15,
firm_17,
returns,
ring,
members,
market_16,
DOW_JONES_17,
buy_18,
representatives_11,
kentucky,
firm_14,
illinois_3,
judge_7,
arts_7,
judge_12,
DOW_JONES_11,
founded_2,
democratic_20,
marriage_5,
secretary,
seats_5,
DOW_JONES_19,
religion_11,
media_14,
car,
profit_17,
media_15,
arts_2,
restaurant,
seats_3,
founded_15,
war_12,
firm_1,
color_5,
democratic_15,
washington_6,
world_7,
color_18,
illinois_9,
environment,
arts_15,
gains_19,
illinois_16,
seats_6,
justice,
DOW JONES,
nasdaq,
marriage,
judge_14,
gains_13,
ohio_20,
economy_3,
gains_20,
market_7,
buy_17,
religion_15,
illinois_11,
BUY AND HOLD,
marriage_4,
color,
marriage_17,
ohio_13,
democratic_18,
court,
marriage_3,
growth_15,
seats_18,
service,
trader,
media_10,
buy_16,
global,
ohio_14,
short sell,
firm_19,
representatives_17,
war_7,
arts_16,
illinois_6,
washington_3,
lifestyle_16,
security,
democratic_6,
votes,
seats_13,
firm_20,
war,
opportunity,
economy_20,
growth_17,
religion_19,
representatives_2,
energy,
social,
economy_18,
representatives_8,
market_17,
judge_8,
media_5,
washington_4,
food,
revenue,
economy_1,
market_12,
default_20,
growth_9,
banking,
county,
profit_9,
war_18,
gains_14,
ohio_19,
firm_3,
profit_18,
union,
profit_14,
religion_13,
ohio_9,
market,
transaction,
world_5,
representatives,
lifestyle_15,
color_12,
lifestyle_4,
washington_5,
judge_20,
gains_5,
founded_10,
arts_3,
ohio_3,
default_12,
gains_2,
fine_9,
gains_15,
forex,
illinois_18,
ministry,
ohio_8,
market_5,
founded_4,
democratic_5,
profit_10,
representatives_20,
media_13,
cancer,
business,
ohio_15,
arts_11,
illinois_12,
holiday,
fine_6,
media_12,
war_3,
garden,
religion_14,
washington_19,
return,
fine_15,
default_7,
lifestyle_1,
arts_20,
representatives_3,
president,
religion_6,
media_19,
washington_16,
arts_5,
gains_12,
lifestyle_5,
buy_3,
washington_9,
ohio_6,
color_10,
rare earths,
development,
served,
representatives_1,
lifestyle_6,
profit_3,
media_3,
firm_7,
democratic_9,
founded_9,
gains_3,
seats_2,
seats_12,
seats_4,
unemployment,
war_16,
growth_11,
world_8,
economy_6,
fine_20,
world_1,
lifestyle_20,
illinois,
representatives_16,
representatives_12,
lifestyle_18,
representatives_10,
ohio_2,
rights,
illinois_8,
religion_9,
economy_2,
founded_19,
gains_17,
economy_14,
buy_1,
market_13,
gains_8,
committee,
seats,
color_15,
founded_14,
governor,
fine_2,
religion_17,
elections,
DOW_JONES_2,
firm_8,
default_8,
arts_6,
gains_7,
war_6,
lifestyle_8,
economy_17,
office,
society,
color_8,
inflation,
nyse,
color_19,
media_9,
firm_2,
profit_7,
market_6,
DOW_JONES_16,
representatives_7,
media_18,
arts_19,
color_3,
color_9,
culture,
democratic_11,
seats_10,
ohio_17,
buy_12,
seats_15,
color_14,
growth_16,
war_14,
default_15,
lifestyle_11,
democratic_2,
religion,
founded_20,
DOW_JONES_9,
marketing,
default_5,
world_20,
election,
massachusetts,
religion_5,
arts_10,
religion_20,
DOW_JONES_3,
firm_15,
buy_2,
washington_1,
color_2,
media_20,
financial,
washington_2,
ohio_7,
default_11,
marriage_11,
consumption,
democratic_1,
marriage_10,
color_16,
profit_16,
default_16,
william,
profit_20,
marriage_16,
world_15,
economy,
fine_5,
illinois_15,
default_19,
economy_7,
marriage_6,
representatives_15,
york,
buy_11,
industry,
growth_10,
color_6,
marriage_2,
DOW_JONES_7,
growth_1,
ohio_5,
firm_6,
profit_4,
legal,
finance,
home,
water,
senate,
marriage_15,
bonds,
risk,
washington_17,
founded,
gains_18,
judge,
democratic_7,
religion_8,
freedom,
politics,
washington_11,
profit_13,
lifestyle_13,
DOW_JONES_1,
