feature,feature_score
crash_1,0.0168558893087951
default_5,0.01137410393818423
default_7,0.04896238329494926
dividend_2,0.001631086775500149
holiday_3,0.01067948405018916
ore_4,0.026723479904963713
ore_15,0.005515546632449146
ore_18,0.03443447987655518
ore_20,0.0007973244686890634
present_7,0.002142938815366136
returns_18,0.01622503342038274
sell_8,5.8834296788940564e-05
world_5,0.00030956915126192995
world_10,0.0045194480253600905
world_3,
conflict_14,
elected,
services,
consume_7,
holiday_17,
movie_9,
earnings,
media,
short selling,
social_11,
products_1,
economics,
world_14,
companies_5,
oil,
movie_1,
law,
credit,
consume_11,
crash_2,
sell_15,
invest,
missouri,
products_2,
carolina,
crisis,
money,
movie_19,
dividend_15,
banking_17,
holiday_19,
holiday_20,
markets_6,
default,
present_11,
products_11,
metals,
default_1,
companies_14,
conflict_4,
government,
derivatives,
arts,
markets_18,
happy,
companies_20,
rich,
world,
products_4,
conflict_7,
ohio,
markets,
texas_16,
train,
dividend_10,
world_18,
banking_11,
energy_5,
products_18,
default_3,
movie_16,
consume_14,
crash_11,
energy_1,
ore_16,
lifestyle,
council,
movie_4,
case,
corporation,
markets_1,
dividend_13,
stock market,
district,
consume_16,
crash_19,
markets_5,
ore_13,
holiday_10,
crash_6,
world_16,
returns_19,
consume_10,
dividend_3,
pennsylvania,
ring_18,
crash_17,
investment,
chance,
crash_7,
consumption_18,
default_18,
social_20,
present_2,
energy_17,
present_15,
holiday_9,
movement,
sell_1,
products_13,
consume_5,
financial markets,
cash,
movie,
markets_8,
returns_10,
dividend_17,
crash_15,
returns_14,
sell_2,
default_4,
companies_11,
profit,
markets_9,
companies_10,
returns_7,
social_13,
texas_5,
ring_15,
republican,
banking_18,
holiday_16,
georgia,
markets_2,
ore_6,
act,
million,
consume_4,
gains,
markets_4,
holiday_4,
texas_13,
markets_10,
labor,
bank,
dividend_19,
default_6,
dividend_16,
success,
sell,
default_2,
conflict_20,
crash_3,
markets_17,
virginia,
companies_3,
movie_18,
social_1,
loss,
portfolio,
fine,
companies_4,
default_14,
consume_18,
college,
ore_2,
returns_4,
banking_4,
returns_6,
kitchen,
wisconsin,
dividend_12,
conflict,
tennessee,
ring_19,
inc,
energy_8,
social_5,
world_4,
energy_18,
bubble,
products_6,
companies,
sell_13,
political,
world_17,
ore_3,
