feature,feature_score
bonds_17,0.02120333071652785
carolina_12,0.03690855437006354
cash_20,0.003003683231659285
environment_16,0.0011792823576575978
gains_9,0.0008717081675943129
happy_4,0.003921192094271137
hedge_11,0.016666423774070273
hedge_19,0.01853382454361205
judge_8,0.014325775148230621
marriage_16,0.030958434424634088
massachusetts_1,0.014311466128057731
nyse_2,0.03636287660029942
opportunity_9,0.003788719731625951
opportunity_16,0.0308752470280252
religion_13,0.012982735587146391
fed_18,
elected,
services,
voters_4,
religion_16,
happy_11,
earnings,
marriage_1,
media,
voters_13,
georgia_20,
short selling,
cash_11,
economics,
voters_16,
oil,
carolina_4,
seats_8,
law,
credit,
nyse_8,
invest,
missouri,
bonds_15,
voters_20,
judge_9,
carolina,
marriage_14,
seats_19,
crisis,
voters_18,
money,
cash_16,
nyse_15,
gains_4,
gains_6,
chance_4,
gains_1,
default,
happy_13,
fed_15,
happy_17,
nyse_13,
metals,
happy_5,
government,
derivatives,
seats_7,
elected_15,
arts,
bonds_9,
marriage_20,
happy,
religion_1,
rich,
world,
bonds_8,
chance_12,
happy_3,
seats_11,
ohio,
chance_13,
markets,
nyse_17,
train,
environment_4,
bonds_3,
carolina_11,
georgia_5,
cash_4,
voters_5,
marriage_9,
seats_16,
lifestyle,
council,
case,
corporation,
marriage_19,
rights_3,
nyse_19,
seats_9,
fed_20,
happy_2,
stock market,
district,
judge_17,
massachusetts_14,
hedge_18,
fed_19,
pennsylvania,
investment,
chance,
voters_10,
fed_4,
movement,
seats_17,
financial markets,
judge_13,
cash,
movie,
fed_7,
gains_10,
bonds_18,
environment_2,
massachusetts_12,
opportunity_12,
nyse_9,
profit,
cash_2,
georgia_6,
religion_10,
voters_9,
republican,
judge_1,
rights_15,
marriage_12,
cash_14,
rights_5,
georgia,
elected_2,
georgia_18,
act,
marriage_7,
million,
voters_19,
judge_16,
gains,
hedge_2,
nyse_20,
labor,
rights_18,
bank,
happy_12,
gains_16,
success,
sell,
gains_11,
cash_3,
virginia,
religion_3,
environment_1,
loss,
portfolio,
fine,
fed_5,
judge_6,
bonds_19,
college,
kitchen,
wisconsin,
religion_2,
conflict,
tennessee,
opportunity_19,
inc,
chance_2,
bubble,
companies,
voters_12,
political,
dividend,
ore,
housing,
religion_18,
washington,
georgia_2,
georgia_8,
nyse_3,
marriage_8,
police,
stocks,
health,
chance_15,
georgia_17,
carolina_9,
judge_5,
happy_20,
dow jones,
massachusetts_4,
democratic,
crash,
nyse_1,
leverage,
rights_7,
gold,
massachusetts_10,
stats,
party,
project,
travel,
gain,
environment_10,
happy_16,
fed,
judge_4,
economic,
carolina_20,
opportunity_2,
happy_7,
fed_8,
texas,
target_return,
debt,
environment_9,
judge_19,
community,
massachusetts_19,
chance_9,
elected_13,
management,
greed,
georgia_16,
georgia_19,
environment_11,
religion_12,
voters_7,
voters_1,
opportunity_20,
chance_6,
georgia_10,
elected_6,
opportunity_1,
judge_18,
religion_7,
elected_4,
chance_3,
ltd,
fond,
judge_3,
happy_8,
tourism,
georgia_4,
seats_14,
elected_9,
fed_12,
buy,
massachusetts_20,
bonds_2,
hedge,
elected_5,
minister,
firm,
voters,
opportunity_14,
house,
rights_14,
ceo,
fun,
seats_1,
georgia_7,
rights_11,
headlines,
technology,
chance_11,
cash_7,
present,
voters_11,
elected_7,
happy_1,
hedge_7,
judge_15,
rights_17,
returns,
nyse_7,
ring,
carolina_18,
members,
elected_14,
kentucky,
judge_7,
environment_14,
judge_12,
marriage_5,
massachusetts_17,
massachusetts_6,
secretary,
environment_20,
opportunity_17,
seats_5,
religion_11,
car,
hedge_14,
massachusetts_13,
carolina_10,
chance_16,
opportunity_13,
restaurant,
seats_3,
rights_13,
voters_8,
fed_10,
chance_1,
environment,
gains_19,
seats_6,
justice,
DOW JONES,
nasdaq,
marriage,
judge_14,
environment_13,
gains_13,
elected_18,
gains_20,
massachusetts_11,
religion_15,
rights_12,
BUY AND HOLD,
marriage_4,
color,
marriage_17,
nyse_4,
cash_5,
carolina_14,
court,
carolina_19,
marriage_3,
seats_18,
voters_15,
service,
trader,
global,
elected_16,
short sell,
massachusetts_3,
rights_4,
security,
votes,
seats_13,
hedge_15,
cash_13,
chance_7,
massachusetts_8,
environment_8,
war,
opportunity,
opportunity_8,
religion_19,
cash_10,
energy,
nyse_12,
social,
carolina_5,
food,
revenue,
banking,
carolina_2,
county,
chance_14,
environment_7,
rights_10,
gains_14,
hedge_3,
elected_11,
chance_10,
union,
carolina_16,
georgia_1,
market,
transaction,
bonds_10,
representatives,
massachusetts_5,
elected_8,
happy_18,
nyse_14,
judge_20,
gains_5,
carolina_6,
gains_2,
massachusetts_15,
nyse_16,
rights_6,
elected_3,
gains_15,
forex,
ministry,
hedge_16,
cancer,
business,
georgia_11,
holiday,
rights_8,
garden,
elected_17,
religion_14,
hedge_13,
return,
president,
religion_6,
carolina_3,
environment_3,
georgia_13,
cash_8,
gains_12,
happy_14,
fed_1,
massachusetts_18,
rights_9,
rare earths,
fed_9,
development,
georgia_14,
served,
rights_19,
elected_10,
massachusetts_7,
rights_2,
opportunity_3,
elected_1,
hedge_1,
gains_3,
seats_2,
seats_12,
seats_4,
happy_10,
unemployment,
bonds_11,
opportunity_6,
judge_10,
voters_3,
hedge_9,
environment_17,
carolina_17,
rights_16,
carolina_8,
happy_15,
illinois,
hedge_20,
georgia_12,
rights,
religion_9,
fed_3,
environment_5,
bonds_5,
gains_17,
hedge_6,
hedge_8,
massachusetts_2,
chance_17,
gains_8,
committee,
seats,
governor,
chance_8,
religion_17,
elections,
georgia_15,
opportunity_15,
voters_14,
happy_19,
bonds_1,
fed_13,
gains_7,
georgia_3,
nyse_18,
office,
cash_18,
society,
happy_9,
inflation,
opportunity_7,
nyse,
voters_6,
culture,
bonds_7,
fed_11,
seats_10,
seats_15,
elected_19,
chance_18,
judge_11,
cash_19,
religion,
massachusetts_9,
marketing,
environment_15,
bonds_20,
hedge_17,
bonds_6,
voters_2,
environment_12,
election,
carolina_1,
cash_1,
massachusetts,
religion_5,
opportunity_11,
judge_2,
chance_20,
elected_20,
religion_20,
opportunity_18,
cash_12,
massachusetts_16,
bonds_4,
happy_6,
hedge_4,
nyse_5,
financial,
cash_15,
marriage_11,
consumption,
georgia_9,
marriage_10,
bonds_12,
hedge_12,
opportunity_4,
hedge_10,
william,
cash_17,
fed_17,
bonds_16,
economy,
chance_19,
marriage_6,
environment_19,
york,
industry,
marriage_2,
bonds_14,
carolina_13,
fed_6,
legal,
finance,
home,
rights_20,
water,
elected_12,
carolina_15,
environment_18,
carolina_7,
fed_16,
senate,
cash_9,
marriage_15,
chance_5,
bonds_13,
bonds,
risk,
hedge_5,
founded,
environment_6,
gains_18,
judge,
nyse_10,
religion_8,
freedom,
politics,
products,
vermont,
federal,
growth,
nyse_6,
marriage_13,
opportunity_5,
religion_4,
rights_1,
fed_14,
seats_20,
marriage_18,
opportunity_10,
cash_6,
fed_2,
consume,
nyse_11,
voters_17,
blacklist,
