feature,feature_score
banking_17,0.022472254541048346
blacklist_6,0.004036884921741261
debt_15,0.000490860020993117
debt_20,0.040292652727835554
firm_2,0.0011712598669114417
firm_4,0.03883797367199694
firm_9,0.04528751014772469
firm_13,0.01627812959654626
firm_14,0.005729837022867913
housing_10,0.008698367376442114
invest_3,0.0030574452247663585
invest_6,0.04731967609529769
ministry_2,0.008112861122413969
movement_3,0.016581301361618672
party_4,0.04358158784077671
party_5,0.0016433376400194443
party_7,0.018338471690913644
representatives_14,0.020581178746036665
risk_6,0.022229784904604265
senate_20,0.04647422288406492
debt_7,
conflict_14,
elected,
services,
holiday_17,
earnings,
media,
firm_10,
short selling,
ministry_4,
project_3,
ministry_16,
stats_14,
war_19,
economics,
project_8,
oil,
invest_12,
ohio_4,
stats_7,
credit_12,
project_14,
law,
credit,
returns_18,
invest_5,
invest,
missouri,
political_17,
war_9,
political_9,
governor_16,
return_1,
housing_18,
stats_12,
carolina,
crisis,
invest_17,
invest_18,
money,
growth_13,
revenue_15,
growth_18,
project_4,
revenue_4,
invest_1,
revenue_19,
water_19,
movement_5,
holiday_19,
holiday_20,
markets_6,
default,
project_18,
ministry_15,
law_5,
metals,
invest_8,
war_4,
conflict_4,
return_19,
government,
derivatives,
nasdaq_3,
senate_15,
war_13,
law_6,
invest_19,
arts,
growth_5,
markets_18,
water_17,
ministry_7,
democratic_14,
happy,
revenue_1,
rich,
world,
blacklist_13,
firm_11,
return_17,
blacklist_19,
conflict_7,
revenue_5,
war_5,
ohio,
return_4,
firm_5,
markets,
growth_4,
train,
firm_16,
stats_10,
banking_11,
party_17,
project_6,
party_1,
movement_20,
war_8,
ministry_17,
housing_13,
blacklist_12,
house_9,
million_8,
lifestyle,
senate_1,
council,
case,
corporation,
kentucky_19,
return_5,
ohio_1,
movement_7,
invest_7,
rights_3,
blacklist_1,
markets_1,
stock market,
party_16,
district,
invest_2,
representatives_18,
risk_14,
party_15,
house_2,
senate_14,
markets_5,
holiday_10,
housing_20,
blacklist_17,
returns_19,
pennsylvania,
growth_8,
investment,
chance,
representatives_9,
invest_11,
kentucky_5,
democratic_10,
war_11,
representatives_13,
credit_20,
global_19,
holiday_9,
movement,
democratic_12,
financial markets,
kentucky_8,
cash,
movie,
markets_8,
returns_10,
project_9,
governor_7,
returns_14,
million_4,
firm_18,
democratic_17,
ohio_16,
debt_4,
return_11,
profit,
markets_9,
returns_7,
movement_10,
debt_16,
republican,
rights_15,
nasdaq_20,
banking_18,
rights_5,
holiday_16,
georgia,
debt_5,
markets_2,
return_15,
act,
growth_14,
million,
house_13,
project_19,
party_10,
gains,
movement_15,
markets_4,
political_20,
holiday_4,
revenue_11,
markets_10,
project_2,
revenue_12,
labor,
million_12,
blacklist_14,
ministry_5,
million_6,
million_11,
project_13,
project_15,
nasdaq_7,
rights_18,
bank,
house_10,
revenue_13,
governor_4,
governor_2,
global_7,
global_16,
success,
sell,
war_20,
kentucky_10,
conflict_20,
kentucky_20,
markets_17,
risk_20,
virginia,
loss,
portfolio,
fine,
stats_19,
firm_12,
law_17,
risk_17,
college,
returns_4,
banking_4,
returns_6,
kitchen,
kentucky_12,
wisconsin,
credit_5,
stats_2,
stats_20,
ohio_10,
war_2,
senate_7,
conflict,
stats_16,
war_10,
water_15,
tennessee,
house_14,
nasdaq_8,
governor_14,
inc,
growth_20,
million_17,
bubble,
senate_11,
companies,
house_18,
political,
water_7,
war_15,
dividend,
movement_8,
representatives_5,
conflict_8,
ore,
growth_7,
housing,
housing_11,
stats_17,
washington,
water_9,
ministry_20,
movement_19,
housing_9,
democratic_13,
million_15,
police,
stocks,
party_14,
health,
return_16,
revenue_7,
water_4,
nasdaq_11,
ministry_14,
movement_6,
blacklist_4,
party_19,
holiday_12,
kentucky_16,
dow jones,
revenue_17,
democratic,
crash,
million_10,
party_20,
governor_17,
growth_2,
growth_3,
leverage,
rights_7,
gold,
water_5,
return_10,
stats,
party,
returns_16,
water_11,
senate_5,
project,
travel,
gain,
water_14,
movement_17,
fed,
law_9,
economic,
law_20,
ministry_10,
growth_6,
conflict_15,
governor_9,
stats_6,
invest_13,
risk_3,
revenue_9,
banking_20,
texas,
invest_14,
target_return,
political_18,
debt,
kentucky_11,
governor_11,
return_2,
community,
million_16,
holiday_5,
markets_19,
growth_12,
nasdaq_4,
management,
greed,
risk_5,
ministry_19,
party_9,
global_12,
political_1,
banking_2,
return_3,
global_13,
million_14,
return_12,
stats_5,
stats_8,
ltd,
fond,
conflict_3,
law_8,
million_7,
stats_15,
holiday_3,
governor_8,
tourism,
house_15,
senate_13,
senate_9,
banking_13,
return_14,
returns_15,
returns_20,
blacklist_20,
buy,
movement_4,
conflict_13,
hedge,
debt_14,
holiday_11,
ohio_12,
democratic_4,
minister,
debt_18,
democratic_8,
representatives_4,
return_20,
ohio_18,
markets_14,
housing_15,
firm,
voters,
conflict_17,
house,
global_10,
revenue_6,
rights_14,
democratic_3,
ceo,
nasdaq_19,
fun,
rights_11,
headlines,
technology,
return_7,
house_7,
ministry_6,
present,
credit_4,
credit_7,
governor_10,
house_5,
credit_15,
banking_3,
rights_17,
senate_16,
firm_17,
invest_4,
housing_2,
returns,
debt_6,
returns_8,
