feature,feature_score
DOW_JONES_12,0.016126120758842587
cash_15,0.002242406264173016
cash_16,0.0484065693342405
dividend_1,0.015993556577380677
dividend_6,0.034950373996279004
gains_1,0.0015008630184562748
house_7,0.014925979021169005
stock_market_10,0.0009159263574215348
senate,
financial,
dividend_13,
political,
default_14,
happy_9,
gold,
bank,
judge,
metals,
home,
returns,
hedge,
security,
derivatives,
rich,
happy_6,
risk_15,
house,
management,
oil,
car,
DOW_JONES_16,
DOW_JONES_19,
stock_market_14,
invest,
travel,
college,
society_14,
economics,
headlines_3,
restaurant,
war,
default_20,
risk_11,
food,
community,
freedom,
garden,
market,
finance,
marriage,
house_12,
house_18,
bubble_6,
stock_market_17,
house_17,
cash_8,
governor_10,
stock_market_18,
default_6,
DOW_JONES_15,
social,
election,
cash_5,
cancer_4,
secretary,
trader,
union,
governor_15,
DOW_JONES_8,
religion,
house_3,
tourism,
county,
cancer_5,
risk_4,
georgia,
rare earths,
bubble_9,
stock_market_1,
governor_8,
transaction,
gains_8,
inc,
leverage,
dividend_14,
bubble_10,
risk_10,
ltd,
default_13,
headlines,
dividend_3,
legal,
gains,
gains_18,
washington_19,
housing,
governor,
firm,
washington_7,
society_2,
bubble_20,
society_15,
happy_16,
stock_market_19,
bubble_5,
washington_10,
ministry,
society_19,
default_5,
minister,
district,
companies,
washington_9,
cancer_20,
cancer_11,
cancer_17,
cash_14,
cancer_13,
success,
governor_9,
risk_12,
dividend_9,
BUY AND HOLD,
development,
default_18,
house_10,
risk_8,
seats,
DOW JONES,
cash_13,
house_16,
governor_11,
cancer_3,
cash_6,
happy_13,
stock_market_6,
house_19,
profit,
house_14,
washington_5,
cancer_7,
risk_6,
house_2,
served,
happy,
founded,
gains_12,
headlines_15,
happy_2,
cancer_1,
buy,
cash_17,
stock_market_16,
bubble_13,
stock_market_15,
risk_16,
consumption,
washington_6,
happy_1,
william,
stats,
happy_11,
products,
risk_7,
headlines_16,
bubble_2,
default_1,
arts,
ceo,
stock_market_5,
markets,
headlines_5,
cash_11,
dividend,
governor_7,
bubble_11,
governor_19,
bubble_16,
washington_13,
stock_market_12,
stock_market_20,
short selling,
stock_market_3,
lifestyle,
washington_20,
money,
headlines_19,
gains_2,
house_9,
votes,
washington_3,
cash_4,
headlines_18,
cash_12,
business,
risk_5,
default_15,
house_8,
dividend_11,
council,
financial markets,
act,
holiday,
bubble_3,
elections,
bubble_12,
society_4,
society_16,
risk,
governor_2,
society_3,
stock market,
politics,
carolina,
risk_3,
society_11,
environment,
water,
cancer_6,
services,
kitchen,
project,
world,
gains_5,
headlines_14,
default_3,
texas,
happy_17,
earnings,
movement,
marketing,
DOW_JONES_10,
default_4,
governor_17,
cash_2,
governor_20,
washington_18,
risk_2,
cash_3,
committee,
headlines_12,
court,
headlines_20,
stock_market_11,
society_5,
risk_14,
cancer_12,
bubble_14,
